StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent,g_knows_1,g_fake,g_reasonable_1,g_right,g_ability_1,g_situation,e_knows_1,e_fake,e_reasonable_1,e_right,e_ability_1,e_situation,d_knows_1,d_fake,d_reasonable_1,d_right,d_ability_1,d_situation,age,gender,gender_3_TEXT,country_now,country_now_2_TEXT,country_birth,country_birth_2_TEXT,ethnicity,ethnicity_7_TEXT,lvl_edu,english,enjoy_study,nervous_study,difficult_study,boring_study,tiring_study,quickly_study,regularly_study,selfcons_study,motivated_study,important_study,aim_study,comments_study,purpose_study,similar_study,SPI,FL_40_DO,FL_41_DO,FL_50_DO,FL_56_DO
10/29/2020 12:39,10/29/2020 12:49,IP Address,100,561,TRUE,10/29/2020 12:49,R_1Nz7GL4Oqor2Xay,anonymous,PT,I agree to participate in this study,70,real,10,right,87,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.",81,cubic zirconium stones,22,wrong,11,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",85,ground squirrel,0,right,88,"Darrel feels like he knows that the animal he saw is a red speckled ground squirrel, but he doesn't actually know that it is.",18,Female,-99,United States,-99,United States,-99,"White/European,Hispanic Latino",-99,Some college or a 2-year college degree (A.A.),Very well,1. I enjoyed the study a lot,10. I was not nervous during the study at all,10. I did not find the study tasks difficult to complete at all,9,10. I did not find the study task tiring at all,3,1. I have taken part in many research studies,2,2,1. I believe that my participation was contributing to very important research,10. I was not trying to work out the aim of the study during my participation,-99,-99,-99,-99,FL_55|FL_43|FL_49,FL_62,FL_69,FL_72
10/29/2020 12:49,10/29/2020 12:54,IP Address,100,309,TRUE,10/29/2020 12:54,R_1ign1yyB1cLdHe4,anonymous,PT,I agree to participate in this study,50,real,74,right,75,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.",26,diamonds,25,wrong,69,Emma knows that she chose a necklace made of diamonds.,32,ground squirrel,27,right,24,Darrel knows that the animal he saw is a red speckled ground squirrel.,18,Female,-99,United States,-99,United States,-99,White/European,-99,High school diploma (or GED),Well,3,10. I was not nervous during the study at all,5. Not sure,7,10. I did not find the study task tiring at all,2,3,5. Not sure,1. I was strongly motivated to help make the study a success for the researchers,2,2,-99,-99,-99,10018,FL_43|FL_55|FL_49,FL_62,FL_69,FL_72
10/29/2020 12:59,10/29/2020 13:08,IP Address,100,560,TRUE,10/29/2020 13:08,R_3HOhNhPZoKtaiuF,anonymous,PT,I agree to participate in this study,100,fake,0,wrong,0,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.",0,diamonds,0,right,100,Emma knows that she chose a necklace made of diamonds.,0,ground squirrel,0,right,100,Darrel knows that the animal he saw is a red speckled ground squirrel.,24,Female,-99,United States,-99,United States,-99,White/European,-99,High school diploma (or GED),Very well,7,2,2,8,5. Not sure,5. Not sure,3,10. I was not at all self-conscious of the responses I gave in this study,1. I was strongly motivated to help make the study a success for the researchers,1. I believe that my participation was contributing to very important research,1. I was trying to work out the aim of the study during my participation,-99,-99,-99,9601,FL_43|FL_55|FL_49,FL_64,FL_68,FL_72
10/29/2020 12:58,10/29/2020 13:10,IP Address,100,722,TRUE,10/29/2020 13:10,R_3ir3Iffpth5sxzg,anonymous,PT,I agree to participate in this study,50,real,0,right,0,Gerald knows that the house he is pointing at is a real house.,100,cubic zirconium stones,0,wrong,0,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",100,ground squirrel,0,right,100,"Darrel feels like he knows that the animal he saw is a red speckled ground squirrel, but he doesn't actually know that it is.",20,Female,-99,United States,-99,United States,-99,White/European,-99,High school diploma (or GED),Very well,5. Not sure,10. I was not nervous during the study at all,8,4,10. I did not find the study task tiring at all,2,2,2,5. Not sure,1. I believe that my participation was contributing to very important research,5. Not sure,-99,Testar a atenção das pessoas a lerem os textos.,-99,9184,FL_55|FL_43|FL_49,FL_62,FL_69,FL_72
10/29/2020 13:07,10/29/2020 13:17,IP Address,100,588,TRUE,10/29/2020 13:17,R_2Ey4aSooxC38jbb,anonymous,PT,I agree to participate in this study,100,real,4,right,97,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.",66,diamonds,0,right,90,Emma knows that she chose a necklace made of diamonds.,100,prairie dog,26,wrong,0,"Darrel feels like he knows that the animal he saw is a red speckled ground squirrel, but he doesn't actually know that it is.",18,Female,-99,United States,-99,United States,-99,White/European,-99,High school diploma (or GED),Very well,1. I enjoyed the study a lot,5. Not sure,2,8,4,3,1. I have taken part in many research studies,5. Not sure,1. I was strongly motivated to help make the study a success for the researchers,1. I believe that my participation was contributing to very important research,5. Not sure,-99,-99,-99,9124,FL_43|FL_49|FL_55,FL_66,FL_68,FL_73
10/29/2020 13:11,10/29/2020 13:21,IP Address,100,594,TRUE,10/29/2020 13:21,R_12SGgZaMyrKczCG,anonymous,PT,I agree to participate in this study,100,fake,0,wrong,50,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.",100,diamonds,-99,right,83,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",65,ground squirrel,20,right,20,Darrel knows that the animal he saw is a red speckled ground squirrel.,19,Female,-99,United States,-99,United States,-99,White/European,-99,High school diploma (or GED),Very well,3,10. I was not nervous during the study at all,8,5. Not sure,10. I did not find the study task tiring at all,3,3,3,1. I was strongly motivated to help make the study a success for the researchers,1. I believe that my participation was contributing to very important research,5. Not sure,-99,-99,-99,-99,FL_55|FL_49|FL_43,FL_64,FL_68,FL_72
10/29/2020 13:13,10/29/2020 13:26,IP Address,100,734,TRUE,10/29/2020 13:26,R_3s4X0YcebE3oskX,anonymous,PT,I agree to participate in this study,100,real,12,wrong,76,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.",95,cubic zirconium stones,4,wrong,94,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",0,ground squirrel,0,right,0,Darrel knows that the animal he saw is a red speckled ground squirrel.,18,Female,-99,United States,-99,United States,-99,White/European,-99,High school diploma (or GED),Very well,8,9,5. Not sure,3,2,1. I was able to adjust to the study task very quickly,4,2,1. I was strongly motivated to help make the study a success for the researchers,4,2,-99,"Perceber se as pessoas conseguem compreender as histórias, através da maneira como estão escritas.",-99,-99,FL_43|FL_49|FL_55,FL_66,FL_69,FL_71
10/29/2020 13:19,10/29/2020 13:26,IP Address,100,419,TRUE,10/29/2020 13:26,R_2UgcMzMU8BKGA0P,anonymous,PT,I agree to participate in this study,0,fake,0,wrong,0,Gerald knows that the house he is pointing at is a real house.,0,diamonds,0,right,100,Emma knows that she chose a necklace made of diamonds.,0,ground squirrel,0,right,0,Darrel knows that the animal he saw is a red speckled ground squirrel.,18,Female,-99,United States,-99,United States,-99,White/European,-99,High school diploma (or GED),Well,1. I enjoyed the study a lot,10. I was not nervous during the study at all,9,10. I did not find the study activity boring at all,10. I did not find the study task tiring at all,2,4,2,1. I was strongly motivated to help make the study a success for the researchers,1. I believe that my participation was contributing to very important research,1. I was trying to work out the aim of the study during my participation,-99,-99,Não,10018,FL_55|FL_43|FL_49,FL_64,FL_68,FL_72
10/29/2020 13:22,10/29/2020 13:31,IP Address,100,567,TRUE,10/29/2020 13:31,R_1IH69kI9FiaZVi9,anonymous,PT,I agree to participate in this study,100,fake,41,wrong,71,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.",88,cubic zirconium stones,32,wrong,38,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",90,prairie dog,24,wrong,64,"Darrel feels like he knows that the animal he saw is a red speckled ground squirrel, but he doesn't actually know that it is.",18,Female,-99,United States,-99,Other (please specify):,Canadá,White/European,-99,High school diploma (or GED),Well,2,4,5. Not sure,8,9,6,7,3,1. I was strongly motivated to help make the study a success for the researchers,3,5. Not sure,-99,Entender pela forma que a frase é escrita se o participante consegue ou não identificar as respostas corretas ,Não,-99,FL_49|FL_55|FL_43,FL_64,FL_68,FL_72
10/29/2020 13:27,10/29/2020 13:36,IP Address,100,534,TRUE,10/29/2020 13:36,R_30p2tETk3JkJKOV,anonymous,PT,I agree to participate in this study,-99,real,9,wrong,91,Gerald knows that the house he is pointing at is a real house.,50,diamonds,32,right,86,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",65,ground squirrel,27,right,13,Darrel knows that the animal he saw is a red speckled ground squirrel.,18,Male,-99,United States,-99,United States,-99,White/European,-99,High school diploma (or GED),Very well,4,9,3,8,8,3,5. Not sure,5. Not sure,3,3,3,-99,-99,-99,10009,FL_43|FL_55|FL_49,FL_64,FL_68,FL_72
10/29/2020 13:34,10/29/2020 13:41,IP Address,100,452,TRUE,10/29/2020 13:41,R_UxopCXqG0y8RWVz,anonymous,PT,I agree to participate in this study,50,real,0,right,80,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.",85,diamonds,0,right,100,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",100,prairie dog,25,wrong,35,"Darrel feels like he knows that the animal he saw is a red speckled ground squirrel, but he doesn't actually know that it is.",18,Female,-99,United States,-99,United States,-99,White/European,-99,High school diploma (or GED),Very well,4,10. I was not nervous during the study at all,10. I did not find the study tasks difficult to complete at all,7,10. I did not find the study task tiring at all,2,10. I have never taken part in a research study before,5. Not sure,6,5. Not sure,3,-99,-99,-99,-99,FL_43|FL_49|FL_55,FL_62,FL_70,FL_73
10/29/2020 13:35,10/29/2020 13:50,IP Address,100,885,TRUE,10/29/2020 13:50,R_Pv1p6cGLph20Qoh,anonymous,PT,I agree to participate in this study,-99,fake,0,wrong,100,Gerald knows that the house he is pointing at is a real house.,100,cubic zirconium stones,0,wrong,100,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",0,ground squirrel,0,right,0,Darrel knows that the animal he saw is a red speckled ground squirrel.,20,Female,-99,United States,-99,United States,-99,White/European,-99,High school diploma (or GED),Very well,3,9,8,10. I did not find the study activity boring at all,9,4,4,2,4,4,3,-99,"Ver qual a perceção que os participantes têm sobre as personagens da história, criando cenários idênticos de forma a ver se os participantes mantém a sua opinião de história para história. ",-99,7189,FL_49|FL_55|FL_43,FL_66,FL_69,FL_71
10/29/2020 13:52,10/29/2020 14:01,IP Address,100,557,TRUE,10/29/2020 14:01,R_3I4TSBhRlXqwBiu,anonymous,PT,I agree to participate in this study,50,fake,0,wrong,100,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.",100,diamonds,0,right,100,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",0,ground squirrel,0,right,0,Darrel knows that the animal he saw is a red speckled ground squirrel.,19,Female,-99,United States,-99,United States,-99,White/European,-99,High school diploma (or GED),Very well,1. I enjoyed the study a lot,10. I was not nervous during the study at all,10. I did not find the study tasks difficult to complete at all,10. I did not find the study activity boring at all,10. I did not find the study task tiring at all,1. I was able to adjust to the study task very quickly,9,3,1. I was strongly motivated to help make the study a success for the researchers,1. I believe that my participation was contributing to very important research,5. Not sure,-99,-99,-99,9856,FL_49|FL_55|FL_43,FL_64,FL_70,FL_71
10/29/2020 13:44,10/29/2020 14:04,IP Address,100,1203,TRUE,10/29/2020 14:04,R_29v44PykkgbOWwk,anonymous,PT,I agree to participate in this study,18,real,15,right,75,Gerald knows that the house he is pointing at is a real house.,0,cubic zirconium stones,0,wrong,86,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",0,ground squirrel,0,right,14,Darrel knows that the animal he saw is a red speckled ground squirrel.,20,Female,-99,United States,-99,United States,-99,White/European,-99,Some college or a 2-year college degree (A.A.),Very well,6,3,2,8,7,2,1. I have taken part in many research studies,1. I was very self-conscious of the responses I gave in this study,3,4,3,-99,Compreender se os participantes estavam realmente atentos,Não.,8956,FL_49|FL_55|FL_43,FL_66,FL_69,FL_71
10/29/2020 14:00,10/29/2020 14:08,IP Address,100,503,TRUE,10/29/2020 14:08,R_1qg1vtl7qLm8440,anonymous,PT,I agree to participate in this study,100,real,0,right,100,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.",100,cubic zirconium stones,0,wrong,0,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",0,ground squirrel,0,right,100,Darrel knows that the animal he saw is a red speckled ground squirrel.,19,Female,-99,United States,-99,United States,-99,White/European,-99,High school diploma (or GED),Very well,4,7,4,5. Not sure,6,3,8,5. Not sure,1. I was strongly motivated to help make the study a success for the researchers,1. I believe that my participation was contributing to very important research,10. I was not trying to work out the aim of the study during my participation,-99,-99,-99,9970,FL_55|FL_43|FL_49,FL_66,FL_69,FL_71
10/29/2020 14:16,10/29/2020 14:25,IP Address,100,530,TRUE,10/29/2020 14:25,R_A66M7HkovlKc3It,anonymous,PT,I agree to participate in this study,21,real,39,right,42,Gerald knows that the house he is pointing at is a real house.,77,cubic zirconium stones,31,wrong,63,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",8,ground squirrel,0,right,0,Darrel knows that the animal he saw is a red speckled ground squirrel.,19,Female,-99,United States,-99,United States,-99,White/European,-99,High school diploma (or GED),Very well,3,6,3,10. I did not find the study activity boring at all,5. Not sure,6,2,3,2,6,4,Achei um estudo peculiar que nos deixa a pensar sobre as coisas,perceber diferentes interpretacoes que damos ao portugues,-99,8995,FL_55|FL_49|FL_43,FL_66,FL_69,FL_71
10/29/2020 14:16,10/29/2020 14:26,IP Address,100,575,TRUE,10/29/2020 14:26,R_1IRVCSyi5h5z3UX,anonymous,PT,I agree to participate in this study,19,real,0,right,74,Gerald knows that the house he is pointing at is a real house.,73,diamonds,11,right,62,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",90,ground squirrel,39,right,73,"Darrel feels like he knows that the animal he saw is a red speckled ground squirrel, but he doesn't actually know that it is.",19,Female,-99,United States,-99,United States,-99,White/European,-99,High school diploma (or GED),Very well,3,10. I was not nervous during the study at all,6,10. I did not find the study activity boring at all,10. I did not find the study task tiring at all,3,2,4,1. I was strongly motivated to help make the study a success for the researchers,1. I believe that my participation was contributing to very important research,3,-99,-99,-99,8932,FL_55|FL_43|FL_49,FL_66,FL_68,FL_73
10/29/2020 14:19,10/29/2020 14:40,IP Address,100,1215,TRUE,10/29/2020 14:40,R_3NO1A7xXAbVvGEe,anonymous,PT,I agree to participate in this study,21,real,13,right,20,Gerald knows that the house he is pointing at is a real house.,100,diamonds,0,right,93,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",76,ground squirrel,9,right,77,"Darrel feels like he knows that the animal he saw is a red speckled ground squirrel, but he doesn't actually know that it is.",19,Female,-99,United States,-99,United States,-99,White/European,-99,High school diploma (or GED),Very well,5. Not sure,10. I was not nervous during the study at all,10. I did not find the study tasks difficult to complete at all,3,5. Not sure,1. I was able to adjust to the study task very quickly,3,4,1. I was strongly motivated to help make the study a success for the researchers,1. I believe that my participation was contributing to very important research,1. I was trying to work out the aim of the study during my participation,-99,Penso que o objetivo do estudo seja avaliar como determinadas palavras mudam a perceção que temos da história,Não,9154,FL_49|FL_43|FL_55,FL_62,FL_70,FL_73
10/29/2020 14:54,10/29/2020 15:08,IP Address,100,808,TRUE,10/29/2020 15:08,R_2OVE8CI3LPZEqHL,anonymous,PT,I agree to participate in this study,25,real,7,right,68,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.",67,cubic zirconium stones,35,wrong,65,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",89,ground squirrel,63,wrong,29,"Darrel feels like he knows that the animal he saw is a red speckled ground squirrel, but he doesn't actually know that it is.",18,Female,-99,United States,-99,United States,-99,White/European,-99,High school diploma (or GED),Very well,2,6,4,10. I did not find the study activity boring at all,10. I did not find the study task tiring at all,4,9,5. Not sure,1. I was strongly motivated to help make the study a success for the researchers,3,2,-99,Tentar perceber o nível de concentração e a capacitação de interpretação de texto de cada indivíduo ,-99,-99,FL_43|FL_55|FL_49,FL_64,FL_68,FL_72
10/29/2020 15:13,10/29/2020 15:23,IP Address,100,605,TRUE,10/29/2020 15:23,R_2aqX0Zmkft7J6YR,anonymous,PT,I agree to participate in this study,100,real,0,right,100,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.",100,cubic zirconium stones,0,wrong,100,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",0,ground squirrel,0,right,0,Darrel knows that the animal he saw is a red speckled ground squirrel.,25,Female,-99,United States,-99,United States,-99,White/European,-99,High school diploma (or GED),Very well,4,10. I was not nervous during the study at all,10. I did not find the study tasks difficult to complete at all,5. Not sure,10. I did not find the study task tiring at all,3,5. Not sure,5. Not sure,2,1. I believe that my participation was contributing to very important research,3,-99,-99,-99,-99,FL_43|FL_49|FL_55,FL_66,FL_69,FL_71
10/29/2020 15:10,10/29/2020 15:25,IP Address,100,957,TRUE,10/29/2020 15:25,R_1Qzozv2H12K7AOp,anonymous,PT,I agree to participate in this study,72,real,0,right,20,Gerald knows that the house he is pointing at is a real house.,87,diamonds,11,right,19,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",100,prairie dog,19,right,17,"Darrel feels like he knows that the animal he saw is a red speckled ground squirrel, but he doesn't actually know that it is.",20,Female,-99,United States,-99,United States,-99,White/European,-99,Some college or a 2-year college degree (A.A.),Very well,5. Not sure,4,8,4,8,3,3,4,1. I was strongly motivated to help make the study a success for the researchers,4,4,-99,-99,-99,9004,FL_43|FL_55|FL_49,FL_62,FL_70,FL_73
10/29/2020 15:21,10/29/2020 15:30,IP Address,100,499,TRUE,10/29/2020 15:30,R_3Dp9bhUnBdtiz94,anonymous,PT,I agree to participate in this study,81,real,0,right,93,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.",83,diamonds,11,right,88,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",86,prairie dog,29,wrong,30,"Darrel feels like he knows that the animal he saw is a red speckled ground squirrel, but he doesn't actually know that it is.",19,Female,-99,United States,-99,United States,-99,Other,Indiano,High school diploma (or GED),Very well,2,9,10. I did not find the study tasks difficult to complete at all,5. Not sure,10. I did not find the study task tiring at all,3,3,3,1. I was strongly motivated to help make the study a success for the researchers,3,5. Not sure,-99,-99,-99,9028,FL_55|FL_49|FL_43,FL_66,FL_68,FL_73
10/29/2020 15:24,10/29/2020 15:34,IP Address,100,579,TRUE,10/29/2020 15:34,R_1hQmLMgOTHjhJWR,anonymous,PT,I agree to participate in this study,100,fake,0,wrong,100,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.",100,diamonds,100,right,100,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",0,ground squirrel,0,right,100,Darrel knows that the animal he saw is a red speckled ground squirrel.,18,Female,-99,United States,-99,United States,-99,White/European,-99,High school diploma (or GED),Very well,1. I enjoyed the study a lot,10. I was not nervous during the study at all,10. I did not find the study tasks difficult to complete at all,10. I did not find the study activity boring at all,7,1. I was able to adjust to the study task very quickly,5. Not sure,1. I was very self-conscious of the responses I gave in this study,1. I was strongly motivated to help make the study a success for the researchers,1. I believe that my participation was contributing to very important research,1. I was trying to work out the aim of the study during my participation,-99,Entender que as pessoas acreditam realmente que certas coisas são reais apesar de não teres forma de o comprovar. ,Não ,9745,FL_55|FL_43|FL_49,FL_64,FL_70,FL_71
10/29/2020 15:29,10/29/2020 15:38,IP Address,100,527,TRUE,10/29/2020 15:38,R_3CPohettJXmcCVL,anonymous,PT,I agree to participate in this study,-99,fake,0,wrong,0,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.",100,diamonds,0,right,100,Emma knows that she chose a necklace made of diamonds.,100,ground squirrel,0,right,100,"Darrel feels like he knows that the animal he saw is a red speckled ground squirrel, but he doesn't actually know that it is.",20,Female,-99,United States,-99,United States,-99,White/European,-99,Some college or a 2-year college degree (A.A.),Very well,4,10. I was not nervous during the study at all,5. Not sure,4,2,6,7,3,1. I was strongly motivated to help make the study a success for the researchers,1. I believe that my participation was contributing to very important research,1. I was trying to work out the aim of the study during my participation,-99,-99,-99,9766,FL_43|FL_49|FL_55,FL_64,FL_68,FL_72
10/29/2020 15:36,10/29/2020 15:48,IP Address,100,700,TRUE,10/29/2020 15:48,R_eaDQvN2FplhkpHj,anonymous,PT,I agree to participate in this study,50,real,0,right,100,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.",100,cubic zirconium stones,0,wrong,39,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",0,ground squirrel,0,right,100,Darrel knows that the animal he saw is a red speckled ground squirrel.,21,Female,-99,United States,-99,United States,-99,White/European,-99,Some college or a 2-year college degree (A.A.),Very well,3,10. I was not nervous during the study at all,6,6,10. I did not find the study task tiring at all,4,8,4,3,6,6,-99,-99,-99,10015,FL_55|FL_43|FL_49,FL_66,FL_69,FL_71
10/29/2020 15:41,10/29/2020 15:55,IP Address,100,836,TRUE,10/29/2020 15:55,R_2R3tyJaE3oRKU6y,anonymous,PT,I agree to participate in this study,56,fake,20,wrong,42,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.",32,diamonds,36,right,59,Emma knows that she chose a necklace made of diamonds.,85,ground squirrel,30,wrong,61,Darrel knows that the animal he saw is a red speckled ground squirrel.,20,Female,-99,United States,-99,United States,-99,White/European,-99,Some college or a 2-year college degree (A.A.),Very well,4,5. Not sure,6,3,8,8,2,3,1. I was strongly motivated to help make the study a success for the researchers,2,5. Not sure,-99,testar a atenção dos participantes ,-99,8929,FL_55|FL_43|FL_49,FL_64,FL_68,FL_72
10/29/2020 15:52,10/29/2020 15:58,IP Address,100,386,TRUE,10/29/2020 15:58,R_1ibqgvQeAqK0J8Z,anonymous,PT,I agree to participate in this study,48,real,2,right,75,Gerald knows that the house he is pointing at is a real house.,74,diamonds,8,wrong,7,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",6,ground squirrel,28,right,68,"Darrel feels like he knows that the animal he saw is a red speckled ground squirrel, but he doesn't actually know that it is.",18,Female,-99,United States,-99,United States,-99,White/European,-99,High school diploma (or GED),Very well,1. I enjoyed the study a lot,4,2,2,5. Not sure,5. Not sure,10. I have never taken part in a research study before,9,3,4,4,-99,-99,-99,-99,FL_55|FL_49|FL_43,FL_66,FL_69,FL_71
10/29/2020 15:54,10/29/2020 16:01,IP Address,100,449,TRUE,10/29/2020 16:01,R_1IEswmsFu46Ht8G,anonymous,PT,I agree to participate in this study,-99,real,0,right,100,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.",70,diamonds,13,right,68,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",100,prairie dog,0,wrong,100,"Darrel feels like he knows that the animal he saw is a red speckled ground squirrel, but he doesn't actually know that it is.",18,Female,-99,United States,-99,United States,-99,White/European,-99,High school diploma (or GED),Very well,1. I enjoyed the study a lot,10. I was not nervous during the study at all,10. I did not find the study tasks difficult to complete at all,10. I did not find the study activity boring at all,10. I did not find the study task tiring at all,3,4,2,2,1. I believe that my participation was contributing to very important research,10. I was not trying to work out the aim of the study during my participation,-99,-99,-99,9673,FL_43|FL_55|FL_49,FL_66,FL_68,FL_73
10/29/2020 16:01,10/29/2020 16:14,IP Address,100,830,TRUE,10/29/2020 16:14,R_2bVov9SEeNvSOnZ,anonymous,PT,I agree to participate in this study,92,real,5,right,6,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.",90,cubic zirconium stones,7,wrong,80,Emma knows that she chose a necklace made of diamonds.,3,ground squirrel,5,right,8,Darrel knows that the animal he saw is a red speckled ground squirrel.,19,Female,-99,United States,-99,United States,-99,White/European,-99,High school diploma (or GED),Very well,4,9,6,4,10. I did not find the study task tiring at all,3,10. I have never taken part in a research study before,3,2,2,3,-99,Creio que o objetivo do estudo seja relacionar o fator sorte com conhecimento prévio. ,-99,-99,FL_49|FL_55|FL_43,FL_62,FL_69,FL_72
10/29/2020 16:36,10/29/2020 16:47,IP Address,100,641,TRUE,10/29/2020 16:47,R_1DMPRSdsfBGH2Cf,anonymous,PT,I agree to participate in this study,0,fake,2,wrong,95,Gerald knows that the house he is pointing at is a real house.,86,diamonds,8,wrong,96,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",8,ground squirrel,4,right,12,Darrel knows that the animal he saw is a red speckled ground squirrel.,19,Female,-99,United States,-99,United States,-99,White/European,-99,High school diploma (or GED),Very well,3,3,3,4,4,3,2,4,2,2,9,-99,-99,-99,9103,FL_49|FL_55|FL_43,FL_64,FL_70,FL_71
10/29/2020 16:38,10/29/2020 16:49,IP Address,100,660,TRUE,10/29/2020 16:49,R_UxnSSxIqnMVteQV,anonymous,PT,I agree to participate in this study,0,fake,100,right,85,Gerald knows that the house he is pointing at is a real house.,0,cubic zirconium stones,15,wrong,93,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",0,prairie dog,0,wrong,92,Darrel knows that the animal he saw is a red speckled ground squirrel.,20,Female,-99,United States,-99,United States,-99,White/European,-99,High school diploma (or GED),Very well,3,10. I was not nervous during the study at all,7,6,10. I did not find the study task tiring at all,2,3,4,2,1. I believe that my participation was contributing to very important research,2,-99,Compreender de que forma a interpretação da língua portuguesa pode influenciar as respostas.,Não,9046,FL_43|FL_49|FL_55,FL_66,FL_68,FL_73
10/29/2020 17:00,10/29/2020 17:10,IP Address,100,606,TRUE,10/29/2020 17:10,R_3IQZJz7Me6D4HVo,anonymous,PT,I agree to participate in this study,100,fake,0,wrong,100,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.",100,diamonds,0,right,100,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",100,ground squirrel,0,right,100,"Darrel feels like he knows that the animal he saw is a red speckled ground squirrel, but he doesn't actually know that it is.",20,Male,-99,United States,-99,United States,-99,White/European,-99,Some college or a 2-year college degree (A.A.),Very well,2,10. I was not nervous during the study at all,8,9,10. I did not find the study task tiring at all,2,4,1. I was very self-conscious of the responses I gave in this study,2,3,2,-99,-99,-99,9067,FL_55|FL_43|FL_49,FL_64,FL_68,FL_72
10/29/2020 17:04,10/29/2020 17:15,IP Address,100,625,TRUE,10/29/2020 17:15,R_3LYoiWM1yZOKNjI,anonymous,PT,I agree to participate in this study,0,fake,0,wrong,100,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.",0,cubic zirconium stones,0,wrong,100,Emma knows that she chose a necklace made of diamonds.,60,ground squirrel,25,right,80,"Darrel feels like he knows that the animal he saw is a red speckled ground squirrel, but he doesn't actually know that it is.",19,Female,-99,United States,-99,United States,-99,White/European,-99,High school diploma (or GED),Very well,5. Not sure,10. I was not nervous during the study at all,7,6,10. I did not find the study task tiring at all,7,4,5. Not sure,2,1. I believe that my participation was contributing to very important research,5. Not sure,-99,-99,-99,8923,FL_55|FL_43|FL_49,FL_62,FL_69,FL_72
