"subject","cntr","country","R_attendance","R_prayer","R_religiousID","R_member","R_denomination","R_denominationText","R_god","R_afterlife","R_NormsSelfRelLife","R_NormsSelfGod","religiosity.s","religiosity","culturalNorms","norms","norms_z","spirituality","source_first","important_scientific","credible_scientific","important_spiritual","credible_spiritual","sourceCorrect_scientific","sourceCorrect_spiritual","recallHit_scientific","recallHit_spiritual","recallFa_scientific","recallFa_spiritual","RT_scientific","RT_spiritual","statementAndOrder","Age","Gender","Education","SES","Ethnicity","EthnicityText","Recruitment","Sample","Compensation","Language"
729,"BEL","Belgium",0,0,0,0,NA,NA,0,0,0,0,-1.03844452662611,0,0.25,0.212890625,-1.29384132418132,1,"scientific",2,4,1,1,1,1,4,4,0,1,20.58,24.747,"S1_G2",64,"man",4,5,"Caucasian/European",NA,"snowballing + students","mixed","raffle","Dutch"
730,"BEL","Belgium",0,0,0,0,NA,NA,0,0,0,0,-1.03844452662611,0,0.125,0.212890625,-1.29384132418132,1,"spiritual",4,5,1,1,1,1,5,2,0,1,13.223,12.98,"G1_S2",35,"woman",5,9,"Caucasian/European",NA,"snowballing + students","mixed","raffle","Dutch"
731,"BEL","Belgium",0,0,0,0,NA,NA,0,0,0,0,-1.03844452662611,0,0.25,0.212890625,-1.29384132418132,1,"spiritual",3,2,1,4,1,1,1,1,0,0,17.798,27.044,"G2_S1",56,"woman",4,8,"Caucasian/European",NA,"snowballing + students","mixed","raffle","Dutch"
732,"BEL","Belgium",0,0,0.5,0,NA,NA,0,0.833333333333333,0,0,-0.534898058041532,0.19047619047619,0.5,0.212890625,-1.29384132418132,4,"spiritual",1,4,1,1,1,1,5,3,0,1,27.283,20.712,"G2_S1",60,"woman",4,7,"Caucasian/European",NA,"snowballing + students","mixed","raffle","Dutch"
733,"BEL","Belgium",0,0,0.5,1,"Christian (Roman Catholic)",NA,0.333333333333333,0.666666666666667,0,0,-0.47439423112318,0.214285714285714,0.25,0.212890625,-1.29384132418132,2,"scientific",3,4,1,4,1,1,2,5,1,0,21.459,55.405,"S2_G1",46,"woman",3,5,"Caucasian/European",NA,"snowballing + students","mixed","raffle","Dutch"
734,"BEL","Belgium",0,0,0,0,NA,NA,0.166666666666667,0.166666666666667,0,0.25,-0.818408680968468,0.0833333333333333,0.25,0.212890625,-1.29384132418132,2,"spiritual",3,3,3,2,1,0,3,4,0,1,26.594,30.527,"G2_S1",40,"man",2,7,"Mixed / other","Arabisch Europees","snowballing + students","mixed","raffle","Dutch"
735,"BEL","Belgium",0,0.428571428571429,1,0,NA,NA,0.666666666666667,0.666666666666667,0.25,0.25,0.209231719488336,0.465986394557823,0.25,0.212890625,-1.29384132418132,3,"scientific",4,4,2,4,1,1,4,4,0,0,18.48,42.454,"S1_G2",40,"woman",4,7,"Caucasian/European",NA,"snowballing + students","mixed","raffle","Dutch"
736,"BEL","Belgium",0.166666666666667,0.142857142857143,1,1,"Christian (Roman Catholic)",NA,0.666666666666667,0.666666666666667,0.25,0.25,0.173176461301212,0.448979591836735,0.25,0.212890625,-1.29384132418132,2,"spiritual",5,6,4,6,1,1,5,5,0,1,14.768,12.495,"G2_S1",56,"man",5,6,"Caucasian/European",NA,"snowballing + students","mixed","raffle","Dutch"
737,"BEL","Belgium",0.333333333333333,0,0.5,0,NA,NA,0.166666666666667,0,0,0,-0.640976154612257,0.142857142857143,0.125,0.212890625,-1.29384132418132,1,"spiritual",2,2,3,2,1,1,4,3,0,0,37.138,27.395,"G1_S2",26,"man",4,8,"Caucasian/European",NA,"snowballing + students","mixed","raffle","Dutch"
738,"BEL","Belgium",0.166666666666667,0,0,0,NA,NA,0.166666666666667,0.333333333333333,0,0,-0.776768587697935,0.0952380952380952,0.375,0.212890625,-1.29384132418132,4,"spiritual",1,5,1,4,1,1,5,5,0,0,24.286,47.027,"G2_S1",23,"woman",5,7,"Caucasian/European",NA,"snowballing + students","mixed","raffle","Dutch"
739,"BEL","Belgium",0,0,0.5,1,"Christian (Roman Catholic)",NA,0,0,0,0,-0.850254932235167,0.0714285714285714,0.25,0.212890625,-1.29384132418132,1,"scientific",1,4,1,4,1,1,5,5,0,0,44.649,46.123,"S1_G2",28,"man",2,4,"Caucasian/European",NA,"snowballing + students","mixed","raffle","Dutch"
740,"BEL","Belgium",0,0,1,1,"Christian (Roman Catholic)",NA,0.333333333333333,0,0,0,-0.538490136087141,0.19047619047619,0.125,0.212890625,-1.29384132418132,1,"spiritual",1,1,1,1,1,1,2,2,0,0,18.702,19.998,"G1_S2",53,"man",3,3,"Caucasian/European",NA,"snowballing + students","mixed","raffle","Dutch"
741,"BEL","Belgium",0.166666666666667,0.285714285714286,0.5,0,NA,NA,0.666666666666667,0.666666666666667,0,0.25,-0.0720957244942273,0.362244897959184,0.375,0.212890625,-1.29384132418132,5,"scientific",1,6,1,3,1,1,5,5,0,0,58.982,50.672,"S1_G2",40,"woman",5,9,"Caucasian/European",NA,"snowballing + students","mixed","raffle","Dutch"
742,"BEL","Belgium",0.166666666666667,0,0.5,1,"Christian (Roman Catholic)",NA,0.5,0,0,0.25,-0.495969671286984,0.202380952380952,0.25,0.212890625,-1.29384132418132,2,"spiritual",6,6,4,4,1,1,2,2,0,0,65.101,46.895,"G1_S2",55,"woman",4,6,"Caucasian/European",NA,"snowballing + students","mixed","raffle","Dutch"
743,"BEL","Belgium",0,0,0,0,NA,NA,0,0,0.25,0,-0.926461511941968,0.0357142857142857,0.125,0.212890625,-1.29384132418132,4,"scientific",3,4,3,3,1,1,5,3,0,0,26.256,54.508,"S1_G2",30,"woman",5,7,"Caucasian/European",NA,"snowballing + students","mixed","raffle","Dutch"
744,"BEL","Belgium",0,0,0.5,0,NA,NA,0,0,0,0,-0.850254932235167,0.0714285714285714,0.25,0.212890625,-1.29384132418132,1,"scientific",4,4,5,5,1,1,3,4,0,0,18.57,20.262,"S1_G2",22,"man",3,7,"Caucasian/European",NA,"snowballing + students","mixed","raffle","Dutch"
745,"BEL","Belgium",0.166666666666667,0.571428571428571,1,1,"Christian (Roman Catholic)",NA,0.5,0.833333333333333,0,0.25,0.227178490416216,0.474489795918367,0.125,0.212890625,-1.29384132418132,6,"spiritual",2,2,2,2,1,1,3,4,0,0,51.373,41.362,"G1_S2",37,"man",2,7,"Caucasian/European",NA,"snowballing + students","mixed","raffle","Dutch"
746,"BEL","Belgium",0,0,0.5,1,"Christian (Roman Catholic)",NA,0,0,0,0,-0.850254932235167,0.0714285714285714,0.25,0.212890625,-1.29384132418132,1,"spiritual",1,4,1,1,1,1,3,2,0,0,23.264,20.246,"G2_S1",27,"man",5,5,"Caucasian/European",NA,"snowballing + students","mixed","raffle","Dutch"
747,"BEL","Belgium",0,0,0.5,0,NA,NA,0.166666666666667,0,0.25,0,-0.676484316672481,0.130952380952381,0.125,0.212890625,-1.29384132418132,1,"spiritual",3,3,2,2,1,1,4,4,0,0,28.06,171.331,"G2_S1",59,"woman",7,5,"Caucasian/European",NA,"snowballing + students","mixed","raffle","Dutch"
748,"BEL","Belgium",0,0,0,0,NA,NA,0.5,0.666666666666667,0,0.5,-0.410442484754828,0.238095238095238,0.375,0.212890625,-1.29384132418132,5,"spiritual",1,1,1,1,1,1,2,3,0,1,12.432,22.376,"G2_S1",31,"man",4,6,"Caucasian/European",NA,"snowballing + students","mixed","raffle","Dutch"
749,"BEL","Belgium",0,0,0.5,1,"Christian (Roman Catholic)",NA,0.166666666666667,0.166666666666667,0,0,-0.7253959565179,0.119047619047619,0.25,0.212890625,-1.29384132418132,2,"scientific",4,5,2,3,1,1,5,3,0,2,38.459,17.776,"S2_G1",28,"man",7,7,"Caucasian/European",NA,"snowballing + students","mixed","raffle","Dutch"
750,"BEL","Belgium",0.333333333333333,1,1,1,"Christian (Roman Catholic)",NA,0.5,0.5,0.5,0.5,0.658625498258583,0.619047619047619,0.25,0.212890625,-1.29384132418132,5,"spiritual",4,5,2,2,1,1,4,3,1,1,41.273,39.979,"G1_S2",40,"man",5,4,"Caucasian/European",NA,"snowballing + students","mixed","raffle","Dutch"
751,"BEL","Belgium",0,0,0,0,NA,NA,0,0,0,0,-1.03844452662611,0,0.25,0.212890625,-1.29384132418132,1,"spiritual",2,3,1,2,1,1,4,5,1,0,42.446,23.238,"G1_S2",25,"woman",5,8,"Caucasian/European",NA,"snowballing + students","mixed","raffle","Dutch"
752,"BEL","Belgium",0.333333333333333,0,1,1,"Buddhist",NA,0.5,0.5,0,0,-0.13999723394805,0.333333333333333,0,0.212890625,-1.29384132418132,6,"spiritual",4,4,4,4,1,1,5,4,0,0,43.6,43.187,"G2_S1",44,"woman",4,7,"Caucasian/European",NA,"snowballing + students","mixed","raffle","Dutch"
753,"BEL","Belgium",0,0,0.5,1,"Christian (Roman Catholic)",NA,0.166666666666667,0.166666666666667,0.25,0.25,-0.518236071893375,0.19047619047619,0.5,0.212890625,-1.29384132418132,4,"scientific",3,3,3,3,1,1,4,5,0,0,20.707,22.515,"S1_G2",44,"woman",5,6,"Caucasian/European",NA,"snowballing + students","mixed","raffle","Dutch"
754,"BEL","Belgium",0,0,0.5,0,NA,NA,0,0.166666666666667,0,0,-0.78718355739644,0.0952380952380952,0.25,0.212890625,-1.29384132418132,3,"scientific",4,4,5,5,1,1,4,5,0,0,41.565,56,"S2_G1",36,"woman",4,5,"Caucasian/European",NA,"snowballing + students","mixed","raffle","Dutch"
755,"BEL","Belgium",0,0,0.5,0,NA,NA,0,0.5,0,0,-0.661040807718986,0.142857142857143,0,0.212890625,-1.29384132418132,2,"scientific",5,4,1,1,1,1,5,1,0,0,21.651,18.253,"S2_G1",26,"woman",4,8,"Caucasian/European",NA,"snowballing + students","mixed","raffle","Dutch"
756,"BEL","Belgium",0.333333333333333,0,0.5,0,NA,NA,0.5,0.666666666666667,0,0,-0.26511545350027,0.285714285714286,0,0.212890625,-1.29384132418132,3,"scientific",1,3,5,5,1,1,5,5,0,0,42.733,40.007,"S2_G1",21,"woman",4,7,"Caucasian/European",NA,"snowballing + students","mixed","raffle","Dutch"
757,"BEL","Belgium",0.333333333333333,0,0.5,1,"Christian (Roman Catholic)",NA,0.166666666666667,0.166666666666667,0,0,-0.57790477977353,0.166666666666667,0.25,0.212890625,-1.29384132418132,5,"spiritual",1,2,1,1,1,1,4,5,1,0,54.253,47.845,"G1_S2",33,"woman",5,4,"Caucasian/European",NA,"snowballing + students","mixed","raffle","Dutch"
758,"BEL","Belgium",0.333333333333333,0.285714285714286,1,1,"Christian (Roman Catholic)",NA,0.5,0.666666666666667,0.25,0.25,0.240034872074512,0.469387755102041,0,0.212890625,-1.29384132418132,3,"spiritual",2,2,2,2,1,1,5,5,0,0,31.167,69.225,"G2_S1",29,"woman",5,7,"Caucasian/European",NA,"snowballing + students","mixed","raffle","Dutch"
759,"BEL","Belgium",0.666666666666667,0.714285714285714,1,1,"Christian (Roman Catholic)",NA,0.833333333333333,0.833333333333333,0.75,0.75,1.1531936645027,0.792517006802721,0.125,0.212890625,-1.29384132418132,6,"scientific",2,2,3,3,1,1,5,5,2,0,21.904,30.373,"S1_G2",35,"woman",5,8,"Caucasian/European",NA,"snowballing + students","mixed","raffle","Dutch"
760,"BEL","Belgium",0,0,1,0,NA,NA,0.166666666666667,0,0,0,-0.60027773696568,0.166666666666667,0.25,0.212890625,-1.29384132418132,2,"scientific",1,4,2,3,1,1,2,3,0,0,19.701,12.763,"S1_G2",25,"woman",5,8,"Caucasian/European",NA,"snowballing + students","mixed","raffle","Dutch"
761,"BEL","Belgium",0,0,0.5,0,NA,NA,0.166666666666667,0.5,0,0,-0.599253206840446,0.166666666666667,0.25,0.212890625,-1.29384132418132,3,"spiritual",5,6,5,5,1,1,5,5,0,0,43.485,43.099,"G2_S1",28,"woman",5,6,"Caucasian/European",NA,"snowballing + students","mixed","raffle","Dutch"
762,"BEL","Belgium",0,1,1,0,NA,NA,1,1,0,0.5,0.66174521929772,0.642857142857143,0.375,0.212890625,-1.29384132418132,7,"spiritual",3,2,5,5,1,1,3,3,0,0,18.887,19.829,"G2_S1",70,"woman",2,6,"Caucasian/European",NA,"snowballing + students","mixed","raffle","Dutch"
763,"BEL","Belgium",0,0,0.5,0,NA,NA,0,0.166666666666667,0,0,-0.78718355739644,0.0952380952380952,0.25,0.212890625,-1.29384132418132,3,"scientific",2,4,2,4,1,1,5,3,0,1,28.75,26.197,"S1_G2",26,"woman",5,7,"Caucasian/European",NA,"snowballing + students","mixed","raffle","Dutch"
764,"BEL","Belgium",0.166666666666667,0,0,0,NA,NA,0,0,0,0,-0.964698938253929,0.0238095238095238,0.25,0.212890625,-1.29384132418132,1,"spiritual",1,4,4,4,1,1,4,3,0,0,37.348,24.4,"G2_S1",64,"woman",4,8,"Caucasian/European",NA,"snowballing + students","mixed","raffle","Dutch"
765,"BEL","Belgium",0,0,0.5,0,NA,NA,0,0,0,0,-0.850254932235167,0.0714285714285714,0,0.212890625,-1.29384132418132,1,"spiritual",5,7,1,1,1,1,3,1,0,2,23.849,14.926,"G1_S2",26,"man",2,4,"Caucasian/European",NA,"snowballing + students","mixed","raffle","Dutch"
766,"BEL","Belgium",0,0,0,0,NA,NA,0,0,0,0,-1.03844452662611,0,0.125,0.212890625,-1.29384132418132,1,"spiritual",5,5,1,4,1,0,3,2,0,1,14.07,10.954,"G1_S2",20,"man",3,6,"Caucasian/European",NA,"snowballing + students","mixed","raffle","Dutch"
767,"BEL","Belgium",0,0,0,1,"Christian (Roman Catholic)",NA,0,0,0,0,-1.03844452662611,0,0,0.212890625,-1.29384132418132,1,"scientific",1,3,1,1,1,1,5,4,0,0,53.888,24.685,"S2_G1",25,"man",4,6,"Caucasian/European",NA,"snowballing + students","mixed","raffle","Dutch"
768,"BEL","Belgium",0,0,0,1,"Christian (Roman Catholic)",NA,0.333333333333333,0.333333333333333,0,0,-0.788726575191581,0.0952380952380952,0.125,0.212890625,-1.29384132418132,3,"scientific",1,3,1,4,1,1,4,4,0,0,46.842,27.698,"S2_G1",41,"man",4,7,"Caucasian/European",NA,"snowballing + students","mixed","raffle","Dutch"
769,"BEL","Belgium",0,0,0.5,0,NA,NA,0,0,0,0,-0.850254932235167,0.0714285714285714,0.25,0.212890625,-1.29384132418132,1,"scientific",2,4,1,1,1,1,5,4,0,0,29.306,67.989,"S1_G2",45,"man",5,9,"Caucasian/European",NA,"snowballing + students","mixed","raffle","Dutch"
770,"BEL","Belgium",0,0,0,0,NA,NA,0,0.166666666666667,0,0,-0.975373151787387,0.0238095238095238,0.125,0.212890625,-1.29384132418132,1,"spiritual",4,6,2,5,1,1,5,5,0,0,55.359,92.48,"G1_S2",29,"man",4,7,"Mixed / other","Europees, Latijns-Amerikaans","snowballing + students","mixed","raffle","Dutch"
771,"BEL","Belgium",0,0,0,0,NA,NA,0.166666666666667,0.5,0,0,-0.787442801231393,0.0952380952380952,0.25,0.212890625,-1.29384132418132,2,"spiritual",3,4,3,4,1,1,3,3,0,0,19.227,16.032,"G2_S1",29,"man",2,5,"Caucasian/European",NA,"snowballing + students","mixed","raffle","Dutch"
772,"BEL","Belgium",0.666666666666667,0,1,1,"Christian (Roman Catholic)",NA,0.333333333333333,0.666666666666667,0,0.25,0.103954586696887,0.416666666666667,0.125,0.212890625,-1.29384132418132,5,"spiritual",1,2,2,3,1,1,4,3,0,0,12.071,13.813,"G2_S1",54,"woman",5,7,"Caucasian/European",NA,"snowballing + students","mixed","raffle","Dutch"
773,"BEL","Belgium",0.5,0.285714285714286,0.5,0,NA,NA,0.666666666666667,0.5,0.25,0.5,0.219483962035942,0.457482993197279,0.375,0.212890625,-1.29384132418132,5,"scientific",5,6,3,4,0,1,3,3,1,0,6.931,25.911,"S1_G2",30,"woman",1,7,"Caucasian/European",NA,"snowballing + students","mixed","raffle","Dutch"
774,"BEL","Belgium",0,0,1,0,NA,NA,0.333333333333333,0.833333333333333,0,0,-0.223133261893506,0.30952380952381,0.375,0.212890625,-1.29384132418132,4,"spiritual",1,1,1,1,1,1,5,4,0,0,47.27,61.588,"G2_S1",34,"woman",2,2,"Caucasian/European",NA,"snowballing + students","mixed","raffle","Dutch"
775,"BEL","Belgium",0,0,0.5,0,NA,NA,0,0,0,0,-0.850254932235167,0.0714285714285714,0.375,0.212890625,-1.29384132418132,2,"scientific",2,4,2,3,1,1,3,4,0,0,25.287,121.47,"S2_G1",33,"man",5,7,"Caucasian/European",NA,"snowballing + students","mixed","raffle","Dutch"
776,"BEL","Belgium",0,0,0.5,0,NA,NA,0.166666666666667,0,0,0,-0.788467331356627,0.0952380952380952,0,0.212890625,-1.29384132418132,2,"spiritual",4,4,3,5,1,1,3,2,0,1,21.423,36.794,"G1_S2",40,"woman",4,6,"Caucasian/European",NA,"snowballing + students","mixed","raffle","Dutch"
777,"BEL","Belgium",0,0,0,0,NA,NA,0.166666666666667,0,0,0,-0.976656925747575,0.0238095238095238,0.25,0.212890625,-1.29384132418132,3,"spiritual",6,5,5,5,1,0,4,3,0,0,34.145,20.407,"G2_S1",60,"woman",4,7,"Caucasian/European",NA,"snowballing + students","mixed","raffle","Dutch"
778,"BEL","Belgium",0,0,1,0,NA,NA,0.5,1,0,0,-0.098274286176239,0.357142857142857,0.25,0.212890625,-1.29384132418132,7,"spiritual",4,3,2,3,1,1,5,4,0,0,23.85,34.738,"G2_S1",62,"woman",3,8,"Caucasian/European",NA,"snowballing + students","mixed","raffle","Dutch"
779,"BEL","Belgium",0.833333333333333,0.714285714285714,1,0,NA,NA,0.5,0,0.5,0.5,0.580847292299648,0.578231292517007,0.125,0.212890625,-1.29384132418132,2,"scientific",4,5,2,2,1,1,4,3,1,0,33.905,37.98,"S1_G2",69,"man",2,5,"Caucasian/European",NA,"snowballing + students","mixed","raffle","Dutch"
780,"BEL","Belgium",0,0,0.5,1,"Christian (Roman Catholic)",NA,0,0,0,0,-0.850254932235167,0.0714285714285714,0.5,0.212890625,-1.29384132418132,2,"scientific",1,1,1,1,1,1,2,3,2,1,5.506,8.283,"S2_G1",68,"man",5,6,"Caucasian/European",NA,"snowballing + students","mixed","raffle","Dutch"
781,"BEL","Belgium",0,0.142857142857143,1,1,"Christian (Roman Catholic)",NA,0.833333333333333,0.833333333333333,0.25,0.25,0.224289848646293,0.472789115646259,0,0.212890625,-1.29384132418132,2,"spiritual",1,4,4,4,1,1,4,2,0,2,21.761,10.352,"G2_S1",51,"woman",2,6,"Caucasian/European",NA,"snowballing + students","mixed","raffle","Dutch"
782,"BEL","Belgium",0,0.714285714285714,1,0,NA,NA,0.833333333333333,1,0.5,0.5,0.714122801228164,0.649659863945578,0.375,0.212890625,-1.29384132418132,5,"spiritual",4,5,6,5,1,1,5,5,0,0,109.444,80.148,"G1_S2",47,"woman",4,2,"Caucasian/European",NA,"snowballing + students","mixed","raffle","Dutch"
783,"BEL","Belgium",0,0,0.5,0,NA,NA,0,0.5,0,0,-0.661040807718986,0.142857142857143,0.125,0.212890625,-1.29384132418132,1,"spiritual",1,1,1,7,1,0,2,2,1,0,15.497,19.499,"G1_S2",16,"man",2,5,"Mixed / other","Belgisch Italiaans","snowballing + students","mixed","raffle","Dutch"
784,"BRA","Brazil",0,0,0,0,NA,NA,0,0,0,0,-1.03844452662611,0,0.625,0.611318407960199,1.19274522562719,3,"scientific",5,5,2,5,1,1,4,5,0,0,24.093,20.569,"S2_G1",29,"man",7,8,"Middle-Eastern/Arab",NA,"email list + snowballing + internet sample (youtube and facebook) + students (University of Bras�lia)","mixed","no compensation + course credit","Portuguese"
785,"BRA","Brazil",0,0,0,0,NA,NA,0,0,0,0,-1.03844452662611,0,0.875,0.611318407960199,1.19274522562719,2,"spiritual",6,5,6,1,0,1,2,2,2,2,19.509,20.518,"G2_S1",29,"man",7,7,"Caucasian/European",NA,"email list + snowballing + internet sample (youtube and facebook) + students (University of Bras�lia)","mixed","no compensation + course credit","Portuguese"
786,"BRA","Brazil",1,0.571428571428571,1,1,"Spiritist",NA,1,1,0.5,0.5,1.16348350906016,0.795918367346939,0.75,0.611318407960199,1.19274522562719,7,"scientific",7,7,7,7,0,1,4,4,0,0,83.001,42.052,"S1_G2",57,"woman",7,5,"Latin-American",NA,"email list + snowballing + internet sample (youtube and facebook) + students (University of Bras�lia)","mixed","no compensation + course credit","Portuguese"
787,"BRA","Brazil",0.666666666666667,1,1,0,NA,NA,1,1,1,1,1.5950133714038,0.952380952380952,0.5,0.611318407960199,1.19274522562719,7,"spiritual",6,6,5,4,1,1,4,4,0,0,65.5,28.507,"G2_S1",44,"woman",7,7,"Mixed / other","Sou mestiça:branco,índio e negro","email list + snowballing + internet sample (youtube and facebook) + students (University of Bras�lia)","mixed","no compensation + course credit","Portuguese"
788,"BRA","Brazil",1,1,1,1,"Spiritist",NA,1,1,1,1,1.74250454814817,1,1,0.611318407960199,1.19274522562719,7,"scientific",7,7,7,7,1,1,4,5,2,2,45.136,28.216,"S1_G2",44,"man",5,5,"Caucasian/European",NA,"email list + snowballing + internet sample (youtube and facebook) + students (University of Bras�lia)","mixed","no compensation + course credit","Portuguese"
789,"BRA","Brazil",0,0,0.5,0,NA,NA,0.333333333333333,0.166666666666667,0,0,-0.663608355639361,0.142857142857143,0.875,0.611318407960199,1.19274522562719,2,"scientific",6,5,4,4,1,1,3,4,2,1,29.015,25.468,"S2_G1",22,"woman",4,6,"Caucasian/European",NA,"email list + snowballing + internet sample (youtube and facebook) + students (University of Bras�lia)","mixed","no compensation + course credit","Portuguese"
790,"BRA","Brazil",0.833333333333333,0.857142857142857,1,1,"Christian (Roman Catholic)",NA,0.833333333333333,0.666666666666667,0.75,0.75,1.21876830131582,0.812925170068027,0.75,0.611318407960199,1.19274522562719,6,"scientific",5,4,6,6,1,1,1,4,2,0,10.353,15.481,"S2_G1",43,"woman",7,8,"Caucasian/European",NA,"email list + snowballing + internet sample (youtube and facebook) + students (University of Bras�lia)","mixed","no compensation + course credit","Portuguese"
791,"BRA","Brazil",0.833333333333333,0.714285714285714,1,1,"Spiritist",NA,1,1,0,1,1.1110260544801,0.792517006802721,1,0.611318407960199,1.19274522562719,4,"spiritual",6,7,4,5,1,1,5,5,0,0,58.964,25.975,"G1_S2",56,"man",7,7,"Caucasian/European",NA,"email list + snowballing + internet sample (youtube and facebook) + students (University of Bras�lia)","mixed","no compensation + course credit","Portuguese"
792,"BRA","Brazil",0.666666666666667,0.857142857142857,1,1,"Christian (Protestant)",NA,1,1,1,1,1.54011294812415,0.931972789115646,1,0.611318407960199,1.19274522562719,7,"spiritual",7,7,7,7,1,1,5,5,0,3,46.437,27.52,"G2_S1",34,"woman",7,7,"African",NA,"email list + snowballing + internet sample (youtube and facebook) + students (University of Bras�lia)","mixed","no compensation + course credit","Portuguese"
793,"BRA","Brazil",0.166666666666667,0.857142857142857,1,1,"Christian (Roman Catholic)",NA,1,1,1,1,1.3188761830076,0.860544217687075,0.875,0.611318407960199,1.19274522562719,6,"spiritual",6,6,1,2,1,1,4,4,1,1,51.598,19.26,"G2_S1",29,"woman",6,7,"Caucasian/European",NA,"email list + snowballing + internet sample (youtube and facebook) + students (University of Bras�lia)","mixed","no compensation + course credit","Portuguese"
794,"BRA","Brazil",0,0.142857142857143,0.5,0,NA,NA,0.166666666666667,0,0,0.25,-0.638390038136594,0.151360544217687,0.75,0.611318407960199,1.19274522562719,1,"spiritual",5,5,4,3,1,1,5,5,0,3,67.228,29.496,"G2_S1",60,"man",3,4,"African",NA,"email list + snowballing + internet sample (youtube and facebook) + students (University of Bras�lia)","mixed","no compensation + course credit","Portuguese"
795,"BRA","Brazil",0,0,0.5,0,NA,NA,0,0.166666666666667,0,0,-0.78718355739644,0.0952380952380952,0,0.611318407960199,1.19274522562719,2,"scientific",4,3,2,2,1,1,5,4,0,0,16.256,24.076,"S1_G2",29,"man",7,7,"Caucasian/European",NA,"email list + snowballing + internet sample (youtube and facebook) + students (University of Bras�lia)","mixed","no compensation + course credit","Portuguese"
796,"BRA","Brazil",1,0.714285714285714,1,1,"Spiritist",NA,1,1,0.5,1,1.40873767222057,0.887755102040816,0.25,0.611318407960199,1.19274522562719,5,"spiritual",4,4,3,4,1,1,5,4,1,2,46.786,62.127,"G2_S1",26,"woman",5,7,"Latin-American",NA,"email list + snowballing + internet sample (youtube and facebook) + students (University of Bras�lia)","mixed","no compensation + course credit","Portuguese"
797,"BRA","Brazil",0.833333333333333,1,1,1,"Evangelical",NA,1,1,1,1,1.66875895977599,0.976190476190476,1,0.611318407960199,1.19274522562719,7,"spiritual",7,7,7,4,1,1,5,4,0,1,32.527,44.764,"G2_S1",39,"woman",7,5,"African",NA,"email list + snowballing + internet sample (youtube and facebook) + students (University of Bras�lia)","mixed","no compensation + course credit","Portuguese"
798,"BRA","Brazil",0.166666666666667,0.857142857142857,0.5,0,NA,NA,0.333333333333333,0,0,0,-0.323531602427976,0.26530612244898,0,0.611318407960199,1.19274522562719,4,"spiritual",7,7,7,7,1,1,3,4,1,0,49.701,45.743,"G1_S2",34,"woman",6,3,"African",NA,"email list + snowballing + internet sample (youtube and facebook) + students (University of Bras�lia)","mixed","no compensation + course credit","Portuguese"
799,"BRA","Brazil",0.666666666666667,0.857142857142857,1,1,"Other:","Wicca",1,0.666666666666667,0.5,1,1.1900041690784,0.812925170068027,0.625,0.611318407960199,1.19274522562719,5,"spiritual",1,1,1,1,1,1,4,2,0,1,57.617,29.988,"G2_S1",22,"woman",4,6,"Caucasian/European",NA,"email list + snowballing + internet sample (youtube and facebook) + students (University of Bras�lia)","mixed","no compensation + course credit","Portuguese"
800,"BRA","Brazil",1,0.857142857142857,1,1,"Spiritist",NA,1,1,1,1,1.68760412486852,0.979591836734694,1,0.611318407960199,1.19274522562719,7,"scientific",7,7,7,7,1,1,4,5,0,0,37.382,36.002,"S1_G2",36,"woman",5,1,"Latin-American",NA,"email list + snowballing + internet sample (youtube and facebook) + students (University of Bras�lia)","mixed","no compensation + course credit","Portuguese"
801,"BRA","Brazil",0,0.857142857142857,0,1,"Christian (Roman Catholic)",NA,0.5,0,0.75,0.75,0.0978004695610089,0.408163265306122,0.125,0.611318407960199,1.19274522562719,6,"scientific",6,6,5,5,1,1,4,3,2,2,41.093,19.837,"S2_G1",35,"man",5,9,"Latin-American",NA,"email list + snowballing + internet sample (youtube and facebook) + students (University of Bras�lia)","mixed","no compensation + course credit","Portuguese"
802,"BRA","Brazil",0,0,0.5,0,NA,NA,0.333333333333333,0.833333333333333,0,0,-0.411322856284453,0.238095238095238,0.75,0.611318407960199,1.19274522562719,3,"scientific",3,4,6,5,1,1,5,4,0,0,39.314,29.561,"S1_G2",21,"woman",3,7,"Caucasian/European",NA,"email list + snowballing + internet sample (youtube and facebook) + students (University of Bras�lia)","mixed","no compensation + course credit","Portuguese"
803,"BRA","Brazil",0,0,0.5,0,NA,NA,0.5,0.333333333333333,0,0,-0.538749379922094,0.19047619047619,1,0.611318407960199,1.19274522562719,3,"spiritual",6,6,6,6,1,1,4,5,0,0,69.294,46.621,"G1_S2",22,"woman",4,8,"African",NA,"email list + snowballing + internet sample (youtube and facebook) + students (University of Bras�lia)","mixed","no compensation + course credit","Portuguese"
804,"BRA","Brazil",0.166666666666667,0.142857142857143,0.5,0,NA,NA,0.166666666666667,0.833333333333333,0,0,-0.344464445511153,0.258503401360544,0.625,0.611318407960199,1.19274522562719,3,"scientific",4,4,6,6,1,1,4,5,0,0,17.121,29.103,"S2_G1",24,"woman",5,6,"Latin-American",NA,"email list + snowballing + internet sample (youtube and facebook) + students (University of Bras�lia)","mixed","no compensation + course credit","Portuguese"
