,StartDate,EndDate,Status,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,age_1,footwear,footwear_DO_1,footwear_DO_2,footwear_DO_3,footwear_DO_4,footwear_DO_5,rsvp,rsvp_DO_1,rsvp_DO_2,rsvp_DO_3,rsvp_DO_4,rsvp_DO_5,elevator,elevator_DO_1,elevator_DO_2,elevator_DO_3,elevator_DO_4,elevator_DO_5,consent,X2015,X2010,X2005,X2000,X1995,X1990,X1985,X1980,X1975,X2000_born,X1995_born,X1990_born,X1985_born,X1980_born,X1975_born,X1970_born,X1965_born,X1960_born,X1955_.born,check_20,check_25,check_30,check_35,check_40,check_45,check_50,check_55,check_60,check_65,old_today,young_today,old_past,explain_more_20,explain_more_25,explain_more_30,explain_more_35,explain_more_40,explain_more_45,explain_more_50,explain_more_55,explain_more_60,explain_more_65,explain_less_20,explain_less_25,explain_less_30,explain_less_35,explain_less_40,explain_less_45,explain_less_50,explain_less_55,explain_less_60,explain_less_65,age,gender,race,income,check,check_4_TEXT,education,kids,political_ideology,oldest_kid,comments,inclusion,reason,diff,diff_born,diff_20,diff_cat,cat,cat2,born_minus_twenty,twenty_minus_today,born_minus_today,time,rating,participant
161.today,1/29/20 10:27,1/29/20 10:32,IP Address,100,323,TRUE,1/29/20 10:32,R_3Mfgw2OjUqQjw54,NA,NA,NA,NA,42.27830505,-71.15930176,anonymous,EN,45-49,Bell bottoms,5,1,3,2,4,A wedding invitation,5,2,1,3,4,An elevator,2,5,1,4,3,I consent to take part in this study,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,,,,,,"People are MORE kind, honest, nice, and good today compared to about 45 years ago",,,,,6,5,5,,,,,,"45 years ago the world was a more bigoted and unjust place.  Some people today, especially in social media and media in general, are trying really hard to be divisive, but people in the real world are charitable, giving, caring, and kind.  We're good people.  We just need to stop listening to media and social media.",,,,,,,,,,,,,,,49,Female,White,"$35,000 - $55,000",Other,apple,Four-year college degree,0,Somewhat conservative,NA,,NA,NA,1,1,0,more,"People are MORE kind, honest, nice, and good today compared to about 45 years ago",more,-1,0,-1,today,6,161
162.today,1/29/20 10:26,1/29/20 10:32,IP Address,100,380,TRUE,1/29/20 10:32,R_1FHeXz1XvKUZIYh,NA,NA,NA,NA,36.18249512,-79.81030273,anonymous,EN,35-39,Bell bottoms,4,2,5,1,3,A wedding invitation,1,4,3,5,2,An elevator,3,1,4,5,2,I consent to take part in this study,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,,,,"People are LESS kind, honest, nice, and good today compared to about 35 years ago",,,,,,,4,3,5,,,,,,,,,,,,,,"Because 35 years ago people used to be more kind, honest, nice and good. They used to care about other people. They used to help people when they are in difficult situations. But today no one cares about other people even their relatives. most of the people are not kind today. Most of them don't offer help.",,,,,,,39,Female,Asian,"$35,000 - $55,000",Other,apple,Four-year college degree,2,Somewhat conservative,2002,Nothing,NA,NA,-2,-2,-1,less,"People are LESS kind, honest, nice, and good today compared to about 35 years ago",less,1,1,2,today,4,162
163.today,1/29/20 10:26,1/29/20 10:32,IP Address,100,363,TRUE,1/29/20 10:32,R_9GBt4pfOzOhvYZj,NA,NA,NA,NA,34.27340698,-83.87809753,anonymous,EN,35-39,Bell bottoms,5,2,3,1,4,A wedding invitation,3,1,5,2,4,An elevator,5,3,1,4,2,I consent to take part in this study,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,,,,"People are LESS kind, honest, nice, and good today compared to about 35 years ago",,,,,,,1,1,4,,,,,,,,,,,,,,"We have people who promotes hate now more than ever and it has changed people for the worse.  Skin color wasn't an issue 35 years ago like it is now.  Racism has always been around but it is an all time high right now.  No one is kind, honest, or nice anymore.  People are full of hate",,,,,,,38,Male,White,"$35,000 - $55,000",Other,apple,Associate's degree,1,Very liberal,2001,,NA,NA,-5,-5,-3,less,"People are LESS kind, honest, nice, and good today compared to about 35 years ago",less,2,3,5,today,1,163
164.today,1/29/20 10:30,1/29/20 10:33,IP Address,100,124,TRUE,1/29/20 10:33,R_8c72VMlQjI0fFRv,NA,NA,NA,NA,35.63529968,-78.45030212,anonymous,EN,30-34,Bell bottoms,2,3,4,5,1,A wedding invitation,3,5,4,2,1,An elevator,5,3,1,2,4,I consent to take part in this study,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,,,"People are equally kind, honest, nice, and good today compared to about 30 years ago",,,,,,,,5,6,6,,,,,,,,,,,,,,,,,,,,,32,Male,White,"$95,000 - $150,000",Other,apple,Some college,0,Very liberal,NA,,NA,NA,0,0,0,equal,"People are equally kind, honest, nice, and good today compared to about 30 years ago",equal,0,0,0,today,5,164
165.today,1/29/20 10:30,1/29/20 10:33,IP Address,100,151,TRUE,1/29/20 10:33,R_2QK8C6CuF1dAcuZ,NA,NA,NA,NA,41.24369812,-85.85279846,anonymous,EN,30-34,Bell bottoms,2,3,4,1,5,A wedding invitation,2,1,4,5,3,An elevator,3,5,2,4,1,I consent to take part in this study,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,,,"People are MORE kind, honest, nice, and good today compared to about 30 years ago",,,,,,,,3,2,2,,,I think life got much more difficult and peoples struggles have made them realize we need to stick together. ,,,,,,,,,,,,,,,,,,32,Female,White,"$15,000 - $35,000",Other,apple,Associate's degree,1,Somewhat conservative,2017,,NA,NA,2,2,1,more,"People are MORE kind, honest, nice, and good today compared to about 30 years ago",more,-1,-1,-2,today,4,165
166.today,1/29/20 10:25,1/29/20 10:33,IP Address,100,432,TRUE,1/29/20 10:33,R_23UfWyq7OEckF9b,NA,NA,NA,NA,47.61090088,-122.3302994,anonymous,EN,25-29,Bell bottoms,5,1,3,2,4,A wedding invitation,3,4,5,2,1,An elevator,3,5,2,4,1,I consent to take part in this study,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,,"People are MORE kind, honest, nice, and good today compared to about 25 years ago",,,,,,,,,5,6,5,,it is very precious characteristics,,,,,,,,,,,,,,,,,,,25,Female,White,"$35,000 - $55,000",Other,apple,Four-year college degree,1,Very conservative,2019,good,NA,NA,1,1,0,more,"People are MORE kind, honest, nice, and good today compared to about 25 years ago",more,-1,0,-1,today,6,166
167.today,1/29/20 10:31,1/29/20 10:33,IP Address,100,114,TRUE,1/29/20 10:33,R_djmErnsuIHknsAh,NA,NA,NA,NA,40.07319641,-82.40170288,anonymous,EN,30-34,Bell bottoms,2,4,5,3,1,A wedding invitation,5,4,3,2,1,An elevator,3,4,2,5,1,I consent to take part in this study,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,,,"People are MORE kind, honest, nice, and good today compared to about 30 years ago",,,,,,,,7,6,7,,,yes good oppurtunity are good responce,,,,,,,,,,,,,,,,,,30,Male,Black or African-American,"$35,000 - $55,000",Other,apple,Graduate school,3,Very liberal,2009,good,NA,NA,1,1,0,more,"People are MORE kind, honest, nice, and good today compared to about 30 years ago",more,-1,0,-1,today,7,167
168.today,1/29/20 10:26,1/29/20 10:33,IP Address,100,417,TRUE,1/29/20 10:33,R_bwOZbJ53edDcDhT,NA,NA,NA,NA,41.68530273,-72.92960358,anonymous,EN,35-39,Bell bottoms,2,5,1,4,3,A wedding invitation,2,4,1,5,3,An elevator,4,1,5,3,2,I consent to take part in this study,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,,,,"People are LESS kind, honest, nice, and good today compared to about 35 years ago",,,,,,,4,3,5,,,,,,,,,,,,,,"People have forgotten things in the past which made us act nicer, and kinder to one another. Things like wars, and depressions, stuff where large groups of people were without and had to work together to make it through the hard times.",,,,,,,37,Female,White,"$15,000 - $35,000",Other,apple,High school diploma,0,Neither liberal nor conservative,NA,no comments thanks for asking though ;),NA,NA,-2,-2,-1,less,"People are LESS kind, honest, nice, and good today compared to about 35 years ago",less,1,1,2,today,4,168
169.today,1/29/20 10:27,1/29/20 10:33,IP Address,100,370,TRUE,1/29/20 10:33,R_cT6JD15kTMUbZap,NA,NA,NA,NA,39.15849304,-77.08370209,anonymous,EN,25-29,Bell bottoms,3,2,4,5,1,A wedding invitation,3,2,1,4,5,An elevator,1,4,3,2,5,I consent to take part in this study,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,,"People are LESS kind, honest, nice, and good today compared to about 25 years ago",,,,,,,,,6,4,5,,,,,,,,,,,,"I think the fact that they don't physically interact with people today is why they are less kind, honest, nice, and good. 25 years ago people were interacting more in person than we are today. Today we mostly interact using technology.",,,,,,,,,27,Female,Black or African-American,"$95,000 - $150,000",Other,apple,Four-year college degree,0,Somewhat conservative,NA,,NA,NA,-2,-2,-1,less,"People are LESS kind, honest, nice, and good today compared to about 25 years ago",less,1,1,2,today,5,169
170.today,1/29/20 10:31,1/29/20 10:33,IP Address,100,97,TRUE,1/29/20 10:33,R_28YczUdF8hIBywV,NA,NA,NA,NA,40.02229309,-79.07160187,anonymous,EN,35-39,Bell bottoms,4,2,3,1,5,A wedding invitation,1,4,5,3,2,An elevator,1,2,3,4,5,I consent to take part in this study,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,,,,"People are LESS kind, honest, nice, and good today compared to about 35 years ago",,,,,,,2,1,4,,,,,,,,,,,,,,"Less face to face social interaction, more emphasis on money and power.",,,,,,,39,Male,White,"$55,000 - $75,000",Other,apple,Four-year college degree,2,Very liberal,2010,,NA,NA,-3,-3,-2,less,"People are LESS kind, honest, nice, and good today compared to about 35 years ago",less,1,2,3,today,4,170
171.today,1/29/20 10:31,1/29/20 10:33,IP Address,100,132,TRUE,1/29/20 10:33,R_1onKZoTnQfg9L6y,NA,NA,NA,NA,26.71650696,-80.06790161,anonymous,EN,30-34,Bell bottoms,2,1,5,4,3,A wedding invitation,4,1,3,5,2,An elevator,4,3,1,2,5,I consent to take part in this study,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,,,"People are equally kind, honest, nice, and good today compared to about 30 years ago",,,,,,,,4,4,4,,,,,,,,,,,,,,,,,,,,,31,Female,White,"$55,000 - $75,000",Other,apple,Four-year college degree,0,Somewhat liberal,NA,none,NA,NA,0,0,0,equal,"People are equally kind, honest, nice, and good today compared to about 30 years ago",equal,0,0,0,today,4,171
172.today,1/29/20 10:31,1/29/20 10:33,IP Address,100,98,TRUE,1/29/20 10:33,R_1g22pFz8plPqsmg,NA,NA,NA,NA,32.71470642,-79.95259857,anonymous,EN,25-29,Bell bottoms,1,5,4,2,3,A wedding invitation,5,2,1,4,3,An elevator,5,1,3,2,4,I consent to take part in this study,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,,"People are MORE kind, honest, nice, and good today compared to about 25 years ago",,,,,,,,,7,4,5,,the interenet,,,,,,,,,,,,,,,,,,,28,Male,White,"$35,000 - $55,000",Other,apple,High school diploma,1,Very conservative,2012,,NA,NA,5,5,-1,more,"People are MORE kind, honest, nice, and good today compared to about 25 years ago",more,-6,1,-5,today,6,172
173.today,1/29/20 10:31,1/29/20 10:33,IP Address,100,104,TRUE,1/29/20 10:33,R_3rIJ5aFlp7xBq6n,NA,NA,NA,NA,41.89720154,-87.61959839,anonymous,EN,35-39,Bell bottoms,1,3,2,4,5,A wedding invitation,1,5,2,4,3,An elevator,1,5,2,3,4,I consent to take part in this study,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,,,,"People are MORE kind, honest, nice, and good today compared to about 35 years ago",,,,,,,5,4,4,,,,Probably change in social structure of society.,,,,,,,,,,,,,,,,,35,Male,White,"$35,000 - $55,000",Other,apple,Four-year college degree,0,Very liberal,NA,,NA,NA,2,2,1,more,"People are MORE kind, honest, nice, and good today compared to about 35 years ago",more,-1,-1,-2,today,5,173
174.today,1/29/20 10:31,1/29/20 10:33,IP Address,100,109,TRUE,1/29/20 10:33,R_A6GxxfatNkMgSZ3,NA,NA,NA,NA,32.89830017,-96.12609863,anonymous,EN,25-29,Bell bottoms,2,1,4,3,5,A wedding invitation,4,5,1,3,2,An elevator,5,4,2,3,1,I consent to take part in this study,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,,"People are LESS kind, honest, nice, and good today compared to about 25 years ago",,,,,,,,,4,3,5,,,,,,,,,,,,The internet. It has made people less accountable for their words so they are more free to be mean to each other.,,,,,,,,,26,Male,White,"$35,000 - $55,000",Other,apple,High school diploma,0,Somewhat conservative,NA,,NA,NA,-1,-1,0,less,"People are LESS kind, honest, nice, and good today compared to about 25 years ago",less,1,0,1,today,6,174
175.today,1/29/20 10:30,1/29/20 10:33,IP Address,100,215,TRUE,1/29/20 10:33,R_1q2oXi4vcW7RK2b,NA,NA,NA,NA,42.35749817,-83.21620178,anonymous,EN,35-39,Bell bottoms,5,1,2,3,4,A wedding invitation,5,1,4,2,3,An elevator,4,2,3,1,5,I consent to take part in this study,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,,,,"People are MORE kind, honest, nice, and good today compared to about 35 years ago",,,,,,,5,3,6,,,,More of a social connection to each other with technology.,,,,,,,,,,,,,,,,,38,Male,Black or African-American,"$55,000 - $75,000",Other,apple,Four-year college degree,0,Somewhat liberal,NA,,NA,NA,2,2,1,more,"People are MORE kind, honest, nice, and good today compared to about 35 years ago",more,-1,-1,-2,today,4,175
176.today,1/29/20 10:30,1/29/20 10:33,IP Address,100,182,TRUE,1/29/20 10:33,R_9LTDjs0hT5r6mkh,NA,NA,NA,NA,39.08509827,-77.05899811,anonymous,EN,30-34,Bell bottoms,2,3,1,4,5,A wedding invitation,1,5,2,3,4,An elevator,5,4,3,1,2,I consent to take part in this study,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,,,"People are MORE kind, honest, nice, and good today compared to about 30 years ago",,,,,,,,6,6,7,,,Very honest for response in always,,,,,,,,,,,,,,,,,,30,Male,Black or African-American,"$35,000 - $55,000",Other,apple,Some graduate school,1,Very liberal,2018,,NA,NA,1,1,-1,more,"People are MORE kind, honest, nice, and good today compared to about 30 years ago",more,-2,1,-1,today,6,176
177.today,1/29/20 10:25,1/29/20 10:33,IP Address,100,466,TRUE,1/29/20 10:33,R_3KBYeb2bJDb4j7Q,NA,NA,NA,NA,40.34689331,-79.86889648,anonymous,EN,30-34,Bell bottoms,4,1,2,3,5,A wedding invitation,5,4,2,1,3,An elevator,2,4,5,1,3,I consent to take part in this study,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,,,"People are LESS kind, honest, nice, and good today compared to about 30 years ago",,,,,,,,2,4,2,,,,,,,,,,,,,"Honestly, I feel like technology is to blame. More specifically, social media. It's just too easy to be mean when you get to hide behind a desk. ",,,,,,,,32,Female,White,"$55,000 - $75,000",Other,apple,High school diploma,0,Neither liberal nor conservative,NA,,NA,NA,-3,-3,-2,less,"People are LESS kind, honest, nice, and good today compared to about 30 years ago",less,1,2,3,today,3,177
178.today,1/29/20 10:26,1/29/20 10:33,IP Address,100,446,TRUE,1/29/20 10:33,R_XUksi0NlIiMZtiV,NA,NA,NA,NA,42.53529358,-83.77680206,anonymous,EN,65-69,Bell bottoms,4,1,5,3,2,A wedding invitation,4,5,2,3,1,An elevator,4,1,2,3,5,I consent to take part in this study,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,,,,,,,,,,"People are LESS kind, honest, nice, and good today compared to about 65 years ago",5,3,6,,,,,,,,,,,,,,,,,,,,"People are much more polarized and the internet has provided a means of finding like thinkers and effectively getting opinions out and argued.  People, also, seem to be much more thin-skinned and easily offended than people were years ago.",69,Male,White,"$55,000 - $75,000",Other,apple,Graduate school,3,Somewhat liberal,1971,no,NA,NA,-4,-4,-3,less,"People are LESS kind, honest, nice, and good today compared to about 65 years ago",less,1,3,4,today,3,178
179.today,1/29/20 10:30,1/29/20 10:33,IP Address,100,202,TRUE,1/29/20 10:33,R_2zeFoTegIuLJ9v3,NA,NA,NA,NA,36.10079956,-115.1364975,anonymous,EN,50-54,Bell bottoms,4,5,2,3,1,A wedding invitation,5,2,3,4,1,An elevator,3,1,5,4,2,I consent to take part in this study,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,,,,,,,"People are MORE kind, honest, nice, and good today compared to about 50 years ago",,,,6,7,6,,,,,,,The economy has allowed people to be more genuine. Thus more kind. ,,,,,,,,,,,,,,50,Male,White,"$75,000 - $95,000",Other,apple,Four-year college degree,1,Somewhat liberal,2007,Interesting! Have a nice day!,NA,NA,1,1,0,more,"People are MORE kind, honest, nice, and good today compared to about 50 years ago",more,-1,0,-1,today,6,179
180.today,1/29/20 10:28,1/29/20 10:34,IP Address,100,320,TRUE,1/29/20 10:34,R_3luBXtdi8AKkKMD,NA,NA,NA,NA,40.42680359,-79.89350128,anonymous,EN,40-44,Bell bottoms,5,3,1,2,4,A wedding invitation,5,4,1,3,2,An elevator,1,2,5,4,3,I consent to take part in this study,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,,,,,"People are LESS kind, honest, nice, and good today compared to about 40 years ago",,,,,,6,4,6,,,,,,,,,,,,,,,"I think it is how people are being raised. Less and less people are raising their kids to be nice, and kind. It is more about what can we get, what am I due in life. It is all about me and not so much about others.",,,,,,43,Female,White,"$35,000 - $55,000",Other,apple,Associate's degree,1,Somewhat conservative,1996,,NA,NA,-2,-2,0,less,"People are LESS kind, honest, nice, and good today compared to about 40 years ago",less,2,0,2,today,4,180
181.today,1/29/20 10:31,1/29/20 10:34,IP Address,100,178,TRUE,1/29/20 10:34,R_3COT84gfTrxvnW0,NA,NA,NA,NA,43.01100159,-71.45709991,anonymous,EN,35-39,Bell bottoms,4,2,1,3,5,A wedding invitation,2,4,1,3,5,An elevator,4,1,5,3,2,I consent to take part in this study,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,,,,"People are equally kind, honest, nice, and good today compared to about 35 years ago",,,,,,,6,5,5,,,,,,,,,,,,,,,,,,,,,37,Female,White,"$95,000 - $150,000",Other,apple,Some college,3,Very liberal,2003,none,NA,NA,0,0,0,equal,"People are equally kind, honest, nice, and good today compared to about 35 years ago",equal,0,0,0,today,5,181
182.today,1/29/20 10:30,1/29/20 10:34,IP Address,100,227,TRUE,1/29/20 10:34,R_2fIHFBJLWgnCqTj,NA,NA,NA,NA,38.88969421,-121.2873001,anonymous,EN,30-34,Bell bottoms,5,3,1,2,4,A wedding invitation,2,5,1,4,3,An elevator,1,2,3,5,4,I consent to take part in this study,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,,,"People are LESS kind, honest, nice, and good today compared to about 30 years ago",,,,,,,,5,3,3,,,,,,,,,,,,,People are more jaded these days it feels like which has made people more sensitive. People are less social as well except on the internet where it's hard to read people. ,,,,,,,,30,Female,White,"$35,000 - $55,000",Other,apple,Some college,0,Somewhat liberal,NA,,NA,NA,-2,-2,-1,less,"People are LESS kind, honest, nice, and good today compared to about 30 years ago",less,1,1,2,today,4,182
183.today,1/29/20 10:32,1/29/20 10:34,IP Address,100,119,TRUE,1/29/20 10:34,R_3j7foIQYT5lBCck,NA,NA,NA,NA,28.24020386,-82.69999695,anonymous,EN,65-69,Bell bottoms,5,2,1,4,3,A wedding invitation,4,1,5,3,2,An elevator,2,3,5,4,1,I consent to take part in this study,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,,,,,,,,,,"People are equally kind, honest, nice, and good today compared to about 65 years ago",6,4,4,,,,,,,,,,,,,,,,,,,,,65,Male,White,"$15,000 - $35,000",Other,apple,Associate's degree,2,Somewhat conservative,1975,no comments,NA,NA,0,0,0,equal,"People are equally kind, honest, nice, and good today compared to about 65 years ago",equal,0,0,0,today,5,183
184.today,1/29/20 10:32,1/29/20 10:34,IP Address,100,114,TRUE,1/29/20 10:34,R_3j7EcAV0XeEjlJl,NA,NA,NA,NA,39.84989929,-86.26490021,anonymous,EN,35-39,Bell bottoms,1,2,4,5,3,A wedding invitation,3,4,2,1,5,An elevator,2,3,1,5,4,I consent to take part in this study,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,,,,"People are equally kind, honest, nice, and good today compared to about 35 years ago",,,,,,,3,5,4,,,,,,,,,,,,,,,,,,,,,36,Male,White,"$35,000 - $55,000",Other,apple,Four-year college degree,2,Very liberal,2006,,NA,NA,0,0,0,equal,"People are equally kind, honest, nice, and good today compared to about 35 years ago",equal,0,0,0,today,4,184
185.today,1/29/20 10:31,1/29/20 10:34,IP Address,100,194,TRUE,1/29/20 10:34,R_ylSTC4WJogMKXXr,NA,NA,NA,NA,41.02870178,-74.64289856,anonymous,EN,50-54,Bell bottoms,4,5,2,3,1,A wedding invitation,4,3,5,1,2,An elevator,5,1,2,3,4,I consent to take part in this study,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,,,,,,,"People are LESS kind, honest, nice, and good today compared to about 50 years ago",,,,5,4,6,,,,,,,,,,,,,,,,,"People have too much going on and have a ""me"" attitude. ",,,,51,Female,White,"$35,000 - $55,000",Other,apple,Some college,3,Neither liberal nor conservative,1993,Thank you!,NA,NA,-2,-2,-1,less,"People are LESS kind, honest, nice, and good today compared to about 50 years ago",less,1,1,2,today,5,185
186.today,1/29/20 10:29,1/29/20 10:34,IP Address,100,301,TRUE,1/29/20 10:34,R_38a85K0tyxDdTaN,NA,NA,NA,NA,42.58259583,-71.09490204,anonymous,EN,30-34,Bell bottoms,2,1,4,5,3,A wedding invitation,2,4,3,1,5,An elevator,1,5,3,4,2,I consent to take part in this study,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,,,"People are MORE kind, honest, nice, and good today compared to about 30 years ago",,,,,,,,5,5,3,,,Can't say the exact reason but education really helps for people to be more kind and nice. ,,,,,,,,,,,,,,,,,,34,Female,Asian,"$95,000 - $150,000",Other,apple,Four-year college degree,1,Neither liberal nor conservative,2014,,NA,NA,3,3,3,more,"People are MORE kind, honest, nice, and good today compared to about 30 years ago",more,0,-3,-3,today,6,186
187.today,1/29/20 10:27,1/29/20 10:34,IP Address,100,420,TRUE,1/29/20 10:34,R_psJnNskwOgWfwOt,NA,NA,NA,NA,30.86480713,-88.65029907,anonymous,EN,45-49,Bell bottoms,3,5,4,2,1,A wedding invitation,2,3,4,5,1,An elevator,2,5,1,4,3,I consent to take part in this study,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,,,,,,"People are LESS kind, honest, nice, and good today compared to about 45 years ago",,,,,4,3,3,,,,,,,,,,,,,,,,"in general the upbringing,ie.kids raising kids.",,,,,46,Male,White,"less than $15,000",Other,apple,High school diploma,4+,Neither liberal nor conservative,1993,n/a,NA,NA,-1,-1,2,less,"People are LESS kind, honest, nice, and good today compared to about 45 years ago",less,3,-2,1,today,5,187
188.today,1/29/20 10:27,1/29/20 10:34,IP Address,100,438,TRUE,1/29/20 10:34,R_1EdiR0bI4v9DmeI,NA,NA,NA,NA,40.87309265,-73.87259674,anonymous,EN,30-34,Bell bottoms,2,1,5,4,3,A wedding invitation,3,4,2,5,1,An elevator,4,2,1,5,3,I consent to take part in this study,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,,,"People are LESS kind, honest, nice, and good today compared to about 30 years ago",,,,,,,,2,2,2,,,,,,,,,,,,,the cicumstances in today's society less people are happy and trying to survive and  dealing with unfairness in todays world,,,,,,,,30,Male,Black or African-American,"$35,000 - $55,000",Other,apple,Some college,0,Neither liberal nor conservative,NA,,NA,NA,-1,-1,-1,less,"People are LESS kind, honest, nice, and good today compared to about 30 years ago",less,0,1,1,today,2,188
189.today,1/29/20 10:33,1/29/20 10:34,IP Address,100,92,TRUE,1/29/20 10:34,R_278MjJSgkKC2eia,NA,NA,NA,NA,39.34080505,-76.40779877,anonymous,EN,40-44,Bell bottoms,3,1,5,4,2,A wedding invitation,1,2,5,3,4,An elevator,2,4,5,3,1,I consent to take part in this study,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,,,,,"People are equally kind, honest, nice, and good today compared to about 40 years ago",,,,,,5,4,5,,,,,,,,,,,,,,,,,,,,,40,Male,White,"$55,000 - $75,000",Other,apple,Graduate school,0,Somewhat liberal,NA,N/A,NA,NA,0,0,0,equal,"People are equally kind, honest, nice, and good today compared to about 40 years ago",equal,0,0,0,today,5,189
190.today,1/29/20 10:31,1/29/20 10:34,IP Address,100,188,TRUE,1/29/20 10:34,R_3RlyQPTUyQfsnOX,NA,NA,NA,NA,41.07989502,-80.6391983,anonymous,EN,30-34,Bell bottoms,2,1,3,4,5,A wedding invitation,1,5,3,4,2,An elevator,5,2,1,3,4,I consent to take part in this study,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,,,"People are LESS kind, honest, nice, and good today compared to about 30 years ago",,,,,,,,5,3,3,,,,,,,,,,,,,i feel like there wasnt so much hate people had more compassion especially kids ,,,,,,,,34,Female,Black or African-American,"$55,000 - $75,000",Other,apple,Some college,4+,Neither liberal nor conservative,2012,no,NA,NA,-1,-1,0,less,"People are LESS kind, honest, nice, and good today compared to about 30 years ago",less,1,0,1,today,4,190
191.today,1/29/20 10:27,1/29/20 10:34,IP Address,100,440,TRUE,1/29/20 10:34,R_31Xz0kCdTyUSxHT,NA,NA,NA,NA,36.3401947,-79.66220093,anonymous,EN,40-44,Bell bottoms,3,4,5,2,1,A wedding invitation,3,1,2,4,5,An elevator,1,2,3,5,4,I consent to take part in this study,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,,,,,"People are LESS kind, honest, nice, and good today compared to about 40 years ago",,,,,,4,2,5,,,,,,,,,,,,,,,The way the world has changed. The advancement of technology and the internet giving people a bigger platform to say and do more hurtful and harmful things. People are exposed to the ugly side of life at a way earlier age now. Kind of makes you numb to most things,,,,,,40,Female,White,"$55,000 - $75,000",Other,apple,Four-year college degree,2,Somewhat liberal,2008,,NA,NA,-1,-1,0,less,"People are LESS kind, honest, nice, and good today compared to about 40 years ago",less,1,0,1,today,3,191
