,Source,Question,Response options,Years,N,b,R2,% of 89% HDI in ROPE,data_source,
86,KRC Research,"Generally speaking, do you believe there is a major problem, minor problem, or not much of a problem with the general tone and level of civility in the country today?","Major problem [3], Minor problem [2], Not much of a problem [1]","2010-2017, 2019",9192,0.006,0.0008,100,https://www.webershandwick.com/news/civility-in-america-2019-solutions-for-tomorrow/,
87,KRC Research,"In an average 7-day week, how many times would you say you encounter incivility, in your in-person interactions with people and online in social networks [2016-2019: ""and in your online interactions with people]? Please use your best estimate. IN-PERSON INTERACTIONS.","0, 1-5, 6-10, 11-15, 16+","2013-2017, 2019",5628,-0.13,0.005,100,https://www.webershandwick.com/news/civility-in-america-2019-solutions-for-tomorrow/,
88,KRC Research,"In an average 7-day week, how many times would you say you encounter incivility, in your in-person interactions with people and online in social networks [2016-2019: ""and in your online interactions with people]? Please use your best estimate. ONLINE INTERACTIONS.","0, 1-5, 6-10, 11-15, 16+","2013-2017, 2019",5628,0.03,0.0002,100,https://www.webershandwick.com/news/civility-in-america-2019-solutions-for-tomorrow/,
89,KRC Research,[ASKED OF THOSE EMPLOYED] How would you describe the general tone and level of civility in your place of employment?,"Very civil [4], Somewhat civil [3], Somewhat uncivil [2], Very uncivil [1]","2016, 2017, 2019",1606,-0.002,0.00001,100,https://www.webershandwick.com/news/civility-in-america-2019-solutions-for-tomorrow/,
90,KRC Research,"Which of the following, if any, have you personally experienced? [instances of incvility]","Any [1], None [0]",2011-2016,"6,134",-0.04,0.0007,100,https://www.webershandwick.com/news/civility-in-america-2019-solutions-for-tomorrow/,
91,World Values Survey,"Generally speaking, would you say that most people can be trusted or that you need to be very careful in dealing with people?","Can't be too careful [1], Most people can be trusted [0]","1981, 1995, 1999, 2001, 2006, 2011, 2017","8,902",0.003,0.003,100,https://www.worldvaluessurvey.org/wvs.jsp,
92,World Values Survey,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. UNSELFISHNESS","Not mentioned [0], Mentioned as important [1]","1981, 1995, 1999, 2001, 2006, 2011, 2017","14,154",0.002,0.001,100,https://www.worldvaluessurvey.org/wvs.jsp,
93,World Values Survey,How much respect is there for individual human rights nowadays (in our country)?. Do you feel there is:,"A great deal of respect for individual human rights [1], Fairly much respect [2], Not much respect [3], No respect at all [4]","1999, 2001, 2006, 2011, 2017","8,304",0.02,0.005,100,https://www.worldvaluessurvey.org/wvs.jsp,
94,World Values Survey,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. TOLERANCE","Not mentioned [0], Mentioned as important [1]","1981, 1995, 1999, 2001, 2006, 2011, 2017","14,154",0.004,0.004,100,https://www.worldvaluessurvey.org/wvs.jsp,
95,World Values Survey,"I'd like to ask you how much you trust people from various groups. Could you tell me for each whether you trust people from this group completely, somewhat, not very much or not at all? People of another religion.","Trust completely [1], Trust somewhat [2], Don't trust very much [3], Do not trust at all [4]","2006, 2011, 2017",5932,0.02,0.001,100,https://www.worldvaluessurvey.org/wvs.jsp,
96,World Values Survey,"I'd like to ask you how much you trust people from various groups. Could you tell me for each whether you trust people from this group completely, somewhat, not very much or not at all? People of another nationality.","Trust completely [1], Trust somewhat [2], Don't trust very much [3], Do not trust at all [4]","2006, 2011, 2017",5921,-0.006,0.0002,100,https://www.worldvaluessurvey.org/wvs.jsp,
97,World Values Survey,"I'd like to ask you how much you trust people from various groups. Could you tell me for each whether you trust people from this group completely, somewhat, not very much or not at all? People you know personally.","Trust completely [1], Trust somewhat [2], Don't trust very much [3], Do not trust at all [4]","2006, 2011, 2017",5958,0.003,0.00009,100,https://www.worldvaluessurvey.org/wvs.jsp,
98,World Values Survey,"I'd like to ask you how much you trust people from various groups. Could you tell me for each whether you trust people from this group completely, somewhat, not very much or not at all? People you meet for the first time.","Trust completely [1], Trust somewhat [2], Don't trust very much [3], Do not trust at all [4]","2006, 2011, 2017",5971,0.002,0.00001,100,https://www.worldvaluessurvey.org/wvs.jsp,
99,World Values Survey,"I'd like to ask you how much you trust people from various groups. Could you tell me for each whether you trust people from this group completely, somewhat, not very much or not at all? Your neighborhood.","Trust completely [1], Trust somewhat [2], Don't trust very much [3], Do not trust at all [4]","2006, 2011, 2017",5965,0.008,0.0003,100,https://www.worldvaluessurvey.org/wvs.jsp,
100,World Values Survey,"I'd like to ask you how much you trust people from various groups. Could you tell me for each whether you trust people from this group completely, somewhat, not very much or not at all? Your family.","Trust completely [1], Trust somewhat [2], Don't trust very much [3], Do not trust at all [4]","2006, 2011, 2017",5978,0.02,0.003,100,https://www.worldvaluessurvey.org/wvs.jsp,
101,World Values Survey,"Do you think most people would try to take advantage of you if they got a chance, or would they try to be fair? Please show your response on this card, where 1 means that “people would try to take advantage of you,” and 10 means that “people would try to be fair”:",Most people try to take advantage of me [1] - Most people try to be fair [10],"2006, 2011",3436,0.001,0.00003,100,https://www.worldvaluessurvey.org/wvs.jsp,
102,European Values Study,"Here is a list of qualities which children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Tolerance and respect for other people",[participants could choose the quality from the list or not],1981-2017 (but varies by country),4164,0.02,0.02,100,https://europeanvaluesstudy.eu/,
103,European Values Study,"Here is a list of qualities which children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Unselfishness",[participants could choose the quality from the list or not],1981-2017 (but varies by country),4164,0.02,0.02,100,https://europeanvaluesstudy.eu/,
104,European Values Study,"Please look carefully at the following list of voluntary organisations and activities and say ... b) which, if any, are you currently doing unpaid voluntary work for? Social welfare services for elderly, handicapped or deprived people","[participants could indicate they currently do unpaid work, or not]",1981-2017 (but varies by country),4164,-0.0008,-0.00006,100,https://europeanvaluesstudy.eu/,
105,European Values Study,"Please look carefully at the following list of voluntary organisations and activities and say ... b) which, if any, are you currently doing unpaid voluntary work for? And do you currently do any unpaid work for any of them? Third world development or human rights","[participants could indicate they currently do unpaid work, or not]",1981-2017 (but varies by country),4164,-0.001,0.001,100,https://europeanvaluesstudy.eu/,
106,European Values Study,"Generally speaking, would you say that most people can be trusted or that you can't be too careful in dealing with people?","Most people can be trusted (recoded as 1), can't be too careful (recoded as 0)",1981-2017 (but varies by country),4041,0.01,0.008,100,https://europeanvaluesstudy.eu/,
107,European Values Study,Here are some aspects of a job that people say are important. Please look at them and tell me which ones you personally think are important in a job? A useful job for society,[participants could choose the quality from the list or not],1981-2017 (but varies by country),4164,-0.002,-0.0001,100,https://europeanvaluesstudy.eu/,
