,source_name,question,source,,year,N,worse
146,TIPP/Investor's Business Daily/Christian Science Monitor,"Okay, and generally speaking, how satisfied are you with the direction that the country is going in at this time in terms of morals and ethics? Would you say you are...very satisfied, somewhat satisfied, not very satisfied, or not at all satisfied?",Roper Center iPoll Database (proprietary),,2003,905,***
147,TIPP/Investor's Business Daily/Christian Science Monitor,"Okay, and generally speaking, how satisfied are you with the direction that the country is going in at this time in terms of morals and ethics? Would you say you are...very satisfied, somewhat satisfied, not very satisfied, or not at all satisfied?",Roper Center iPoll Database (proprietary),,2003,903,***
148,TIPP/Investor's Business Daily/Christian Science Monitor,"Okay, and generally speaking, how satisfied are you with the direction that the country is going in at this time in terms of morals and ethics? Would you say you are...very satisfied, somewhat satisfied, not very satisfied, or not at all satisfied?",Roper Center iPoll Database (proprietary),,2003,901,***
149,TIPP/Investor's Business Daily/Christian Science Monitor,"Okay, and generally speaking, how satisfied are you with the direction that the country is going in at this time in terms of morals and ethics? Would you say you are...very satisfied, somewhat satisfied, not very satisfied, or not at all satisfied?",Roper Center iPoll Database (proprietary),,2003,901,***
150,TIPP/Investor's Business Daily/Christian Science Monitor,"Okay, and generally speaking, how satisfied are you with the direction that the country is going in at this time in terms of morals and ethics? Would you say you are...very satisfied, somewhat satisfied, not very satisfied, or not at all satisfied?",Roper Center iPoll Database (proprietary),,2003,901,***
151,TIPP/Investor's Business Daily/Christian Science Monitor,"Okay, and generally speaking, how satisfied are you with the direction that the country is going in at this time in terms of morals and ethics? Would you say you are...very satisfied, somewhat satisfied, not very satisfied, or not at all satisfied?",Roper Center iPoll Database (proprietary),,2003,919,***
152,TIPP/Investor's Business Daily/Christian Science Monitor,"Okay, and generally speaking, how satisfied are you with the direction that the country is going in at this time in terms of morals and ethics? Would you say you are...very satisfied, somewhat satisfied, not very satisfied, or not at all satisfied?",Roper Center iPoll Database (proprietary),,2003,906,***
153,TIPP/Investor's Business Daily/Christian Science Monitor,"Okay, and generally speaking, how satisfied are you with the direction that the country is going in at this time in terms of morals and ethics? Would you say you are...very satisfied, somewhat satisfied, not very satisfied, or not at all satisfied?",Roper Center iPoll Database (proprietary),,2003,928,***
154,TIPP/Investor's Business Daily/Christian Science Monitor,"Okay, and generally speaking, how satisfied are you with the direction that the country is going in at this time in terms of morals and ethics? Would you say you are...very satisfied, somewhat satisfied, not very satisfied, or not at all satisfied?",Roper Center iPoll Database (proprietary),,2003,900,***
155,TIPP/Investor's Business Daily/Christian Science Monitor,"Okay, and generally speaking, how satisfied are you with the direction that the country is going in at this time in terms of morals and ethics? Would you say you are...very satisfied, somewhat satisfied, not very satisfied, or not at all satisfied?",Roper Center iPoll Database (proprietary),,2003,902,***
156,TIPP/Investor's Business Daily/Christian Science Monitor,"Okay, and generally speaking, how satisfied are you with the direction that the country is going in at this time in terms of morals and ethics? Would you say you are...very satisfied, somewhat satisfied, not very satisfied, or not at all satisfied?",Roper Center iPoll Database (proprietary),,2002,900,***
157,TIPP/Investor's Business Daily/Christian Science Monitor,"Okay, and generally speaking, how satisfied are you with the direction that the country is going in at this time in terms of morals and ethics? Would you say you are...very satisfied, somewhat satisfied, not very satisfied, or not at all satisfied?",Roper Center iPoll Database (proprietary),,2002,900,***
158,TIPP/Investor's Business Daily/Christian Science Monitor,"Okay, and generally speaking, how satisfied are you with the direction that the country is going in at this time in terms of morals and ethics? Would you say you are...very satisfied, somewhat satisfied, not very satisfied, or not at all satisfied?",Roper Center iPoll Database (proprietary),,2002,912,***
159,TIPP/Investor's Business Daily/Christian Science Monitor,"Okay, and generally speaking, how satisfied are you with the direction that the country is going in at this time in terms of morals and ethics? Would you say you are...very satisfied, somewhat satisfied, not very satisfied, or not at all satisfied?",Roper Center iPoll Database (proprietary),,2002,914,***
160,TIPP/Investor's Business Daily/Christian Science Monitor,"Okay, and generally speaking, how satisfied are you with the direction that the country is going in at this time in terms of morals and ethics? Would you say you are...very satisfied, somewhat satisfied, not very satisfied, or not at all satisfied?",Roper Center iPoll Database (proprietary),,2002,903,***
161,TIPP/Investor's Business Daily/Christian Science Monitor,"Okay, and generally speaking, how satisfied are you with the direction that the country is going in at this time in terms of morals and ethics? Would you say you are...very satisfied, somewhat satisfied, not very satisfied, or not at all satisfied?",Roper Center iPoll Database (proprietary),,2002,924,***
162,TIPP/Investor's Business Daily/Christian Science Monitor,"Okay, and generally speaking, how satisfied are you with the direction that the country is going in at this time in terms of morals and ethics? Would you say you are...very satisfied, somewhat satisfied, not very satisfied, or not at all satisfied?",Roper Center iPoll Database (proprietary),,2002,900,***
163,TIPP/Investor's Business Daily/Christian Science Monitor,"Okay, and generally speaking, how satisfied are you with the direction that the country is going in at this time in terms of morals and ethics? Would you say you are...very satisfied, somewhat satisfied, not very satisfied, or not at all satisfied?",Roper Center iPoll Database (proprietary),,2002,906,***
164,TIPP/Investor's Business Daily/Christian Science Monitor,"Okay, and generally speaking, how satisfied are you with the direction that the country is going in at this time in terms of morals and ethics? Would you say you are...very satisfied, somewhat satisfied, not very satisfied, or not at all satisfied?",Roper Center iPoll Database (proprietary),,2002,900,***
165,TIPP/Investor's Business Daily/Christian Science Monitor,"Okay, and generally speaking, how satisfied are you with the direction that the country is going in at this time in terms of morals and ethics? Would you say you are...very satisfied, somewhat satisfied, not very satisfied, or not at all satisfied?",Roper Center iPoll Database (proprietary),,2002,921,***
166,TIPP/Investor's Business Daily/Christian Science Monitor,"Okay, and generally speaking, how satisfied are you with the direction that the country is going in at this time in terms of morals and ethics? Would you say you are...very satisfied, somewhat satisfied, not very satisfied, or not at all satisfied?",Roper Center iPoll Database (proprietary),,2002,902,***
167,TIPP/Investor's Business Daily/Christian Science Monitor,"Okay, and generally speaking, how satisfied are you with the direction that the country is going in at this time in terms of morals and ethics? Would you say you are...very satisfied, somewhat satisfied, not very satisfied, or not at all satisfied?",Roper Center iPoll Database (proprietary),,2002,906,***
168,TIPP/Investor's Business Daily/Christian Science Monitor,"Okay, and generally speaking, how satisfied are you with the direction that the country is going in at this time in terms of morals and ethics? Would you say you are...very satisfied, somewhat satisfied, not very satisfied, or not at all satisfied?",Roper Center iPoll Database (proprietary),,2001,921,***
169,TIPP/Investor's Business Daily/Christian Science Monitor,"Okay, and generally speaking, how satisfied are you with the direction that the country is going in at this time in terms of morals and ethics? Would you say you are...very satisfied, somewhat satisfied, not very satisfied, or not at all satisfied?",Roper Center iPoll Database (proprietary),,2001,920,***
170,TIPP/Investor's Business Daily/Christian Science Monitor,"Okay, and generally speaking, how satisfied are you with the direction that the country is going in at this time in terms of morals and ethics? Would you say you are...very satisfied, somewhat satisfied, not very satisfied, or not at all satisfied?",Roper Center iPoll Database (proprietary),,2001,925,***
171,TIPP/Investor's Business Daily/Christian Science Monitor,"Okay, and generally speaking, how satisfied are you with the direction that the country is going in at this time in terms of morals and ethics? Would you say you are...very satisfied, somewhat satisfied, not very satisfied, or not at all satisfied?",Roper Center iPoll Database (proprietary),,2001,909,***
172,TIPP/Investor's Business Daily/Christian Science Monitor,"Okay, and generally speaking, how satisfied are you with the direction that the country is going in at this time in terms of morals and ethics? Would you say you are...very satisfied, somewhat satisfied, not very satisfied, or not at all satisfied?",Roper Center iPoll Database (proprietary),,2001,949,***
173,TIPP/Investor's Business Daily/Christian Science Monitor,"Okay, and generally speaking, how satisfied are you with the direction that the country is going in at this time in terms of morals and ethics? Would you say you are...very satisfied, somewhat satisfied, not very satisfied, or not at all satisfied?",Roper Center iPoll Database (proprietary),,2001,909,***
174,TIPP/Investor's Business Daily/Christian Science Monitor,"Okay, and generally speaking, how satisfied are you with the direction that the country is going in at this time in terms of morals and ethics? Would you say you are...very satisfied, somewhat satisfied, not very satisfied, or not at all satisfied?",Roper Center iPoll Database (proprietary),,2001,909,***
175,Economist - PTN,The government has reported a steady decline in the rate of violent crime over the last twenty years. Do you think the government is correct and the rate of violent crime has decreased or do you think the rate of violent crime has remained the same or even increased over the past twenty years?,Polling the Nations (proprietary),,2019,1500,***
176,Kaiser Family Foundation - PTN,"For each issue I read please tell me if you think it is a major problem facing our country, a minor problem or not a problem at all. Decline in moral values.",Polling the Nations (proprietary),,1999,3884,***
177,YouGov,The government has reported a steady decline in the rate of violent crime over the last twenty years. Do you think the government is correct and the rate of violent crime has decreased or do you think the rate of violent crime has remained the same or even increased over the past twenty years?,https://today.yougov.com/topics/politics/articles-reports/2014/05/08/poll-results-government-statistics,,2014,1000,33
