RecordedDate,Duration__in_seconds_,Progress,ResponseId,Country,Language,physical_contact_1,physical_contact_2,physical_contact_3,physical_contact_4,physical_contact_5,physical_hygiene_1,physical_hygiene_4,physical_hygiene_5,physical_hygiene_6,physical_hygiene_8,policy_support_1,policy_support_4,policy_support_5,policy_support_6,policy_support_9,generosity_1,generosity_2,generosity_3,psych_wellbeing1_1,psych_wellbeing2_1,collective_narcis_1,collective_narcis_2,collective_narcis_3,national_identity_1,national_identity_2,conspiracy_theories_1,conspiracy_theories_2,conspiracy_theories_3,conspiracy_theories_4,open_mindness_1,open_mindness_2,open_mindness_3,open_mindness_4,open_mindness_5,open_mindness_6,morality_as_cooperat_1,morality_as_cooperat_2,morality_as_cooperat_3,morality_as_cooperat_4,morality_as_cooperat_5,morality_as_cooperat_6,morality_as_cooperat_7,trait_optimism_1,trait_optimism_2,social_belonging_1,social_belonging_2,social_belonging_3,social_belonging_4,trait_self_control_1,trait_self_control_2,trait_self_control_3,trait_self_control_4,self_esteem_1,narcissism_1,narcissism_2,narcissism_3,narcissism_4,narcissism_5,narcissism_6,moral_identity_1,moral_identity_2,moral_identity_3,moral_identity_4,moral_identity_5,moral_identity_6,moral_identity_7,moral_identity_8,moral_identity_9,moral_identity_10,risk_perception_1,risk_perception_2,political_ideology_1,moral_circle1,health_1,CRT1,CRT2,CRT3,sex,sex_3_TEXT,age,edu,marital,children,employment,employment_6_TEXT,ladder_answer,urban,tested_positive,know_tested_positive,no_bots,AttCheck2,weight,weight_trimmed_0.999,weight_trimmed_0.995,weight_trimmed_0.990
4/26/2020,1602,100,R_1nPlzJ18zVNfA4k,the Netherlands,NL,8,10,10,10,10,10,10,10,0,10,6,8,2,8,0,80,20,0,8,7,0,8,0,10,1,0,0,0,0,8,10,10,10,0,2,0,0,8,8,2,6,8,7,9,9,9,8,8,9,9,4,2,9,0,0,8,0,3,3,8,8,0,0,8,0,2,0,8,8,10,10,6,7,8,50,3 minuten,7 uur,1, ,34,2,2,0,2, ,4,1,1,1,213,0,.986495413751123,.989048890307907,1.00071567542336,1.01551722669258
4/25/2020,2910,100,R_1nSGk0gE1IR7FWz,the Netherlands,NL,6,7,5,5,9,8,8,8,3,3,3,3,0,3,7,0,50,50,8,8,5,5,5,9,6,5,5,6,6,5,10,10,10,10,8,8,8,9,9,5,0,0,8,8,7,7,7,7,8,8,2,1,5,1,3,0,2,0,0,9,8,3,1,5,5,7,5,3,5,50,50,5,16,8,50,"2700 min,",4 uur,2, ,75,5,3,1,5, ,4,2,1,2,213,0,.587930197423668,.590483673980453,.602150459095902,.616952010365129
4/24/2020,1252,100,R_1NsIz5LusqOjEYq,the Netherlands,NL,10,5,10,10,10,10,10,10,0,10,10,10,5,10,8,80,20,0,4,4,5,5,5,7,4,0,0,0,0,6,10,10,10,0,5,8,7,10,9,5,9,5,5,5,10,10,9,10,3,6,8,1,8,6,3,0,2,7,0,7,10,7,0,5,4,1,7,5,5,50,30,3,3,5,50,300,4,2, ,53,3,2,0,2, ,4,2,1,1,213,0,1.11640499562127,1.11895847217805,1.1306252572935,1.14542680856273
4/27/2020,1902,100,R_1nUCfu6g3GfX4sX,the Netherlands,NL,10,0,8,10,10,10,10,10,0,10,10,8,5,10,10,50,50,0,4,4,1,5,1,8,3,0,0,0,0,0,10,10,10,0,0,2,5,8,10,5,8,8,7,9,8,8,8,8,3,8,7,6,7,0,0,0,0,2,0,9,7,0,0,1,5,1,7,5,9,30,30,6,11,8,50,300,7,2, ,50,2,1,0,1, ,3,1,1,1,213,0,.668747537582537,.671301014139321,.682967799254771,.697769350523998
5/3/2020,1203,84,R_1Nx2ZiILNN4Lica,the Netherlands,NL,8,0,8,10,10,9,9,0,0,10,7,10,0,10,10,40,30,30,3,3,0,2,0,10,10,0,0,0,0,3,10,10,10,0,0,6,6,5,7,3,0,0,9,9,8,10,10,10,6,7,5,4,9,7,6,0,5,6,0,10,10,5,0,10,8,0,10,7,10,80,40,4,11,8,25,300 minuten2,2,2, ,53,1,3,5,1, ,1,1,1,2,213,0,.292096376373588,.294649852930373,.306316638045822,.321118189315049
4/24/2020,1747,100,R_1NxBNMloyDliwDv,the Netherlands,NL,7,4,6,7,10,6,6,6,3,8,5,7,4,7,9,50,25,25,7,9,1,5,2,9,7,6,1,4,6,3,10,9,8,1,7,2,2,7,6,5,6,7,8,8,10,9,9,10,8,5,2,3,9,2,2,2,2,2,1,9,8,4,3,7,7,6,6,7,6,60,60,6,11,8,50,5 uur,3 uur,2, ,36,2,3,2,2, ,2,1,1,1,213,0,.982869102487725,.98542257904451,.997089364159959,1.01189091542919
4/24/2020,2278,100,R_1NxHkfvfxnOH8fE,the Netherlands,NL,6,6,6,7,10,6,6,8,4,4,6,7,5,8,5,60,10,30,7,7,4,4,5,8,6,1,2,2,2,3,7,8,7,2,3,6,8,7,8,6,6,6,4,6,6,6,6,7,4,4,7,7,4,4,4,6,6,4,3,7,5,3,0,6,6,3,5,6,8,50,50,4,16,8,25 cent,3 minuten,7 uur,1, ,68,3,3,2,5, ,7,1,1,1,213,0,1.11416082394537,1.11671430050216,1.12838108561761,1.14318263688683
4/29/2020,4744,100,R_1nYHLp9HscdkXRA,the Netherlands,NL,9,6,6,10,10,9,9,10,5,9,8,8,1,8,7,0,100,0,7,8,7,6,5,9,7,0,0,0,0,3,8,8,8,0,0,5,5,8,6,8,7,9,8,8,8,8,8,7,7,7,4,6,8,5,1,6,4,6,2,10,9,5,0,5,7,0,7,5,7,70,90,7,11,8,25,3,4,1, ,47,4,3,3,1, ,4,2,1,1,213,0,.827846690000661,.830400166557445,.842066951672895,.856868502942121
5/1/2020,65209,100,R_1NzClKDVi99oji8,the Netherlands,NL,4,6,3,9,10,7,3,2,0,9,8,10,1,6,8,100,0,0,6,6,4,5,5,7,2,0,0,0,0,3,8,9,7,0,2,7,4,6,6,3,6,7,6,5,4,4,6,4,7,3,6,3,7,4,2,4,6,1,6,6,3,5,1,5,5,3,5,5,6,30,30,6,14,9,25,3 minuten,7 uur,2, ,23,3,1,0,4, ,5,1,1,1,213,0,.803609249097239,.806162725654024,.817829510769473,.8326310620387
4/27/2020,4454,100,R_1NzePsFNYC64OTB,the Netherlands,NL,8,2,8,10,10,6,6,10,8,10,0,5,5,1,10,80,15,5,10,8,0,8,5,6,6,0,0,0,0,7,10,10,10,0,0,9,1,10,1,10,2,3,9,7,8,0,9,10,2,7,9,0,8,6,5,0,2,0,0,7,7,0,1,2,1,8,0,7,4,30,70,6,16,7,50,300,4,2, ,63,6,3,1,1, ,6,2,1,1,213,10,.720781858047332,.723335334604116,.735002119719566,.749803670988793
4/27/2020,1912,100,R_1o0bZIO5pMJrYUo,the Netherlands,NL,5,8,1,8,10,5,9,10,5,10,0,0,0,0,5,100,0,0,7,8,5,1,0,5,5,0,0,0,0,2,10,10,10,0,1,5,9,5,9,5,5,5,10,10,9,9,9,9,10,9,1,6,5,0,0,0,5,5,5,7,5,5,0,9,9,1,5,5,5,0,10,3,16,5,50,3,4,2, ,54,3,1,0,6,wajong,5,1,1,1,213,0,.886834626397319,.889388102954103,.901054888069553,.915856439338779
4/26/2020,1570,100,R_1o5bJQcrFuV4Go5,the Netherlands,NL,7,2,8,8,8,5,7,8,5,0,2,3,3,5,5,50,50,0,8,7,5,5,5,10,10,5,5,5,5,8,8,8,9,1,5,3,5,7,7,5,3,3,5,8,5,7,7,7,5,6,3,3,9,3,3,1,6,5,2,9,9,6,0,7,8,2,8,9,10,20,20,8,1,7,50,300 min.,4 uur,2, ,47,4,3,2,6,Ondernemer,5,1,1,2,213,9,.591865321353987,.594418797910772,.606085583026221,.620887134295448
4/24/2020,1725,100,R_1o7KdozDZqQtOmX,the Netherlands,NL,5,6,0,8,10,0,0,5,0,9,0,5,0,5,5,75,25,0,7,6,0,5,0,10,10,10,5,10,10,10,10,10,10,0,0,5,5,8,8,0,5,0,10,10,10,10,10,10,8,5,8,8,10,0,0,0,0,0,0,10,8,7,0,0,0,5,0,5,5,100,80,8,11,8,25,3 minuten,7 uur,2, ,35,4,1,1,1, ,6,1,1,1,213,0,.704384931801207,.706938408357991,.718605193473441,.733406744742667
4/25/2020,1494,100,R_1o7T8u0DGo39nU0,the Netherlands,NL,6,6,8,8,8,8,7,5,5,8,9,9,4,9,8,65,35,0,6,6,5,5,5,10,5,0,0,0,0,4,8,7,7,3,3,6,5,2,6,7,5,5,7,7,4,6,7,7,8,8,7,4,8,4,5,0,5,5,0,10,10,0,0,5,5,0,5,7,7,20,70,5,7,7,50,3 min,7 uur,2, ,24,2,2,0,4, ,6,1,1,1,213,0,1.50051288531559,1.50306636187237,1.51473314698782,1.52953469825705
4/29/2020,2313,100,R_1oALcYeyC6Khd8c,the Netherlands,NL,8,3,10,8,10,7,8,9, ,10,8,10,7,10,10,100,0,0,7,7,0,5,0,10,8,0,0,0,0,0,10,10,10,0,0,5,6,8,7,10,0,0,8,10,8,8,9,9,7,8,3,3,8,0,0,0,0,0,0,9,8,7,0,6,6,3,0,0, ,50,70,2,11,7,50 cent,300 minuten,4 uur,1, ,29,2,1,0,1, ,4,1,1,1,213,0,3.26692395641144,3.26947743296822,3.28114421808367,3.2959457693529
4/24/2020,1789,100,R_1oaO6WCybHLnGCu,the Netherlands,NL,5,6,5,6,6,6,6,6,5,5,6,7,6,6,10,20,30,50,6,6,5,5,5,6,5,3,3,3,3,5,6,6,6,0,4,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,5,5,5,5,3,6,6,5,3,6,4,4,5,5,6,50,50,6,5,7,25,3,7,1, ,33,4,1,0,2, ,5,1,1,1,213,10,.628040198882537,.630593675439322,.642260460554772,.657062011823998
4/24/2020,1477,100,R_1obfgSzXXTstdPD,the Netherlands,NL,8,7,8,9,10,9,9,9,1,9,9,9,6,8,8,50,50,0,5,5,2,2,2,9,9,0,0,0,0,4,8,8,8,2,2,3,6,8,3,4,3,1,8,8,9,9,9,9,7,6,7,3,7,2,3,1,4,4,3,7,7,7,2,7,5,3,7,7,7,40,70,3,4,7,50,300,4,2, ,54,4,1,2,1, ,5,1,1,1,213,0,.729979358962427,.732532835519212,.744199620634661,.759001171903888
4/25/2020,3898,100,R_1OeMfHfUb9SOVcR,the Netherlands,NL,9,6,7,8,10,7,7,9,5,10,5,8,8,8,10,33,34,33,7,7,0,1,0,9,7,3,0,0,0,6,7,7,8,2,3,7,7,8,5,6,4,2,7,7,9,8,7,9,6,6,6,6,6,4,3,4,6,4,1,9,8,0,0,3,3,2,3,6,7,60,60,5,16,7,25,3,4,2, ,35,2,2,1,2, ,4,1,1,2,213,0,.9633011870051,.965854663561885,.977521448677334,.992322999946561
5/1/2020,1434,100,R_1OIEvgHUj7qM4dy,the Netherlands,NL,2,10,2,0,8,6,6,9,3,3,0,0,0,0,0,100,0,0,5,3,10,5,9,5,2,6,8,9,7,5,10,7,9,0,6,10,8,10,10,0,7,7,2,5,0,0,5,9,5,3,8,9,10,5,7,10,8,7,8,7,7,7,5,5,5,2,0,0,6,10,30,10,2,7, , , ,1, ,28,4,1,0, , , ,2,2,2,213,0,.109811484291935,.112364960848719,.124031745964169,.138833297233395
4/24/2020,1588,100,R_1OjVFwZaFuhrqZE,the Netherlands,NL,9,9,9,10,10,9,9,8,6,9,4,9,3,10,9,0,20,80,8,9,2,5,3,9,4,1,1,1,1,3,9,9,9,0,1,8,7,7,8,7,7,8,7,9,9,9,9,8,7,9,6,2,7,3,0,6,7,5,5,9,8,4,1,8,9,1,9,9,9,60,40,3,12,4,25,3,7,2, ,41,2,3,0,2, ,3,1,1,1,213,0,.514177628851237,.516731105408022,.528397890523471,.543199441792698
4/26/2020,4334,100,R_1op4EVTngGnMFGm,the Netherlands,NL,8,9,7,8,10,8,8,8,3,7,4,7,7,8,8,40,60,0,6,7,2,3,2,8,7,1,0,0,0,1,9,7,9,0,2,1,3,8,7,6,3,6,8,7,7,6,7,6,7,8,5,3,8,2,3,6,4,2,1,7,8,2,4,6,7,4,9,4,7,20,40,7,8,8,50,300,7,1, ,26,2,2,0,2, ,4,1,1,1,213,0,.847390352448631,.849943829005415,.861610614120865,.876412165390091
4/24/2020,3940,100,R_1Os0ZPSbRL1MT3o,the Netherlands,NL,10,0,10,9,10,0,0,0,0,10,0,0,0,0,0,100,0,0,6,4,0,7,0,6,5,0,0,0,0,7,10,10,10,0,0,6,7,4,5,0,3,4,7,7,2,3,5,5,8,4,7,1,7,0,1,1,4,1,5,5,6,0,0,0,0,3,0,0,3,90,90,5,1,8,25 cent,3 minuten,7 uur,1, ,43,3,2,3,1, ,8,1,1,1,213,0,.508356637318444,.510910113875229,.522576898990678,.537378450259905
5/3/2020,170421,89,R_1oupaNMEpJqaRAu,the Netherlands,NL,9,10,10,10,10,9,9,10,1,10,2,10,3,10,10,0,0,100,6,6,5,5,5,10,10,0,0,0,0,4,9,9,9,1,1,2,8,7,8,7,2,4,7,7,9,9,9,10,4,8,7,5,7,2,2,2,2,2,0,9,9,0,0,6,9,1,5,5,10,20,50,7,9,4,50,300,4,1, ,85,4,3,3,5, ,3,2,1,1,213,9,.632808332031131,.635361808587916,.647028593703365,.661830144972592
4/24/2020,2638,100,R_1ourj4zcePpcJVY,the Netherlands,NL,9,2,10,10,10,6,6,10,5,10,9,9,10,10,10,100,0,0,8,8,5,5,5,5,4,0,0,0,0,10,10,9,10,1,0,3,4,5,4,4,4,5,8,8,5,6,6,4,10,8,1,8,6,1,5,0,5,3,0,5,4,4,4,4,4,7,4,3,5,10,20,4,4,8,50,300,4,1, ,67,2,3,3,5, ,3,1,1,1,213,0,.810144230524678,.812697707081463,.824364492196913,.839166043466139
4/26/2020,8772,100,R_1P6JMnbvP2K7s3H,the Netherlands,NL,9,8,7,9,10,8,10,7,1,1,3,10,2,10,1,10,30,60,7,7,3,7,0,6,3,0,0,0,0,8,8,10,10,0,7,3,8,6,7,2,7,9,8,7,9,9,7,7,4,8,8,3,8,7,3,8,8,7,1,8,6,3,1,6,3,2,7,7,8,40,60,1,9,9,25 cent,3 minuten,7 uur,1, ,66,4,3,2,1, ,3,1,1,1,213,0,.347435788133256,.34998926469004,.36165604980549,.376457601074716
4/26/2020,3049,100,R_1pGT7lM7Hh6TXav,the Netherlands,NL,8,6,8,8,10,8,9,10,4,10,7,8,5,10,7,80,20,0,6,7,3,5,0,10,6,1,0,0,0,2,10,10,8,0,2,5,5,5,5,5,5,5,10,10,5,6,8,8,4,6,6,3,8,5,5,7,7,6,3,10,8,4,0,7,8,1,2,5,7,50,50,7,4,8,50,300,4,1, ,36,3,3,4,1, ,3,1,1,1,213,0,1.30180512190717,1.30435859846395,1.3160253835794,1.33082693484863
4/26/2020,184995,100,R_1pnyPf1ReUYUsAw,the Netherlands,NL,8,2,10,10,10,9,9,5,3,10,7,8,4,8,9,0,100,0,6,7,3,3,2,8,6,6,0,0,2,2,9,9,9,0,3,4,6,7,4,7,7,8,7,8,6,7,8,8,8,3,3,8,8,2,3,1,7,6,2,6,7,4,0,6,6,2,6,7,7,80,60,3,12,7,25,3,7,1, ,55,3,1,0,1, ,5,1,1,2,213,0,.86354977852626,.866103255083044,.877770040198494,.89257159146772
4/28/2020,329336,100,R_1poj7ublXtYkXdP,the Netherlands,NL,9,1,10,10,10,10,10,10,10,10,7,9,8,9,10,40,30,30,7,8,5,5,5,7,6,0,0,0,0,4,7,7,7,2,3,7,7,9,9,8,1,1,5,6,8,8,8,9,5,7,5,3,6,6,2,5,6,5,2,7,7,5,0,7,6,1,6,7,7,60,50,3,16,6, , , ,2, ,63,3,2,3,6,Zelfstandig,3,1,1,1,213,0,1.23051983732128,1.23307331387806,1.24474009899351,1.25954165026274
5/3/2020,1723,84,R_1prGuut9v8XlznA,the Netherlands,NL,3,9,2,7,10,3,4,4,0,0,4,2,1,9,8,90,5,5,8,7,2,2,2,10,8,0,0,0,0,4,10,9,9,0,2,9,8,10,9,9,10,10,8,2,5,6,6,9,2,7,4,0,9,0,3,2, ,4,1,8,8,4,2,6,7, ,7,4,7,30,30,7,3,10,50,300,7,1, ,25,3,1,0,1, ,5,2,1,2,213,0,1.30454322619638,1.30709670275316,1.31876348786861,1.33356503913784
4/25/2020,2654,100,R_1pSPLGnabT1u9Tb,the Netherlands,NL,10,0,10,10,10,10,10,10,10,10,10,10,2,9,8,0,100,0,10,9,7,2,1,10,6,0,0,0,0,3,8,9,10,0,0,0,7,9,7,7,6,10,8,8,2,7,4,1,7,4,7,5,10,3,5,6,7,6,4,10,9,0,0,7,7,3,7,7,8,40,80,1,16,9,25,"3 minuten, aangenomen dat er ook 300 bloeddrukmeters zijn en ze niet op elkaar hoeven te wachten",7 uur,2, ,52,3,1,0,1, ,7,2,1,2,213,0,.634243735816803,.636797212373588,.648463997489037,.663265548758264
4/26/2020,1549,100,R_1pWev5VlkduBwxO,the Netherlands,NL,10,6,8,10,10,10,10,10,0,10,3,9,3,10,10,70,20,10,8,7,0,2,0,10,8,0,0,0,0,2,10,10,10,0,0,7,7,10,9,10,0,10,9,9,6,8,7,9,10,9,0,0,10,0,0,0,0,0,0,10,10,1,0,9,5,2,10,1,7,20,40,5,11,7,50 cent,300 minuten,3 uur,2, ,37,3,3,2,2, ,3,1,1,2,213,0,.591865321353987,.594418797910772,.606085583026221,.620887134295448
4/28/2020,1950,100,R_1PXWw9LgKHkEiNa,the Netherlands,NL,8,3,8,8,10,10,10,9,2,7,10,10,9,10,10,50,45,5,8,7,2,7,2,9,9,0,0,0,0,1,8,8,6,1,2,9,8,8,8,8,8,9,7,7,6,6,8,9,6,6,6,1,7,1,3,2,2,1,0,8,8,2,1,8,8,8,7,1,3,10,10,3,11,9,50 cent,300 minuten,7 uur,2, ,61,3,3,3,2, ,6,1,1,1,213,0,.492688081557374,.495241558114158,.506908343229608,.521709894498835
4/24/2020,2219,100,R_1PXYj0tUPWlMPVb,the Netherlands,NL,7,1,7,9,10,7,8,5,0,7,2,7,2,8,10,90,0,10,4,4,2,7,2,10,7,0,0,0,0,7,8,9,8,3,9,2,0,7,3,9,6,8,1,3,2,6,3,3,6,7,7,3,6,3,3,9,3,7,10,7,7,6,5,7,7,4,4,8,4,20,20,6,3,9,50,3 minuten,7 uur,2, ,32,1,2,0,3, ,3,1,1,1,213,0,1.27395277344744,1.27650625000422,1.28817303511967,1.3029745863889
4/24/2020,2280,100,R_1pYk27BbtUrwz8G,the Netherlands,NL,9,1,9,8,10,9,9,7,2,6,6,7,7,8,6,50,50,0,7,7,3,7,1,9,8,0,0,0,0,2,8,8,8,0,0,8,6,10,10,8,8,1,6,9,8,8,10,9,9,7,7,9,7,0,5,1,3,0,8,8,9,5,0,8,8,7,7,5,8,40,50,4,9,7,50,300,4,2, ,81,5,1,3,5, ,7,2,1,1,213,0,2.51441229458128,2.51696577113807,2.52863255625352,2.54343410752275
4/29/2020,3716,100,R_1pZ1i9BFJKSWVS2,the Netherlands,NL,9,9,6,10,10,7,9,7,1,10,8,8,3,10,10,75,15,10,4,7,5,5,5,10,8,0,0,0,0,4,9,8,8,0,0,9,9,10,8,6,8,9,7,7,10,9,8,9,4,1,8,6,4,1,6,4,4,1,0,10,10,6,0,4,9,0,4,7,9,60,60,3,11,8,25,300 minuten,7,1, ,28,3,1,0,1, ,5,1,1,1,213,0,.379365047218073,.381918523774857,.393585308890307,.408386860159533
4/26/2020,2713,100,R_1Q6NmsEwuOYhlZ0,the Netherlands,NL,10,0,10,10,10,5,6,6,0,2,10,10,10,10,10,0,50,50,9,10,3,1,3,10,5,0,0,0,0,3,10,9,10,0,0,5,7,10,9,7,5,9,8,8,8,8,10,8,9,9,3,3,8,2,3,0,2,0,0,8,8,5,1,8,5,2,8,7,8,10,10,4,11,9,25,3,7,1, ,71,3,3,2,5, ,1,1,1,2,213,0,.435044364125526,.43759784068231,.44926462579776,.464066177066987
4/25/2020,1044,100,R_1QGEPqxaAGnQuOQ,the Netherlands,NL,9,0,9,9,10,8,8,8,2,8,10,10,10,10,10,50,25,25,7,7,1,5,5,5,4,0,0,0,0,6,7,7,7,0,0,6,6,7,7,6,1,1,6,6,7,7,7,7,6,8,5,1,7,6,5,5,6,5,1,9,7,6,1,5,7,1,7,5,6,50,80,2,16,7,50 cent,103 minuten = 1 uur en 43 minuten,4 uur,2, ,61,1,1,2,2, ,6,1,1,1,213,0,1.04740562211727,1.04995909867406,1.06162588378951,1.07642743505873
4/24/2020,1266,100,R_1QhiI2ejTxHqYGj,the Netherlands,NL,10,0,10,10,10,1,3,10,10,0,10,10,0,10,10,100,0,0,7,3,0,0,0,10,0,0,0,0,0,1,10,10,10,0,4,2,0,3,2,2,2,4,0,5,2,1,5,6,3,3,10,8,5,6,2,1,9,3,3,10,7,2,0,3,3,3,0,1,5,80,80,1,9,4,25,3 minuten,7 uur,2, ,30,3,1,0,3, ,5,1,1,1,213,0,.449135386061144,.451688862617928,.463355647733378,.478157199002604
4/25/2020,7521,100,R_1QhkgZkUTVOG1Pm,the Netherlands,NL,5,5,5,9,10,9,9,9,9,10,5,5,3,5,3,60,5,35,8,8,5,6,4,5,5,5,0,0,0,5,8,8,8,2,2,8,5,7,7,4,6,7,8,7,7,7,8,7,5,7,3,3,7,5,4,2,5,5,3,7,7,3,3,3,3,3,2,2,7,10,10,8,5,8,25 cent,3 minuten,7 uur,1, ,62,2,2,0,6,Eigen bedrijf,1,1,1,1,213,5,2.48602331071612,2.48857678727291,2.50024357238836,2.51504512365758
4/24/2020,3030,100,R_1QKiZ5OY9eXRd3I,the Netherlands,NL,3,6,7,9,9,8,9,9,2,9,5,5,5,5,5,15,65,20,6,5,6,6,6,10,9,5,2,2,0,6,8,8,8,2,2,8,6,8,8,7,5,5,7,8,7,9,9,9,7,7,8,5,6,6,3,2,8,2,5,8,8,6,0,3,3,1,3,3,9,40,60,7,6,7,50 cent,300,4 uur,2, ,19,5,2,0,3, ,4,2,1,1,213,0,1.39868567454854,1.40123915110533,1.41290593622078,1.42770748749
5/1/2020,5435,89,R_1QLZVRv4JzYbN9e,the Netherlands,NL,9,3,7,7,10,8,8,6,5,8,4,6,3,8,8,10,90,0,4,8,5,7,7,8,8,8,8,6,9,4,9,8,7,3,4,6,5,8,8,5,3,3,7,7,6,6,7,6,5,8,4,6,7,5,6,6,7,7,3,8,6,5,3,5,4,5,4,4,6,30,50,8,1,8,50,3004,4,1, ,65,3,3,1,5, ,3,1,1,1,213,0,.617050382570221,.619603859127006,.631270644242455,.646072195511682
4/24/2020,1992,100,R_1QnBTzO0dSi1Jb7,the Netherlands,NL,6,7,6,9,10,4,4,4,1,10,6,10,4,10,10,0,100,0,4,7,2,2,1,5,5,0,0,0,0,6,8,7,7,1,1,7,7,8,7,5,6,7,5,6,5,4,6,7,7,5,5,3,6,5,2,3,3,2,0,5,5,3,1,5,6,5,5,2,5,30,30,5,16,7,"0,50",900,?,2, ,71,6,1,2,5, ,7,2,1,1,213,0,.613763378138147,.616316854694931,.627983639810381,.642785191079607
4/26/2020,2277,100,R_1Quqx81ATm5qYSL,the Netherlands,NL,6,6,8,9,10,10,10,10,0,8,2,4,1,7,7,10,60,30,8,8,0,2,0,10,9,0,0,0,0,2,8,9,9,0,1,8,7,7,8,3,2,1,6,7,7,8,7,9,6,8,3,0,7,3,6,0,2,3,0,7,7,1,0,1,1,3,1,7,7,50,50,7,16,7,15,1 minuut,7,2, ,65,2,3,0,5, ,3,1,1,2,213,0,.414320631439435,.416874107996219,.428540893111669,.443342444380895
5/4/2020,1056,89,R_1qWEA0slRmAWLLR,the Netherlands,NL,9,6,9,9,10,9,9,8,6,10,9,9,9,9,10,60,25,15,8,8,7,7,7,8,7,7,1,1,1,6,9,9,9,0,1,7,6,9,7,8,5,8,7,8,8,7,8,9,7,7,6,5,7,5,0,0,1,1,1,8,8,6,1,7,5,1,6,6,9,60,60,7,16,8,25,3,7,1, ,54,4,3,2,1, ,3,1,1,1,213,0,.682882019624798,.685435496181582,.697102281297032,.711903832566258
4/24/2020,1735,100,R_1QZbG0WYEF5xDzP,the Netherlands,NL,5,10,7,5,10,5,5,1,0,8,10,10,0,10,1,0,50,50,0,7,0,5,0,8,7,1,0,0,0,0,10,10,10,0,0,5,7,8,6,5,8,10,5,8,9,9,9,8,0,9,10,6,5,6,0,4,6,5,0,10,7,0,0,0,0,1,1,7,7,80,70,5,14,5,25,3 minuten,7 uur,1, ,46,3,1,0,2, ,5,1,1,1,213,0,.733109928327634,.735663404884419,.747330189999869,.762131741269095
4/24/2020,2912,100,R_1Qzr2NJ9Fblte3X,the Netherlands,NL,6,6,3,7,10,10,10,9,7,7,3,9,0,8,8,50,25,25,4,6,1,6,1,7,7,6,4,1,1,7,9,9,9,1,4,7,7,8,7,1,8,8,3,5,8,8,7,7,2,9,8,6,4,3,2,6,3,5,1,9,7,5,0,6,7,1,8,3,7,50,50,3,11,4,125,300,7,2, ,68,1,2,1,5, ,4,1,1,2,213,0,.414320631439435,.416874107996219,.428540893111669,.443342444380895
4/24/2020,1933,100,R_1rdWjc0Yz7AUcwF,the Netherlands,NL,10,0,10,10,10,10,10,10,10,10,10,10,8,10,10,50,50,0,2,5,0,5,5,8,1,1,0,0,1,9,10,10,10,0,1,2,8,8,2,8,8,2,2,5,2,2,2,5,8,8,8,6,2,1,2,7,7,5,10,8,8,5,0,8,8,1,0,1,8,100,100,8,3,8,25 ct,3 minuten,7 uur,2, ,35,3,1,0,1, ,6,1,1,1,213,0,.889566844037367,.892120320594152,.903787105709601,.918588656978828
4/26/2020,1190,100,R_1rGKth44EMo2KwK,the Netherlands,NL,2,7,2,10,10,9,10,10,10,9,0,0,0,10,0,95,5,0,1,2,6,10,10,10,10,10,10,10,10,1,0,5,5,5,0,8,10,8,10,1,5,10,1,1,1,7,1,8,8,4,9,1,5,9,10,1,10,9,2,5,5,1,1,0,8,8,8,5,4,100,100,8,14,2,50,3 minuten,7,1, ,33,4,2,0,2, ,9,1,1,1,213,0,1.57017192221459,1.57272539877138,1.58439218388683,1.59919373515605
4/24/2020,5081,100,R_1rJMzrfpYmFlf5K,the Netherlands,NL,8,3,9,8,7,6,7,4,2,6,9,10,5,10,7,90,10,0,8,4,4,10,4,10,8,0,2,0,0,4,3,7,8,3,6,8,3,2,8,8,1,2,3,6,2,3,6,6,7,2,6,9,3,3,3,4,6,3,6,7,8,4,4,7,3,4,2,3,6,20,30,7,7,8,25,3 minuten,7,1, ,19,3,1,0,4, ,3,1,1,1,213,0,1.11943886824637,1.12199234480316,1.13365912991861,1.14846068118783
4/25/2020,3068,100,R_1rJqGHssdaNIwY3,the Netherlands,NL,9,10,10,10,10,7,7,0,0,5,5,10,5,10,10,90,10,0,8,10,0,5,0,10,8,0,0,0,0,1,8,8,8,0,2,0,0,10,0,7,5,10,5,10,7,7,8,8,0,2,10,8,4,6,3,0,5,0,0,10,6,0,0,3,0,3,6,2,10,50,50,3,1,3,25 cent,3 minuten,7 uur,2, ,62,3,3,3,2, ,3,1,1,1,213,0,.982465163824544,.985018640381328,.996685425496778,1.011486976766
4/26/2020,141379,100,R_1rqOymBDRD9W38n,the Netherlands,NL,0,8,10,10,10,8,8,10,5,10,8,5,1,10,5,80,10,10,8,8,0,7,0,0,0,5,0,0,0,0,10,10,10,0,0,5,6,10,7,7, , ,8,8,6,6,9,6,8,8,0,0,8,6,0,0,0,2,0,0,1,10,0,0,8,1,8,1,1,30,20, ,14,5,25,3 minuten,7 uren,1, ,69,6,2,1,5, ,3,2,1,1,213,0,3.08367129426617,3.08622477082296,3.09789155593841,3.11269310720763
