"","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","sex","sex_3_TEXT","age","physical_contact_1","physical_contact_2","physical_contact_3","physical_contact_4","physical_contact_5","physical_hygiene_1","physical_hygiene_2","physical_hygiene_3","physical_hygiene_4","physical_hygiene_5","policy_support_1","policy_support_2","policy_support_3","policy_support_4","policy_support_5","generosity_1","generosity_2","generosity_3","psych_wellbeing1_1","psych_wellbeing2_1","collective_narcis_1","collective_narcis_2","collective_narcis_3","national_identity_1","national_identity_2","conspiracy_theories_1","conspiracy_theories_2","conspiracy_theories_3","conspiracy_theories_4","open_mindness_1","open_mindness_2","open_mindness_3","open_mindness_4","open_mindness_5","open_mindness_6","morality_as_cooperat_1","morality_as_cooperat_2","morality_as_cooperat_3","morality_as_cooperat_4","morality_as_cooperat_5","morality_as_cooperat_6","morality_as_cooperat_7","trait_optimism_1","trait_optimism_2","social_belonging_1","social_belonging_2","social_belonging_3","social_belonging_4","trait_self.control_1","trait_self.control_2","trait_self.control_3","trait_self.control_4","self.esteem_1","Q108_1","narcissism_1","narcissism_2","narcissism_3","narcissism_4","narcissism_5","narcissism_6","moral_identity_1","moral_identity_2","moral_identity_3","moral_identity_4","moral_identity_5","moral_identity_6","moral_identity_7","moral_identity_8","moral_identity_9","moral_identity_10","risk_perception_1","risk_perception_2","political_ideology_1","moral_circle1","health_1","CRT1","CRT2","CRT3","marital","children","employment","employment_6_TEXT","ladder_answer","urban","tested_positive","know_tested_positive","no_bots","FL_28_DO"
"90","27/04/2020 19.08","27/04/2020 19.27",0,"79.121.127.105",100,1101,1,"27/04/2020 19.27","R_1C2DCJTFvfhUoOb",NA,NA,NA,NA,47.5,17.8500061,"anonymous","HU",1,"",44,10,0,10,10,10,10,10,10,9,10,10,10,9,10,10,0,100,0,7,7,8,10,8,10,10,10,0,0,2,2,10,10,10,0,1,8,10,10,10,5,0,0,9,9,8,8,9,8,7,9,7,2,6,0,2,7,0,7,4,0,10,9,5,0,10,3,0,8,8,10,50,50,10,16,7,50,300,7,3,4,1,"",6,2,1,1,213,"NationalIdentification|Anti-coronapolicysupport|Psychologicalwell-being|Generosity|Physicalhealth|Traitoptimism|Traitself-control|Narcissism|Riskperception|Physicalcontact|Politicalideology|Morality-as-cooperation(shortversion)|Self-esteem|MoralIdentity|Attentioncheck|Socialbelonging|Physicalhygiene|Collectivenarcissism|Moralcircle|Open-mindedness|ConspiracyTheoriesCOVID-19"
"91","27/04/2020 19.12","27/04/2020 19.30",0,"134.255.109.99",100,1088,1,"27/04/2020 19.30","R_3FVEShHl0mA73Zx",NA,NA,NA,NA,47.95530701,22.32350159,"anonymous","HU",1,"",39,10,0,10,10,10,10,10,10,0,10,10,10,10,10,10,100,0,0,3,3,0,0,0,10,0,0,0,0,0,10,10,10,10,0,0,9,1,7,2,5,6,0,0,0,0,0,10,7,9,9,1,4,0,0,5,0,10,0,0,0,8,8,0,0,9,7,6,0,0,0,0,30,5,5,3,50,3,4,1,0,1,"",8,1,1,1,213,"Generosity|Traitself-control|Morality-as-cooperation(shortversion)|ConspiracyTheoriesCOVID-19|Attentioncheck|Moralcircle|Politicalideology|Physicalcontact|Physicalhealth|Physicalhygiene|Psychologicalwell-being|Self-esteem|NationalIdentification|Traitoptimism|Anti-coronapolicysupport|Narcissism|MoralIdentity|Collectivenarcissism|Open-mindedness|Riskperception|Socialbelonging"
"92","27/04/2020 19.15","27/04/2020 19.34",0,"85.66.70.236",100,1118,1,"27/04/2020 19.34","R_2XaPDg47kHvsVoW",NA,NA,NA,NA,46.18299866,18.95309448,"anonymous","HU",1,"",75,10,0,10,10,10,5,5,5,1,1,9,9,9,10,9,50,50,0,6,6,5,6,6,10,10,6,0,1,7,6,10,10,10,1,4,7,10,10,9,9,6,5,5,6,5,7,8,9,8,8,7,6,5,0,6,2,5,5,5,6,6,6,5,2,6,6,9,6,6,6,10,10,8,1,4,25,300,7,1,0,5,"",6,1,1,1,213,"Riskperception|Generosity|NationalIdentification|Traitoptimism|Self-esteem|Morality-as-cooperation(shortversion)|ConspiracyTheoriesCOVID-19|Physicalcontact|Moralcircle|Socialbelonging|Psychologicalwell-being|MoralIdentity|Physicalhealth|Collectivenarcissism|Open-mindedness|Physicalhygiene|Politicalideology|Anti-coronapolicysupport|Traitself-control|Attentioncheck|Narcissism"
"93","27/04/2020 19.27","27/04/2020 19.36",0,"86.59.254.242",100,546,1,"27/04/2020 19.36","R_2wnQeLMoSwY8CAF",NA,NA,NA,NA,47.03329468,20.96670532,"anonymous","HU",1,"",37,8,6,7,9,9,6,6,6,4,8,9,9,4,4,7,80,20,0,2,2,6,8,6,10,8,0,0,1,1,6,7,7,7,2,4,10,7,9,6,2,1,0,3,3,7,7,8,6,6,8,6,4,4,0,4,6,3,6,7,6,7,8,4,1,7,3,1,7,9,7,70,80,6,5,7,50,3,7,2,0,1,"",6,1,1,1,213,"Politicalideology|Morality-as-cooperation(shortversion)|Physicalcontact|MoralIdentity|Socialbelonging|Narcissism|Moralcircle|Traitoptimism|Physicalhygiene|Traitself-control|Open-mindedness|Self-esteem|ConspiracyTheoriesCOVID-19|Anti-coronapolicysupport|Physicalhealth|NationalIdentification|Psychologicalwell-being|Riskperception|Attentioncheck|Collectivenarcissism|Generosity"
"94","27/04/2020 19.25","27/04/2020 19.40",0,"5.187.228.252",100,871,1,"27/04/2020 19.40","R_2fxOGk4euxwU5zq",NA,NA,NA,NA,47.65289307,18.31840515,"anonymous","HU",2,"",58,10,0,10,9,10,10,10,10,0,8,10,10,1,10,10,50,40,10,3,6,0,0,0,10,10,0,0,0,0,4,10,10,9,0,0,6,6,7,7,2,4,0,10,7,8,8,8,8,7,7,7,1,7,0,3,6,0,6,6,0,7,6,0,0,6,6,0,6,6,7,20,30,2,5,10,25,3,4,1,0,1,"",6,1,1,1,213,"Physicalhygiene|NationalIdentification|Narcissism|Open-mindedness|Self-esteem|Generosity|Physicalhealth|Traitoptimism|Physicalcontact|Collectivenarcissism|Moralcircle|Morality-as-cooperation(shortversion)|Traitself-control|Socialbelonging|Anti-coronapolicysupport|Psychologicalwell-being|Attentioncheck|MoralIdentity|ConspiracyTheoriesCOVID-19|Riskperception|Politicalideology"
"95","27/04/2020 19.36","27/04/2020 19.50",0,"188.36.22.35",100,822,1,"27/04/2020 19.50","R_2Pci2CifEZXata6",NA,NA,NA,NA,47.7928009,18.95979309,"anonymous","HU",2,"",67,10,10,10,9,10,10,10,10,10,10,10,8,5,10,10,0,50,50,5,5,5,5,5,10,10,5,10,5,10,10,10,10,10,0,0,10,9,10,10,0,2,0,5,5,10,10,10,10,9,10,5,9,8,0,0,3,0,1,0,10,9,9,5,0,5,5,10,0,10,10,50,50,5,16,5,50,300,16,1,3,5,"",8,1,1,1,213,"Moralcircle|Riskperception|Politicalideology|Traitoptimism|Morality-as-cooperation(shortversion)|NationalIdentification|Psychologicalwell-being|Physicalhygiene|Physicalhealth|Socialbelonging|ConspiracyTheoriesCOVID-19|Collectivenarcissism|Self-esteem|Physicalcontact|MoralIdentity|Generosity|Anti-coronapolicysupport|Open-mindedness|Attentioncheck|Traitself-control|Narcissism"
"96","27/04/2020 19.33","27/04/2020 19.50",0,"94.21.9.192",100,1034,1,"27/04/2020 19.50","R_3Ny3zydsH3OL8ja",NA,NA,NA,NA,47.53039551,21.62789917,"anonymous","HU",1,"",67,10,0,10,10,10,10,10,10,6,6,10,10,10,10,10,100,0,0,0,2,9,8,5,10,10,0,1,0,0,9,9,10,9,0,5,5,1,9,7,5,1,2,0,0,5,5,6,9,10,9,10,5,3,0,5,0,5,0,0,8,9,2,5,0,5,0,0,0,5,4,50,50,5,10,1,50,1,4,1,2,5,"",9,1,1,1,213,"Physicalhealth|Self-esteem|ConspiracyTheoriesCOVID-19|Traitoptimism|Narcissism|Physicalcontact|Psychologicalwell-being|Traitself-control|Politicalideology|Morality-as-cooperation(shortversion)|MoralIdentity|Generosity|Open-mindedness|Attentioncheck|Anti-coronapolicysupport|Riskperception|Collectivenarcissism|NationalIdentification|Moralcircle|Socialbelonging|Physicalhygiene"
"97","27/04/2020 19.24","27/04/2020 19.58",0,"77.111.147.94",100,2039,1,"27/04/2020 19.58","R_xg8ypLwyoTskJ21",NA,NA,NA,NA,46.84089661,16.83990479,"anonymous","HU",2,"",76,10,5,5,10,10,10,10,10,10,10,10,10,10,10,10,0,50,50,8,7,0,1,1,10,10,1,1,0,5,2,9,10,10,0,0,10,10,10,10,2,1,1,6,8,10,10,9,10,7,8,1,1,5,0,5,1,5,5,5,2,10,10,6,1,1,1,1,1,1,1,0,10,7,8,7,50,3,4,1,0,5,"",6,1,1,1,213,"MoralIdentity|Self-esteem|Psychologicalwell-being|Moralcircle|Traitoptimism|Physicalhealth|Traitself-control|Narcissism|Attentioncheck|Socialbelonging|NationalIdentification|Physicalcontact|Morality-as-cooperation(shortversion)|Politicalideology|Generosity|Anti-coronapolicysupport|Riskperception|Physicalhygiene|ConspiracyTheoriesCOVID-19|Open-mindedness|Collectivenarcissism"
"98","27/04/2020 17.52","27/04/2020 20.00",0,"5.187.139.218",100,7636,1,"27/04/2020 20.00","R_2aS5RjmdoVbf4n5",NA,NA,NA,NA,47.49839783,19.04040527,"anonymous","HU",1,"",69,0,0,0,10,10,8,8,9,9,0,8,8,8,8,8,50,50,0,5,5,4,4,9,10,10,10,5,10,6,10,10,10,0,0,10,10,10,10,10,10,10,7,7,7,9,5,8,9,10,5,5,6,0,0,5,5,5,5,7,7,5,5,5,5,8,5,5,5,5,5,50,50,10,8,5,50,3,4,3,1,5,"",6,1,1,1,213,"Collectivenarcissism|Physicalhealth|Morality-as-cooperation(shortversion)|Psychologicalwell-being|NationalIdentification|Traitself-control|Socialbelonging|Attentioncheck|ConspiracyTheoriesCOVID-19|Physicalhygiene|Riskperception|Open-mindedness|Narcissism|Traitoptimism|Anti-coronapolicysupport|Politicalideology|Self-esteem|Moralcircle|MoralIdentity|Generosity|Physicalcontact"
"99","27/04/2020 19.48","27/04/2020 20.01",0,"31.46.244.98",100,820,1,"27/04/2020 20.01","R_1HcsMl7tHYdPVuM",NA,NA,NA,NA,47.49839783,19.04040527,"anonymous","HU",1,"",55,7,8,7,7,8,8,8,8,5,5,8,8,8,8,8,0,100,0,5,5,5,5,5,10,8,5,5,2,5,5,8,7,7,3,7,8,8,8,8,5,5,4,5,5,8,7,7,7,7,7,7,5,5,0,5,5,5,5,5,5,8,5,3,3,3,3,6,5,3,5,50,50,5,10,8,50,300,4,2,1,3,"",6,2,1,1,213,"Physicalhealth|Collectivenarcissism|NationalIdentification|Socialbelonging|Traitoptimism|Anti-coronapolicysupport|Morality-as-cooperation(shortversion)|Physicalhygiene|Attentioncheck|Physicalcontact|ConspiracyTheoriesCOVID-19|Self-esteem|Narcissism|Generosity|Open-mindedness|MoralIdentity|Politicalideology|Traitself-control|Psychologicalwell-being|Riskperception|Moralcircle"
"100","27/04/2020 19.29","27/04/2020 20.03",0,"176.63.236.50",100,2043,1,"27/04/2020 20.03","R_qVDQ3oEMeWmulLb",NA,NA,NA,NA,47.37330627,18.84579468,"anonymous","HU",1,"",67,10,0,10,10,10,10,10,10,10,7,10,10,10,10,10,10,70,20,6,5,0,5,5,10,5,2,0,0,0,3,10,10,10,0,0,7,7,5,8,2,2,1,6,7,8,9,9,9,4,7,3,6,5,0,1,0,0,0,1,1,10,8,5,0,5,5,1,5,5,8,10,60,4,14,3,25,3,7,2,2,5,"",5,2,1,1,213,"Moralcircle|Traitoptimism|Collectivenarcissism|Traitself-control|Politicalideology|ConspiracyTheoriesCOVID-19|Physicalhealth|MoralIdentity|Morality-as-cooperation(shortversion)|Psychologicalwell-being|Riskperception|Narcissism|Self-esteem|NationalIdentification|Anti-coronapolicysupport|Physicalcontact|Attentioncheck|Physicalhygiene|Socialbelonging|Generosity|Open-mindedness"
"101","27/04/2020 19.39","27/04/2020 20.03",0,"81.183.194.84",100,1416,1,"27/04/2020 20.03","R_1FFjBAu1s4jfD78",NA,NA,NA,NA,46.08329773,18.23330688,"anonymous","HU",1,"",63,10,0,10,10,10,10,10,10,10,8,10,10,8,10,10,0,75,25,7,6,5,8,7,10,10,1,0,0,0,4,8,8,9,0,7,7,9,10,9,2,0,0,7,7,8,9,9,10,8,8,9,1,8,0,2,2,1,1,7,5,9,9,1,0,4,7,1,5,8,8,50,50,8,12,7,25,1,7,3,2,1,"",4,1,1,1,213,"MoralIdentity|Morality-as-cooperation(shortversion)|Narcissism|Physicalhygiene|Traitself-control|Traitoptimism|Socialbelonging|Generosity|Politicalideology|Psychologicalwell-being|NationalIdentification|Physicalhealth|Open-mindedness|ConspiracyTheoriesCOVID-19|Moralcircle|Self-esteem|Anti-coronapolicysupport|Attentioncheck|Physicalcontact|Collectivenarcissism|Riskperception"
"102","27/04/2020 19.53","27/04/2020 20.04",0,"89.132.12.1",100,662,1,"27/04/2020 20.04","R_27k6gmThSBk4q44",NA,NA,NA,NA,47.42730713,19.40130615,"anonymous","HU",2,"",31,10,0,10,10,10,9,9,10,10,1,8,8,8,10,9,10,40,50,9,8,10,10,7,10,10,10,0,9,9,6,10,10,10,0,1,10,10,10,10,10,9,9,9,9,8,8,10,10,9,10,9,1,9,8,5,10,7,9,9,8,9,8,8,0,8,2,8,7,7,7,40,70,0,6,6,50,300,4,2,1,1,"",6,2,1,1,213,"Collectivenarcissism|Politicalideology|Socialbelonging|Physicalcontact|Morality-as-cooperation(shortversion)|ConspiracyTheoriesCOVID-19|Physicalhygiene|Open-mindedness|Attentioncheck|Traitoptimism|Narcissism|Traitself-control|Physicalhealth|Self-esteem|Moralcircle|MoralIdentity|NationalIdentification|Riskperception|Anti-coronapolicysupport|Generosity|Psychologicalwell-being"
"103","27/04/2020 20.03","27/04/2020 20.18",0,"77.111.172.190",100,879,1,"27/04/2020 20.18","R_2ATKUqsyIWIzGkC",NA,NA,NA,NA,46.84089661,16.83990479,"anonymous","HU",1,"",57,10,2,10,10,10,10,10,10,9,9,10,10,10,10,10,0,50,50,5,10,5,5,5,10,10,0,0,0,0,0,10,10,10,0,0,10,10,10,10,0,0,0,6,6,10,10,8,10,8,9,4,1,8,0,0,0,0,0,0,0,10,10,5,0,7,8,0,5,8,8,10,10,5,16,5,25,3,4,2,2,1,"",6,1,1,1,213,"Riskperception|Traitoptimism|Moralcircle|ConspiracyTheoriesCOVID-19|Politicalideology|Physicalhealth|Attentioncheck|Narcissism|Generosity|Open-mindedness|Traitself-control|Psychologicalwell-being|Physicalhygiene|Self-esteem|MoralIdentity|Collectivenarcissism|Anti-coronapolicysupport|Morality-as-cooperation(shortversion)|Physicalcontact|Socialbelonging|NationalIdentification"
"104","27/04/2020 19.59","27/04/2020 20.18",0,"94.248.216.161",100,1159,1,"27/04/2020 20.18","R_1DBxxDsksWMPkdS",NA,NA,NA,NA,45.8500061,18.23669434,"anonymous","HU",2,"",53,10,0,0,0,10,10,10,10,10,10,3,10,10,10,10,50,50,0,7,4,6,8,7,10,10,0,0,0,2,0,10,10,10,0,10,7,10,10,8,0,0,0,7,10,10,10,10,10,10,10,3,8,10,0,0,3,3,5,5,5,10,10,8,0,10,10,0,10,10,10,50,50,5,14,3,30,3,4,3,4,1,"",7,2,1,1,213,"Morality-as-cooperation(shortversion)|Collectivenarcissism|Politicalideology|Traitself-control|Psychologicalwell-being|Physicalhealth|Narcissism|ConspiracyTheoriesCOVID-19|NationalIdentification|Riskperception|MoralIdentity|Socialbelonging|Traitoptimism|Anti-coronapolicysupport|Physicalcontact|Attentioncheck|Generosity|Self-esteem|Physicalhygiene|Moralcircle|Open-mindedness"
"105","27/04/2020 19.55","27/04/2020 20.20",0,"185.221.141.36",100,1546,1,"27/04/2020 20.20","R_3KPnlwImb65Ix5O",NA,NA,NA,NA,46.84089661,16.83990479,"anonymous","HU",2,"",65,10,4,10,4,10,9,7,7,6,7,10,10,10,10,10,40,30,30,6,5,5,4,4,10,10,8,7,3,7,7,9,9,9,0,6,10,7,9,9,5,2,0,4,5,4,5,6,10,6,5,6,3,4,0,6,3,1,2,2,6,8,5,3,4,5,1,2,4,4,4,10,70,2,14,5,50,300,4,3,3,5,"",7,2,1,1,213,"Narcissism|Politicalideology|MoralIdentity|ConspiracyTheoriesCOVID-19|NationalIdentification|Open-mindedness|Moralcircle|Anti-coronapolicysupport|Physicalhealth|Riskperception|Physicalcontact|Collectivenarcissism|Psychologicalwell-being|Self-esteem|Generosity|Traitself-control|Socialbelonging|Attentioncheck|Traitoptimism|Physicalhygiene|Morality-as-cooperation(shortversion)"
"106","27/04/2020 19.12","27/04/2020 20.23",0,"92.249.131.6",100,4252,1,"27/04/2020 20.23","R_1Ld7t6qYnjjl2vo",NA,NA,NA,NA,47.49839783,19.04040527,"anonymous","HU",2,"",69,10,2,7,10,10,10,10,7,10,10,7,7,7,7,7,30,35,35,8,7,1,4,3,10,10,1,1,1,4,9,10,10,9,0,2,9,8,9,8,6,4,4,6,6,6,7,7,10,6,6,7,7,4,0,1,1,1,1,0,1,7,6,10,4,6,6,3,1,1,7,60,70,2,9,9,50,300,4,1,2,5,"",8,2,1,1,213,"Physicalhealth|Anti-coronapolicysupport|Attentioncheck|Physicalhygiene|Open-mindedness|Moralcircle|NationalIdentification|Narcissism|Self-esteem|Riskperception|MoralIdentity|Traitoptimism|Generosity|Politicalideology|Physicalcontact|ConspiracyTheoriesCOVID-19|Socialbelonging|Collectivenarcissism|Psychologicalwell-being|Traitself-control|Morality-as-cooperation(shortversion)"
"107","27/04/2020 19.54","27/04/2020 20.26",0,"78.131.91.198",100,1951,1,"27/04/2020 20.26","R_2V9FiFI0bxCAl7n",NA,NA,NA,NA,47.49839783,19.04040527,"anonymous","HU",2,"",61,9,1,9,10,10,6,6,10,4,9,2,7,1,8,3,50,50,0,8,8,1,1,1,10,6,1,1,10,4,3,9,10,9,1,1,10,10,10,10,10,9,0,9,9,9,9,9,9,9,10,3,1,10,0,6,6,1,8,5,7,10,10,9,0,10,10,0,1,9,9,10,20,5,16,9,125,300,4,1,0,5,"",6,1,1,1,213,"Generosity|Moralcircle|Collectivenarcissism|Anti-coronapolicysupport|NationalIdentification|Physicalcontact|Morality-as-cooperation(shortversion)|ConspiracyTheoriesCOVID-19|Self-esteem|Attentioncheck|Traitself-control|Politicalideology|Riskperception|Physicalhygiene|Socialbelonging|Physicalhealth|Traitoptimism|MoralIdentity|Open-mindedness|Psychologicalwell-being|Narcissism"
"108","27/04/2020 20.05","27/04/2020 20.30",0,"176.63.25.189",100,1489,1,"27/04/2020 20.30","R_245yIhCGvC8AjfH",NA,NA,NA,NA,47.49839783,19.04040527,"anonymous","HU",1,"",67,6,1,7,9,9,4,6,9,5,9,2,7,2,10,8,0,25,75,9,9,0,0,0,10,3,4,6,4,6,7,9,9,9,1,4,7,8,9,8,9,4,9,7,7,7,7,8,8,7,7,7,4,6,0,3,3,3,4,4,6,9,7,5,0,6,5,1,5,6,9,50,50,4,11,8,50,3,4,1,3,5,"",6,1,1,1,213,"Morality-as-cooperation(shortversion)|NationalIdentification|Politicalideology|Physicalhygiene|Physicalhealth|Physicalcontact|MoralIdentity|Collectivenarcissism|Moralcircle|Traitself-control|Narcissism|Socialbelonging|Traitoptimism|Anti-coronapolicysupport|Open-mindedness|Generosity|Psychologicalwell-being|Riskperception|ConspiracyTheoriesCOVID-19|Attentioncheck|Self-esteem"
"109","27/04/2020 20.17","27/04/2020 20.33",0,"84.2.176.117",100,950,1,"27/04/2020 20.33","R_3L6fM6ak9iDTBSW",NA,NA,NA,NA,47.49839783,19.04040527,"anonymous","HU",2,"",72,10,0,10,10,10,10,10,10,10,10,10,10,9,10,10,0,100,0,2,5,2,2,2,10,10,7,0,7,2,3,10,10,10,0,0,9,9,9,9,2,5,5,4,4,10,10,10,10,8,8,3,2,0,0,3,0,0,0,0,0,8,8,0,0,8,8,0,0,3,10,40,60,7,1,5,50,300,4,3,2,5,"",7,1,1,1,213,"Generosity|ConspiracyTheoriesCOVID-19|Anti-coronapolicysupport|Traitoptimism|MoralIdentity|Traitself-control|Physicalhealth|Attentioncheck|Morality-as-cooperation(shortversion)|Psychologicalwell-being|Politicalideology|Physicalcontact|Narcissism|NationalIdentification|Open-mindedness|Physicalhygiene|Riskperception|Socialbelonging|Collectivenarcissism|Moralcircle|Self-esteem"
"110","27/04/2020 20.01","27/04/2020 20.36",0,"84.2.175.85",100,2102,1,"27/04/2020 20.36","R_pmDnp7DSDR2ipdT",NA,NA,NA,NA,47.90260315,20.37330627,"anonymous","HU",2,"",61,10,0,10,10,10,7,8,10,10,6,10,10,10,10,10,0,60,40,10,10,5,5,5,10,8,10,0,0,5,2,10,10,10,0,2,10,8,10,10,0,0,10,10,10,8,8,8,8,9,10,2,6,8,0,5,5,0,8,5,0,10,10,5,0,8,8,0,8,8,10,30,50,2,16,10,25,3,7,3,0,5,"",5,2,1,1,213,"Physicalhygiene|Socialbelonging|Collectivenarcissism|MoralIdentity|Riskperception|Physicalhealth|Physicalcontact|Psychologicalwell-being|Traitself-control|Politicalideology|Morality-as-cooperation(shortversion)|Moralcircle|Traitoptimism|ConspiracyTheoriesCOVID-19|Attentioncheck|Open-mindedness|Self-esteem|Generosity|Anti-coronapolicysupport|NationalIdentification|Narcissism"
"111","27/04/2020 20.16","27/04/2020 20.44",0,"85.67.131.178",100,1699,1,"27/04/2020 20.44","R_2SxkJYx4XPALrmt",NA,NA,NA,NA,46.18299866,18.95309448,"anonymous","HU",1,"",71,9,0,9,8,10,4,7,7,4,9,9,10,10,10,8,0,40,60,8,5,2,2,1,4,3,3,4,0,4,6,10,10,8,0,3,9,7,8,8,2,3,0,7,7,7,5,7,9,2,8,6,2,7,0,7,3,3,4,2,3,8,7,2,1,7,3,1,7,7,5,20,30,3,12,7,50,3,7,3,1,5,"",5,1,1,1,213,"Morality-as-cooperation(shortversion)|Traitself-control|Physicalhealth|Physicalcontact|Self-esteem|Moralcircle|Narcissism|Socialbelonging|NationalIdentification|MoralIdentity|Psychologicalwell-being|Collectivenarcissism|ConspiracyTheoriesCOVID-19|Anti-coronapolicysupport|Attentioncheck|Physicalhygiene|Generosity|Traitoptimism|Politicalideology|Open-mindedness|Riskperception"
"112","27/04/2020 20.23","27/04/2020 20.47",0,"195.38.123.189",100,1433,1,"27/04/2020 20.47","R_2Bmovy8Gp7ZNX2U",NA,NA,NA,NA,47.59660339,19.35519409,"anonymous","HU",2,"",41,9,6,8,6,9,8,8,10,7,3,10,10,10,10,10,50,50,0,6,6,3,5,1,10,6,7,2,0,5,8,10,10,10,2,5,8,8,10,9,6,10,10,3,6,10,10,10,10,10,3,8,2,2,10,6,7,8,4,3,7,10,10,2,0,6,7,0,7,6,10,10,60,10,11,8,25,900,4,2,1,1,"",9,1,1,2,213,"Anti-coronapolicysupport|Socialbelonging|Traitself-control|Open-mindedness|Self-esteem|ConspiracyTheoriesCOVID-19|Traitoptimism|Physicalhygiene|Attentioncheck|Collectivenarcissism|Morality-as-cooperation(shortversion)|NationalIdentification|MoralIdentity|Politicalideology|Narcissism|Physicalhealth|Psychologicalwell-being|Generosity|Moralcircle|Riskperception|Physicalcontact"
"113","27/04/2020 20.37","27/04/2020 20.51",0,"188.36.29.72",100,861,1,"27/04/2020 20.51","R_eKBy72SsltDat0Z",NA,NA,NA,NA,47.49839783,19.04040527,"anonymous","HU",2,"",63,10,10,10,10,10,4,4,10,2,2,4,4,4,4,4,0,50,50,10,8,4,10,2,10,10,8,8,8,10,4,10,10,10,0,8,9,6,7,8,0,1,10,10,10,10,10,10,10,10,10,5,2,8,0,2,0,0,10,7,10,0,10,0,0,10,10,0,5,10,0,0,40,5,16,10,50,300,4,1,2,2,"",7,1,1,1,213,"Moralcircle|Physicalcontact|Collectivenarcissism|Physicalhygiene|Generosity|Traitoptimism|Narcissism|Open-mindedness|Anti-coronapolicysupport|Physicalhealth|Politicalideology|NationalIdentification|MoralIdentity|Attentioncheck|Riskperception|Traitself-control|Psychologicalwell-being|Self-esteem|Socialbelonging|Morality-as-cooperation(shortversion)|ConspiracyTheoriesCOVID-19"
"114","27/04/2020 20.48","27/04/2020 20.56",0,"31.46.80.245",100,475,1,"27/04/2020 20.56","R_Y3LYiiWh1qWM2s1",NA,NA,NA,NA,47.49839783,19.04040527,"anonymous","HU",2,"",26,9,10,10,10,10,10,9,10,10,10,9,9,10,10,10,20,20,60,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,9,10,10,7,6,6,7,10,7,10,6,6,10,6,7,0,8,9,8,10,10,10,10,10,10,10,10,10,10,100,100,10,10,10,250,300,4,3,2,6,"",1,2,1,1,213,"Socialbelonging|Narcissism|Self-esteem|Anti-coronapolicysupport|Collectivenarcissism|Moralcircle|Traitself-control|Physicalcontact|Physicalhygiene|Generosity|ConspiracyTheoriesCOVID-19|Riskperception|Traitoptimism|Psychologicalwell-being|MoralIdentity|Open-mindedness|Morality-as-cooperation(shortversion)|Physicalhealth|Attentioncheck|Politicalideology|NationalIdentification"
"115","27/04/2020 20.29","27/04/2020 21.02",0,"149.200.8.136",100,1956,1,"27/04/2020 21.02","R_3QJfTctDJeWMJI5",NA,NA,NA,NA,47.03419495,19.77859497,"anonymous","HU",1,"",54,10,0,10,10,8,10,10,5,5,5,9,8,9,10,9,70,20,10,5,8,10,10,10,10,10,10,6,0,1,10,10,10,9,4,4,5,6,10,6,2,9,9,9,10,9,10,10,10,0,5,9,9,8,8,8,8,5,8,8,7,8,8,5,5,8,8,4,5,5,5,90,90,0,15,1,25,3,4,3,1,5,"",7,2,1,1,213,"Generosity|Narcissism|Attentioncheck|Anti-coronapolicysupport|Moralcircle|Psychologicalwell-being|Politicalideology|MoralIdentity|ConspiracyTheoriesCOVID-19|NationalIdentification|Traitoptimism|Physicalcontact|Open-mindedness|Collectivenarcissism|Traitself-control|Socialbelonging|Physicalhealth|Morality-as-cooperation(shortversion)|Riskperception|Self-esteem|Physicalhygiene"
"116","27/04/2020 20.53","27/04/2020 21.07",0,"176.63.26.51",100,856,1,"27/04/2020 21.07","R_6A9vZJ2FQWarK2R",NA,NA,NA,NA,47.49839783,19.04040527,"anonymous","HU",2,"",53,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,100,0,0,4,5,5,5,5,10,10,10,0,3,6,0,10,10,10,0,0,10,10,10,5,8,10,10,10,10,10,10,10,10,7,8,10,10,4,0,0,10,10,10,0,0,10,10,0,0,8,7,0,0,10,10,80,100,5,1,4,50,300,4,3,3,5,"",6,2,1,1,213,"Anti-coronapolicysupport|Socialbelonging|Morality-as-cooperation(shortversion)|Traitself-control|Self-esteem|Physicalhygiene|Psychologicalwell-being|Moralcircle|Attentioncheck|NationalIdentification|Riskperception|Generosity|ConspiracyTheoriesCOVID-19|Physicalhealth|Open-mindedness|Traitoptimism|Narcissism|MoralIdentity|Physicalcontact|Politicalideology|Collectivenarcissism"
