ResponseId,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Common difference,Subadditivity,Delay-speedup,Interval markup,Risk preference,Q22_2,Q22_3,Q22_4,Q22_5,Q23,Q24,Q25,Q26_1,Q26_2,Q26_3,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35
AD138,Receiving $500 right now,Receiving $500 right now,Receiving $750 in 12 months,,,Paying $550 in 12 months,Paying $500 right now,,,,Receiving $5000 right now,Receiving $5000 right now,Receiving $7500 in 12 months,,,Receiving $500 in 12 months (1 year),Receiving $1500 in 24 months (2 years),Receiving $500 in 12 months (1 year),$500 per month for 12 months,A 25% chance of $200 (75% chance of $0),87,101,32,780,One extra week of salary for no additional work in 2083,Things will be much better,I could not pay all my bills last month,14940,33309,30835,My financial situation became somewhat worse,I pay off any balances every month,Wealthy,1996,Man,Graduate (Masters or equivalent),Employed full-time (25+ hours per week),Native Hawaiian,Non-Hispanic
AD139,Receiving $500 right now,Receiving $500 right now,Receiving $500 right now,,,Paying $550 in 12 months,Paying $500 right now,,,,Receiving $5000 right now,Receiving $5000 right now,Receiving $7500 in 12 months,,,Receiving $500 in 12 months (1 year),Receiving $1500 in 24 months (2 years),Receiving $500 in 12 months (1 year),$500 per month for 12 months,Guaranteed $50,300,214,88,398,One extra week of vacation for no change in salary in 2083,Things will be about the same,"Everything is paid off and I have enough to save, invest, or spend freely",12079,10065,49352,My financial situation became much better,My debts increase beyond what I earn in a given month,Around average,1974,Other,Graduate (Masters or equivalent),Not in paid employment (by choice),"Asian,Black or African-American,Native Alaskan,Native American,Native Hawaiian,White","Hispanic,Non-Hispanic,Immigrant"
AD140,Receiving $500 right now,Receiving $500 right now,Receiving $500 right now,,,Paying $500 right now,,,Paying $510 in 12 months,,Receiving $5000 right now,Receiving $5000 right now,Receiving $5000 right now,,,Receiving $750 in 24 months (2 years),Receiving $1500 in 24 months (2 years),Receiving $500 in 12 months (1 year),"$5,000 right now",A 67% chance of $75 (33% chance of $0),242,226,245,287,Two extra weeks of salary with no additional work in 2084,Things will be much worse,"Everything is paid off and I have enough to save, invest, or spend freely",17495,22963,32272,My financial situation became much better,I never purchase anything on credit or take on debt,Below average but not poor,1961,Other,Graduate (Masters or equivalent),Employed part-time (less than 25 hours per week),"Native Alaskan,White","Hispanic,Non-Hispanic"
AD141,Receiving $500 right now,Receiving $500 right now,Receiving $500 right now,,,Paying $500 right now,,,Paying $510 in 12 months,,Receiving $5000 right now,Receiving $5000 right now,Receiving $5000 right now,,,Receiving $750 in 24 months (2 years),Receiving $1500 in 24 months (2 years),Receiving $500 in 12 months (1 year),"$6,000 in 12 months",A 25% chance of $200 (75% chance of $0),76,121,121,682,Two extra weeks of vacation with no change in salary in 2085,Things will be somewhat worse,"Everything is paid off and I have enough to save, invest, or spend freely",15713,23705,42059,There were no major impacts on my financial situation,I make the minimum payment and the interest is charged,Wealthy,1959,Woman,Doctoral degree,Not in paid employment (by choice),"Black or African-American,Native Hawaiian",Immigrant
AD142,Receiving $500 right now,Receiving $500 right now,Receiving $500 right now,,,Paying $500 right now,,,Paying $500 right now,Paying $500 right now,Receiving $5000 right now,Receiving $5000 right now,Receiving $5000 right now,,,Receiving $750 in 24 months (2 years),Receiving $1500 in 24 months (2 years),Receiving $250 right now,$500 per month for 12 months,A 75% chance of $67 (25% chance of $0),66,15,100,819,One extra week of salary for no additional work in 2084,Things will be somewhat better,I paid everything but saved nothing,37229,42805,21154,My financial situation became somewhat better,I generally pay off the interest but not the balance,Above average but not wealthy,1970,Prefer not to answer,Secondary school (high school),Employed full-time (25+ hours per week),"Black or African-American,Native American,Pacific Islander","Hispanic,Non-Hispanic,Immigrant"
AD143,Receiving $500 right now,Receiving $500 right now,Receiving $750 in 12 months,,,Paying $500 right now,,,Paying $500 right now,Paying $500 right now,Receiving $5000 right now,Receiving $5000 right now,Receiving $7500 in 12 months,,,Receiving $750 in 24 months (2 years),Receiving $1500 in 24 months (2 years),Receiving $500 in 12 months (1 year),$500 per month for 12 months,A 67% chance of $75 (33% chance of $0),85,222,279,414,One extra week of vacation for no change in salary in 2084,Things will be much worse,I paid everything and saved some,15225,42785,21571,My financial situation became somewhat better,My debts increase beyond what I earn in a given month,Poor,1948,Woman,Doctoral degree,Employed full-time (25+ hours per week),"Black or African-American,Native Alaskan,Native American,Native Hawaiian,White","Hispanic,Non-Hispanic,Immigrant"
AD144,Receiving $500 right now,Receiving $500 right now,Receiving $500 right now,,,Paying $550 in 12 months,Paying $600 in 12 months,Paying $750 in 12 months,,,Receiving $5000 right now,Receiving $5000 right now,Receiving $5000 right now,,,Receiving $750 in 24 months (2 years),Receiving $1500 in 24 months (2 years),Receiving $250 right now,"$6,000 in 12 months",A 67% chance of $75 (33% chance of $0),215,146,192,447,Two extra weeks of salary with no additional work in 2085,Things will be somewhat better,I paid everything but saved nothing,41073,39015,31647,There were no major impacts on my financial situation,I pay off much of the balance,Around average,1983,Prefer not to answer,Primary school,Full-time student,"Native Alaskan,Native Hawaiian","Hispanic,Non-Hispanic,Immigrant"
AD145,Receiving $500 right now,Receiving $500 right now,Receiving $500 right now,,,Paying $550 in 12 months,Paying $600 in 12 months,Paying $750 in 12 months,,,Receiving $5000 right now,Receiving $5000 right now,Receiving $5000 right now,,,Receiving $750 in 24 months (2 years),Receiving $1500 in 24 months (2 years),Receiving $500 in 12 months (1 year),"$5,000 right now",Guaranteed $50,60,16,253,671,Two extra weeks of vacation with no change in salary in 2086,Things will be somewhat better,I had to take on a lot of debt to pay my bills last month,16120,21418,10002,My financial situation became much worse,I make the minimum payment and the interest is charged,Above average but not wealthy,1992,Man,Primary school,Full-time student,"Asian,Black or African-American,Native Alaskan,Native American,Native Hawaiian,Pacific Islander,White",Non-Hispanic
AD146,Receiving $550 in 12 months,,,Receiving $500 right now,,Paying $550 in 12 months,Paying $500 right now,,,,Receiving $5000 right now,Receiving $6000 in 12 months,,,,Receiving $550 in 24 months (2 years),Receiving $1100 in 24 months (2 years),Receiving $450 right now,"$6,000 in 12 months",A 25% chance of $200 (75% chance of $0),13,99,297,591,One extra week of vacation for no change in salary in 2033,Things will be much better,"Everything is paid off and I have enough to save, invest, or spend freely",37548,32516,26061,My financial situation became somewhat worse,My debts increase beyond what I earn in a given month,Wealthy,1932,Prefer not to answer,Primary school,Employed full-time (25+ hours per week),"Black or African-American,Native Alaskan,Native American,Native Hawaiian,Pacific Islander,White",Immigrant
AD147,Receiving $500 right now,Receiving $500 right now,Receiving $750 in 12 months,,,Paying $550 in 12 months,Paying $600 in 12 months,Paying $750 in 12 months,,,Receiving $5000 right now,Receiving $5000 right now,Receiving $7500 in 12 months,,,Receiving $750 in 24 months (2 years),Receiving $1500 in 24 months (2 years),Receiving $500 in 12 months (1 year),"$5,000 right now",Guaranteed $50,270,283,248,199,One extra week of salary for no additional work in 2085,Things will be somewhat worse,I had to take on a lot of debt to pay my bills last month,45489,44882,11507,There were no major impacts on my financial situation,I make the minimum payment and the interest is charged,Above average but not wealthy,1930,Man,College or university (Bachelor or equivalent),Not in paid employed (looking for work),"Asian,Black or African-American,Native Alaskan,Native American,Native Hawaiian","Non-Hispanic,Immigrant"
AD148,Receiving $500 right now,Receiving $500 right now,Receiving $500 right now,,,Paying $550 in 12 months,Paying $600 in 12 months,Paying $500 right now,,,Receiving $5000 right now,Receiving $5000 right now,Receiving $5000 right now,,,Receiving $750 in 24 months (2 years),Receiving $1500 in 24 months (2 years),Receiving $500 in 12 months (1 year),$500 per month for 12 months,A 50% chance of $100 (50% chance of $0),271,179,180,370,One extra week of vacation for no change in salary in 2085,Things will be somewhat better,I had to take on a lot of debt to pay my bills last month,34209,12090,26059,My financial situation became somewhat better,I pay off any balances every month,Around average,1993,Prefer not to answer,Graduate (Masters or equivalent),Not in paid employment (by choice),"Asian,Black or African-American,Native Hawaiian,White","Hispanic,Immigrant"
AD149,Receiving $500 right now,Receiving $500 right now,Receiving $500 right now,,,Paying $550 in 12 months,Paying $600 in 12 months,Paying $500 right now,,,Receiving $5000 right now,Receiving $5000 right now,Receiving $7500 in 12 months,,,Receiving $750 in 24 months (2 years),Receiving $1500 in 24 months (2 years),Receiving $250 right now,"$5,000 right now",A 75% chance of $67 (25% chance of $0),169,160,208,463,Two extra weeks of salary with no additional work in 2086,Things will be about the same,I paid everything but saved nothing,43682,30943,36278,My financial situation became much worse,I generally pay off the interest but not the balance,Below average but not poor,1941,Prefer not to answer,Secondary school (high school),Full-time student,"Asian,Black or African-American,Native Alaskan,Native American,Native Hawaiian,Pacific Islander,White","Hispanic,Non-Hispanic,Immigrant"
AD150,Receiving $500 right now,Receiving $500 right now,Receiving $500 right now,,,Paying $550 in 12 months,Paying $500 right now,,,,Receiving $5000 right now,Receiving $5000 right now,Receiving $5000 right now,,,Receiving $750 in 24 months (2 years),Receiving $1500 in 24 months (2 years),Receiving $250 right now,$500 per month for 12 months,Guaranteed $50,143,199,174,484,Two extra weeks of vacation with no change in salary in 2087,Things will be about the same,I paid everything and saved some,39012,38406,39953,My financial situation became much worse,I pay off much of the balance,Poor,1994,Woman,Secondary school (high school),Not in paid employment (by choice),"Native Alaskan,White","Non-Hispanic,Immigrant"
AD151,Receiving $500 right now,Receiving $500 right now,Receiving $500 right now,,,Paying $550 in 12 months,Paying $500 right now,,,,Receiving $5000 right now,Receiving $5000 right now,Receiving $7500 in 12 months,,,Receiving $750 in 24 months (2 years),Receiving $1500 in 24 months (2 years),Receiving $250 right now,$500 per month for 12 months,A 67% chance of $75 (33% chance of $0),69,104,91,736,One extra week of salary for no additional work in 2086,Things will be much worse,I had to take on a lot of debt to pay my bills last month,32367,43053,17448,There were no major impacts on my financial situation,I pay off much of the balance,Poor,1958,Woman,Graduate (Masters or equivalent),Employed full-time (25+ hours per week),"Asian,Black or African-American,Native Alaskan,Native American,Native Hawaiian,Pacific Islander",Immigrant
AD152,Receiving $550 in 12 months,,,Receiving $500 right now,,Paying $500 right now,,,Paying $510 in 12 months,,Receiving $5000 right now,Receiving $5000 right now,Receiving $5000 right now,,,Receiving $500 in 12 months (1 year),Receiving $500 right now,Receiving $500 in 12 months (1 year),"$6,000 in 12 months",A 50% chance of $100 (50% chance of $0),136,127,120,617,One extra week of vacation for no change in salary in 2086,Things will be somewhat better,"Everything is paid off and I have enough to save, invest, or spend freely",41493,20468,10055,My financial situation became somewhat better,I pay off much of the balance,Above average but not wealthy,1998,Woman,Vocational school,Not in paid employed (looking for work),"Asian,Black or African-American,Native Alaskan,Native American,Native Hawaiian,Pacific Islander",Hispanic
AD153,Receiving $550 in 12 months,,,Receiving $500 right now,,Paying $500 right now,,,Paying $510 in 12 months,,Receiving $5000 right now,Receiving $5000 right now,Receiving $7500 in 12 months,,,Receiving $500 in 12 months (1 year),Receiving $500 right now,Receiving $500 in 12 months (1 year),"$5,000 right now",A 67% chance of $75 (33% chance of $0),110,196,19,675,Two extra weeks of salary with no additional work in 2087,Things will be somewhat worse,I had to take on some debt to pay them,14211,47202,18520,My financial situation became somewhat better,I pay off much of the balance,Below average but not poor,1925,Woman,Graduate (Masters or equivalent),Full-time student,"Asian,Black or African-American,Native Alaskan,Native American,Native Hawaiian,Pacific Islander",Non-Hispanic
AD154,Receiving $500 right now,Receiving $500 right now,Receiving $750 in 12 months,,,Paying $500 right now,,,Paying $510 in 12 months,,Receiving $5000 right now,Receiving $5000 right now,Receiving $5000 right now,,,Receiving $500 in 12 months (1 year),Receiving $500 right now,Receiving $500 in 12 months (1 year),$500 per month for 12 months,Guaranteed $50,241,226,45,488,Two extra weeks of vacation with no change in salary in 2088,Things will be somewhat worse,I paid everything and saved some,20926,20357,23267,There were no major impacts on my financial situation,I pay off much of the balance,Above average but not wealthy,1940,Woman,MBA,Employed part-time (less than 25 hours per week),"Asian,Native Alaskan,Native American,Native Hawaiian,Pacific Islander,White","Hispanic,Non-Hispanic"
AD155,Receiving $500 right now,Receiving $500 right now,Receiving $500 right now,,,Paying $500 right now,,,Paying $510 in 12 months,,Receiving $5000 right now,Receiving $5000 right now,Receiving $5000 right now,,,Receiving $500 in 12 months (1 year),Receiving $500 right now,Receiving $500 in 12 months (1 year),"$5,000 right now",A 75% chance of $67 (25% chance of $0),272,150,10,568,One extra week of salary for no additional work in 2087,Things will be much worse,I could not pay all my bills last month,15040,27142,33503,My financial situation became somewhat better,I pay off much of the balance,Around average,1989,Prefer not to answer,Vocational school,Employed part-time (less than 25 hours per week),"Black or African-American,Native American","Non-Hispanic,Immigrant"
AD156,Receiving $500 right now,Receiving $500 right now,Receiving $750 in 12 months,,,Paying $500 right now,,,Paying $510 in 12 months,,Receiving $5000 right now,Receiving $5000 right now,Receiving $5000 right now,,,Receiving $500 in 12 months (1 year),Receiving $500 right now,Receiving $500 in 12 months (1 year),"$6,000 in 12 months",A 50% chance of $100 (50% chance of $0),271,203,298,228,One extra week of vacation for no change in salary in 2087,Things will be much better,"Everything is paid off and I have enough to save, invest, or spend freely",21835,32895,26039,My financial situation became much better,I pay off any balances every month,Around average,1982,Woman,Graduate (Masters or equivalent),Not in paid employed (looking for work),"Native Alaskan,Native American,Pacific Islander",Hispanic
AD157,Receiving $550 in 12 months,,,Receiving $500 right now,,Paying $550 in 12 months,Paying $500 right now,,,,Receiving $5000 right now,Receiving $6000 in 12 months,,,,Receiving $550 in 24 months (2 years),Receiving $1100 in 24 months (2 years),Receiving $450 right now,$500 per month for 12 months,A 75% chance of $67 (25% chance of $0),281,167,45,507,Two extra weeks of salary with no additional work in 2034,Things will be much worse,I had to take on some debt to pay them,13518,38298,37305,There were no major impacts on my financial situation,My debts increase beyond what I earn in a given month,Wealthy,1961,Woman,Graduate (Masters or equivalent),Employed full-time (25+ hours per week),"Asian,Black or African-American,Native Hawaiian,Pacific Islander,White","Hispanic,Non-Hispanic"
AD158,Receiving $500 right now,Receiving $500 right now,Receiving $500 right now,,,Paying $500 right now,,,Paying $510 in 12 months,,Receiving $5000 right now,Receiving $5000 right now,Receiving $7500 in 12 months,,,Receiving $500 in 12 months (1 year),Receiving $500 right now,Receiving $500 in 12 months (1 year),"$6,000 in 12 months",A 50% chance of $100 (50% chance of $0),248,203,300,249,Two extra weeks of salary with no additional work in 2088,Things will be much worse,I paid everything but saved nothing,40883,28787,48542,My financial situation became somewhat worse,I never purchase anything on credit or take on debt,Below average but not poor,1930,Other,MBA,Full-time student,"Asian,Black or African-American,Native Alaskan,Native American,Native Hawaiian,Pacific Islander,White","Non-Hispanic,Immigrant"
AD159,Receiving $500 right now,Receiving $500 right now,Receiving $500 right now,,,Paying $500 right now,,,Paying $510 in 12 months,,Receiving $5000 right now,Receiving $5000 right now,Receiving $5000 right now,,,Receiving $500 in 12 months (1 year),Receiving $500 right now,Receiving $500 in 12 months (1 year),$500 per month for 12 months,A 50% chance of $100 (50% chance of $0),202,114,137,547,Two extra weeks of vacation with no change in salary in 2089,Things will be much worse,"Everything is paid off and I have enough to save, invest, or spend freely",13398,21670,39284,My financial situation became somewhat better,I pay off much of the balance,Above average but not wealthy,1922,Woman,College or university (Bachelor or equivalent),Employed part-time (less than 25 hours per week),"Black or African-American,Native American,White","Hispanic,Non-Hispanic"
AD160,Receiving $500 right now,Receiving $500 right now,Receiving $500 right now,,,Paying $500 right now,,,Paying $510 in 12 months,,Receiving $5000 right now,Receiving $5000 right now,Receiving $7500 in 12 months,,,Receiving $500 in 12 months (1 year),Receiving $500 right now,Receiving $500 in 12 months (1 year),"$6,000 in 12 months",A 50% chance of $100 (50% chance of $0),197,267,199,337,One extra week of salary for no additional work in 2088,Things will be about the same,I paid everything and saved some,44433,41449,25339,My financial situation became somewhat better,I pay off much of the balance,Around average,1980,Prefer not to answer,Graduate (Masters or equivalent),Employed part-time (less than 25 hours per week),"Native Alaskan,Native American,Pacific Islander,White",Immigrant
AD161,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $500 right now,,,Paying $510 in 12 months,,Receiving $5000 right now,Receiving $5000 right now,Receiving $5000 right now,,,Receiving $500 in 12 months (1 year),Receiving $500 right now,Receiving $400 right now,"$6,000 in 12 months",Guaranteed $50,89,102,75,734,One extra week of vacation for no change in salary in 2088,Things will be much worse,"Everything is paid off and I have enough to save, invest, or spend freely",44481,38461,17152,There were no major impacts on my financial situation,I pay off much of the balance,Poor,2000,Man,College or university (Bachelor or equivalent),Full-time student,"Asian,Native Alaskan","Hispanic,Non-Hispanic"
AD162,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $500 right now,,,Paying $510 in 12 months,,Receiving $5000 right now,Receiving $5000 right now,Receiving $5000 right now,,,Receiving $500 in 12 months (1 year),Receiving $500 right now,Receiving $500 in 12 months (1 year),$500 per month for 12 months,A 75% chance of $67 (25% chance of $0),200,247,225,328,Two extra weeks of salary with no additional work in 2089,Things will be somewhat better,I had to take on a lot of debt to pay my bills last month,27745,24603,20985,My financial situation became somewhat better,I generally pay off the interest but not the balance,Above average but not wealthy,1960,Other,College or university (Bachelor or equivalent),Not in paid employed (looking for work),"Asian,Native Alaskan,Pacific Islander,White","Non-Hispanic,Immigrant"
AD163,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $500 right now,,,Paying $510 in 12 months,,Receiving $5000 right now,Receiving $5000 right now,Receiving $7500 in 12 months,,,Receiving $500 in 12 months (1 year),Receiving $500 right now,Receiving $400 right now,"$6,000 in 12 months",A 75% chance of $67 (25% chance of $0),90,242,129,539,Two extra weeks of vacation with no change in salary in 2090,Things will be about the same,I had to take on some debt to pay them,42785,32473,49765,My financial situation became much better,I pay off much of the balance,Poor,1990,Woman,Primary school,Employed full-time (25+ hours per week),"Native Alaskan,Native American,Native Hawaiian,Pacific Islander,White","Hispanic,Non-Hispanic,Immigrant"
AD164,Receiving $550 in 12 months,,,Receiving $510 in 12 months,Receiving $505 in 12 months,Paying $500 right now,,,Paying $500 right now,Paying $500 right now,Receiving $5000 right now,Receiving $5000 right now,Receiving $5000 right now,,,Receiving $500 in 12 months (1 year),Receiving $500 right now,Receiving $500 in 12 months (1 year),"$5,000 right now",Guaranteed $50,268,43,18,671,One extra week of salary for no additional work in 2089,Things will be much worse,"Everything is paid off and I have enough to save, invest, or spend freely",49102,27008,15754,My financial situation became much worse,I pay off much of the balance,Wealthy,1942,Other,Secondary school (high school),Employed part-time (less than 25 hours per week),"Asian,Native American,Native Hawaiian,Pacific Islander","Hispanic,Non-Hispanic,Immigrant"
AD165,Receiving $550 in 12 months,,,Receiving $510 in 12 months,Receiving $505 in 12 months,Paying $500 right now,,,Paying $500 right now,Paying $505 in 12 months,Receiving $5000 right now,Receiving $5000 right now,Receiving $5000 right now,,,Receiving $500 in 12 months (1 year),Receiving $500 right now,Receiving $495 right now,$500 per month for 12 months,A 67% chance of $75 (33% chance of $0),282,299,258,161,One extra week of vacation for no change in salary in 2089,Things will be somewhat better,I paid everything and saved some,32807,48215,22317,My financial situation became much better,I generally pay off the interest but not the balance,Poor,1994,Woman,Graduate (Masters or equivalent),Not in paid employed (looking for work),"Asian,Native Alaskan,Native Hawaiian",Hispanic
AD166,Receiving $550 in 12 months,,,Receiving $510 in 12 months,Receiving $500 right now,Paying $500 right now,,,Paying $500 right now,Paying $505 in 12 months,Receiving $5000 right now,Receiving $5000 right now,Receiving $5000 right now,,,Receiving $500 in 12 months (1 year),Receiving $500 right now,Receiving $490 right now,$500 per month for 12 months,A 75% chance of $67 (25% chance of $0),95,9,284,612,Two extra weeks of salary with no additional work in 2090,Things will be much worse,I had to take on some debt to pay them,46641,10502,16495,My financial situation became somewhat worse,I generally pay off the interest but not the balance,Poor,1995,Other,College or university (Bachelor or equivalent),Full-time student,"Native Alaskan,White",Non-Hispanic
AD167,Receiving $550 in 12 months,,,Receiving $510 in 12 months,Receiving $505 in 12 months,Paying $500 right now,,,Paying $500 right now,Paying $500 right now,Receiving $5000 right now,Receiving $5000 right now,Receiving $7500 in 12 months,,,Receiving $500 in 12 months (1 year),Receiving $500 right now,Receiving $495 right now,"$6,000 in 12 months",A 50% chance of $100 (50% chance of $0),198,191,178,433,Two extra weeks of vacation with no change in salary in 2091,Things will be somewhat worse,I had to take on a lot of debt to pay my bills last month,33504,39990,15260,There were no major impacts on my financial situation,I generally pay off the interest but not the balance,Below average but not poor,1975,Woman,MBA,Employed part-time (less than 25 hours per week),"Asian,Black or African-American,Native Alaskan,Native American,Native Hawaiian,White","Hispanic,Immigrant"
AD168,Receiving $550 in 12 months,,,Receiving $500 right now,,Paying $550 in 12 months,Paying $500 right now,,,,Receiving $5000 right now,Receiving $6000 in 12 months,,,,Receiving $550 in 24 months (2 years),Receiving $1100 in 24 months (2 years),Receiving $500 in 12 months (1 year),$500 per month for 12 months,Guaranteed $50,66,257,76,601,Two extra weeks of vacation with no change in salary in 2035,Things will be much better,I paid everything but saved nothing,10210,42125,15339,My financial situation became somewhat worse,I pay off any balances every month,Below average but not poor,1939,Prefer not to answer,MBA,Full-time student,Asian,"Hispanic,Non-Hispanic"
AD169,Receiving $550 in 12 months,,,Receiving $510 in 12 months,Receiving $500 right now,Paying $500 right now,,,Paying $500 right now,Paying $505 in 12 months,Receiving $5000 right now,Receiving $5000 right now,Receiving $7500 in 12 months,,,Receiving $500 in 12 months (1 year),Receiving $500 right now,Receiving $490 right now,"$5,000 right now",A 25% chance of $200 (75% chance of $0),212,26,253,509,One extra week of salary for no additional work in 2090,Things will be somewhat better,I had to take on some debt to pay them,19292,35747,40170,My financial situation became much worse,I never purchase anything on credit or take on debt,Poor,1953,Man,Secondary school (high school),Not in paid employed (looking for work),Native Alaskan,"Non-Hispanic,Immigrant"
AD170,Receiving $550 in 12 months,,,Receiving $510 in 12 months,Receiving $500 right now,Paying $500 right now,,,Paying $500 right now,Paying $505 in 12 months,Receiving $5000 right now,Receiving $5000 right now,Receiving $5000 right now,,,Receiving $500 in 12 months (1 year),Receiving $500 right now,Receiving $490 right now,"$6,000 in 12 months",A 75% chance of $67 (25% chance of $0),182,175,48,595,One extra week of vacation for no change in salary in 2090,Things will be somewhat better,I had to take on some debt to pay them,38096,27728,37509,My financial situation became much worse,I pay off any balances every month,Poor,1987,Prefer not to answer,Primary school,Full-time student,"Asian,Black or African-American,Native Alaskan,Native American,Native Hawaiian,Pacific Islander,White","Hispanic,Non-Hispanic,Immigrant"
AD171,Receiving $500 right now,Receiving $500 right now,Receiving $500 right now,,,Paying $500 right now,,,Paying $500 right now,Paying $505 in 12 months,Receiving $5000 right now,Receiving $5000 right now,Receiving $7500 in 12 months,,,Receiving $500 in 12 months (1 year),Receiving $500 right now,Receiving $500 in 12 months (1 year),"$5,000 right now",A 75% chance of $67 (25% chance of $0),140,215,292,353,Two extra weeks of salary with no additional work in 2091,Things will be much worse,I had to take on some debt to pay them,27126,31789,32809,There were no major impacts on my financial situation,I pay off much of the balance,Below average but not poor,1987,Man,MBA,Not in paid employment (by choice),"Asian,Black or African-American,Native Alaskan,Native Hawaiian,Pacific Islander,White",Hispanic
AD172,Receiving $500 right now,Receiving $500 right now,Receiving $750 in 12 months,,,Paying $500 right now,,,Paying $500 right now,Paying $500 right now,Receiving $5000 right now,Receiving $5000 right now,Receiving $5000 right now,,,Receiving $500 in 12 months (1 year),Receiving $500 right now,Receiving $250 right now,$500 per month for 12 months,A 75% chance of $67 (25% chance of $0),232,170,72,526,Two extra weeks of vacation with no change in salary in 2092,Things will be somewhat worse,I paid everything and saved some,36436,46246,16610,My financial situation became somewhat better,I never purchase anything on credit or take on debt,Poor,1929,Other,Vocational school,Full-time student,"Asian,Black or African-American,Native Alaskan,Native American,Native Hawaiian,White","Non-Hispanic,Immigrant"
AD173,Receiving $500 right now,Receiving $500 right now,Receiving $500 right now,,,Paying $500 right now,,,Paying $500 right now,Paying $505 in 12 months,Receiving $5000 right now,Receiving $5000 right now,Receiving $5000 right now,,,Receiving $500 in 12 months (1 year),Receiving $500 right now,Receiving $250 right now,$500 per month for 12 months,A 25% chance of $200 (75% chance of $0),218,267,290,225,One extra week of salary for no additional work in 2091,Things will be much worse,I paid everything and saved some,16643,47859,18366,My financial situation became much worse,I generally pay off the interest but not the balance,Around average,1974,Woman,MBA,Employed part-time (less than 25 hours per week),"Black or African-American,Native Alaskan,Native American,Pacific Islander,White","Non-Hispanic,Immigrant"
AD174,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $500 right now,,,Paying $500 right now,Paying $505 in 12 months,Receiving $5000 right now,Receiving $5000 right now,Receiving $5000 right now,,,Receiving $500 in 12 months (1 year),Receiving $500 right now,Receiving $500 in 12 months (1 year),$500 per month for 12 months,A 67% chance of $75 (33% chance of $0),293,116,114,477,One extra week of vacation for no change in salary in 2091,Things will be somewhat better,I paid everything but saved nothing,34898,18390,13770,My financial situation became much better,I make the minimum payment and the interest is charged,Below average but not poor,1960,Other,Primary school,Full-time student,"Asian,Black or African-American,Native Alaskan,Native American,Native Hawaiian,Pacific Islander,White",Immigrant
AD175,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $500 right now,,,Paying $500 right now,Paying $500 right now,Receiving $5000 right now,Receiving $5000 right now,Receiving $5000 right now,,,Receiving $500 in 12 months (1 year),Receiving $500 right now,Receiving $500 in 12 months (1 year),"$6,000 in 12 months",A 25% chance of $200 (75% chance of $0),123,199,104,574,Two extra weeks of salary with no additional work in 2092,Things will be much better,I paid everything and saved some,24839,46401,27240,My financial situation became somewhat better,I generally pay off the interest but not the balance,Poor,1971,Other,MBA,Employed full-time (25+ hours per week),"Asian,Black or African-American,Native American,Native Hawaiian,Pacific Islander,White",Immigrant
AD176,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $500 right now,,,Paying $500 right now,Paying $505 in 12 months,Receiving $5000 right now,Receiving $5000 right now,Receiving $7500 in 12 months,,,Receiving $500 in 12 months (1 year),Receiving $500 right now,Receiving $400 right now,$500 per month for 12 months,A 50% chance of $100 (50% chance of $0),150,20,140,690,Two extra weeks of vacation with no change in salary in 2093,Things will be about the same,"Everything is paid off and I have enough to save, invest, or spend freely",38205,11657,23335,There were no major impacts on my financial situation,I generally pay off the interest but not the balance,Below average but not poor,1999,Woman,MBA,Employed part-time (less than 25 hours per week),"Black or African-American,Native American,Pacific Islander","Hispanic,Non-Hispanic,Immigrant"
AD177,Receiving $550 in 12 months,,,Receiving $510 in 12 months,Receiving $500 right now,Paying $550 in 12 months,Paying $600 in 12 months,Paying $500 right now,,,Receiving $5000 right now,Receiving $5000 right now,Receiving $5000 right now,,,Receiving $500 in 12 months (1 year),Receiving $500 right now,Receiving $500 in 12 months (1 year),$500 per month for 12 months,Guaranteed $50,270,98,258,374,One extra week of salary for no additional work in 2092,Things will be about the same,I could not pay all my bills last month,14300,10571,39440,My financial situation became much better,I pay off any balances every month,Wealthy,1925,Woman,Secondary school (high school),Full-time student,"Asian,Native Alaskan,Native American,Native Hawaiian,White",Hispanic
AD178,Receiving $550 in 12 months,,,Receiving $510 in 12 months,Receiving $500 right now,Paying $550 in 12 months,Paying $600 in 12 months,Paying $500 right now,,,Receiving $5000 right now,Receiving $5000 right now,Receiving $5000 right now,,,Receiving $500 in 12 months (1 year),Receiving $500 right now,Receiving $500 in 12 months (1 year),"$5,000 right now",A 50% chance of $100 (50% chance of $0),247,40,58,655,One extra week of vacation for no change in salary in 2092,Things will be somewhat worse,I paid everything but saved nothing,18294,38439,48396,My financial situation became much worse,I pay off much of the balance,Above average but not wealthy,1990,Man,Vocational school,Employed full-time (25+ hours per week),"Asian,Native American,Pacific Islander,White",Hispanic
